Population,BroodYear,EscapementMethod,Spawners,Spawners.std,CoreRecruits,CoreRecruitsPerSpawner,maxT_spawn,wksGT13_spawn,maxP_spawn,RB_spawn,avgT_rear,wksGT15_rear,avgP_rear,medianQ_rear,RB_emerge,breakup,NPGO,maxT_spawn.std.all,avgT_rear.std.all,wksGT13_spawn.std.all,wksGT15_rear.std.all,maxT_spawn.std,avgT_rear.std,wksGT13_spawn.std,wksGT15_rear.std,maxP_spawn.std,avgP_rear.std,medianQ_rear.std,RB_spawn.std,RB_emerge.std,breakup.std,NPGO.std
Alexander,1982,Aerial survey,5658,-0.170451108,13027,2.302403676,15.2890367,8,208.6492944,0.1335746,14.32501625,7,68.37320326,497,0.07139947,124,0.620750037,0.429060565,1.252021902,1.537792457,1.83991257,-1.78744869,-0.676534373,0.112640889,0.028647316,1.04878615,-0.303829609,0.995969923,0.47588434,0.672757323,0.286252362,0.369201085
Alexander,1983,Aerial survey,8344,0.567094885,13802,1.654122723,16.7712878,6,163.5461024,0.1000277,14.04918381,6,76.74622397,497,0.04350167,136,-0.393901047,1.033178789,1.106547836,0.905906992,1.502704394,-0.820080732,-0.956981999,-1.46433156,-0.372415103,0.065903605,0.304301896,0.995969923,-0.31264409,-0.67270403,1.944541908,-0.554559427
Alexander,1984,Aerial survey,10267,1.095129489,12682,1.235219636,16.65426797,7,149.6965234,0.1644919,13.68697959,6,77.14047979,641,0.0805827,126,-0.732847288,0.985485245,0.915521284,1.221849725,1.502704394,-0.896451886,-1.32524656,-0.675845335,-0.372415103,-0.235904513,0.33293665,2.197211541,1.202603352,1.115648198,0.562633953,-0.863143489
Alexander,1985,Aerial survey,13869,2.084198985,11636,0.838993439,17.08334066,6,194.7913578,0.1490716,13.88758501,5,77.18839846,277,0.06017491,117,0.429174729,1.160361573,1.021320605,0.905906992,1.165496218,-0.61642432,-1.121284649,-1.46433156,-0.773477522,0.746795905,0.336416978,-0.839260327,0.840145272,0.131416726,-0.681083207,0.19478674
Alexander,1986,Aerial survey,11611,1.464177074,11889,1.023942813,16.42022833,5,145.3186216,0.1853568,14.12998321,3,60.52484801,398,0.03239102,117,1.323636763,0.890098157,1.149161451,0.58996426,0.491079867,-1.049194196,-0.874830674,-2.252817784,-1.57560236,-0.331307146,-0.873854722,0.17011631,1.693038141,-1.208550949,-0.681083207,1.009124515
Alexander,1987,Aerial survey,4782,-0.410991052,11619,2.429736512,18.21453228,8,131.565051,0.1128271,15.09121747,7,74.9322614,339,0.03507498,122,0.612240617,1.621399165,1.656116529,1.537792457,1.83991257,0.121830175,0.102486813,0.112640889,0.028647316,-0.631023061,0.172554009,-0.322059075,-0.011790933,-1.079108325,0.009870771,0.361453923
Alexander,1988,Aerial survey,13940,2.103694803,9511,0.682281205,18.33155211,8,145.4785637,0.08222212,15.1469412,8,99.75885656,364,0.04572295,123,-0.201546121,1.669092709,1.685505229,1.537792457,2.177120745,0.19820133,0.159142899,0.112640889,0.429709735,-0.32782171,1.975706682,-0.113510183,-0.731168783,-0.56557564,0.148061567,-0.3794353
Alexander,1989,Aerial survey,7771,0.409755401,6930,0.89177712,18.09751246,8,168.697656,0.06941555,16.00230038,9,67.41200018,409,0.06522832,124,-0.498914711,1.573705621,2.136621777,1.537792457,2.514328921,0.045459021,1.028813823,0.112640889,0.830772153,0.17816555,-0.373641674,0.261877823,-1.032190473,0.375133717,0.286252362,-0.65016616
Alexander,1990,Aerial survey,5769,-0.139971731,5818,1.008493673,19.65777677,8,236.8417558,0.1907375,14.62035199,5,66.78448711,320,0.04706177,96,-1.09491887,2.209619541,1.407782012,1.537792457,1.165496218,1.063741082,-0.376257116,0.112640889,-0.773477522,1.663152385,-0.419217875,-0.480556233,1.819512865,-0.501006729,-3.583089913,-1.192781366
Alexander,1991,Aerial survey,6060,-0.060066339,8376,1.382178218,16.69327458,8,125.0894917,0.05548937,14.60642106,6,63.81774658,279,0.04327197,124,-1.901992588,1.001383093,1.400434837,1.537792457,1.502704394,-0.870994835,-0.390421137,0.112640889,-0.372415103,-0.772137557,-0.634691889,-0.822576415,-1.359528881,-0.683782053,0.286252362,-1.927558909
Alexander,1992,Aerial survey,8244,0.539635988,9814,1.190441533,17.62943317,7,116.6318101,0.06376169,15.66795803,8,77.05342685,298,0.06967734,121,-1.211598783,1.382931445,1.960289576,1.221849725,2.177120745,-0.260025598,0.688877306,-0.675845335,0.429709735,-0.956446188,0.326614005,-0.664079258,-1.165085893,0.589702051,-0.128320024,-1.299009307
Alexander,1993,Aerial survey,6140,-0.038099221,9867,1.607003257,18.91665122,8,241.2996994,0.1010461,15.09121747,7,56.65842641,345,0.04144294,119,-1.039208546,1.907560429,1.656116529,1.537792457,1.83991257,0.580057103,0.102486813,0.112640889,0.028647316,1.760299278,-1.154672466,-0.272007341,-0.288706338,-0.771992922,-0.404701615,-1.14206147
Alexander,1994,Aerial survey,3364,-0.800358222,9060,2.693222354,18.25353889,7,125.4985448,0.1317976,14.78473698,6,85.40588915,352,0.04564257,124,-0.972836612,1.637297013,1.494478678,1.221849725,1.502704394,0.147287227,-0.209121661,-0.675845335,-0.372415103,-0.763223528,0.933252355,-0.213613651,0.434115502,-0.569452225,0.286252362,-1.081635011
Alexander,1995,Aerial survey,4644,-0.448884331,8339,1.795650301,17.2783737,9,125.4385773,0.08230542,14.61477962,5,66.47617085,207,0.06641604,123,-0.657690616,1.239850813,1.404843142,1.853735189,1.165496218,-0.489139062,-0.381922724,0.901127114,-0.773477522,-0.764530332,-0.441610848,-1.423197224,-0.729210795,0.432415343,0.148061567,-0.794719212
Alexander,1996,Aerial survey,5153,-0.309118541,6976,1.3537745,18.52658515,8,132.7940651,0.06763054,16.2419124,9,73.96063709,282,0.07003133,113,0.544553283,1.748581949,2.262993188,1.537792457,2.514328921,0.325486588,1.272434994,0.112640889,0.830772153,-0.604240556,0.10198505,-0.797550548,-1.074147588,0.60677436,-1.233846389,0.299829895
Alexander,1997,Aerial survey,12440,1.691811337,6490,0.52170418,20.20386928,9,161.3561589,0.1654454,13.82350272,5,101.8087037,353,0.09815478,126,1.515780517,2.432189413,0.9875236,1.853735189,1.165496218,1.420139804,-1.186439149,0.901127114,-0.773477522,0.018180657,2.124586839,-0.205271695,1.225015612,1.963118411,0.562633953,1.184056385
