year,MJJA_avg,siteID,MJJA_max
1980,91.1944801,EF_chulitna,138.0513479
1981,122.5542362,EF_chulitna,179.6521181
1982,71.12291399,EF_chulitna,123.1617458
1983,77.23844673,EF_chulitna,166.5404365
1984,85.436457,EF_chulitna,128.4762516
1985,70.72978177,EF_chulitna,84.91014121
1986,104.9050064,EF_chulitna,207.8292683
1987,68.03626444,EF_chulitna,129.3594352
1988,72.17073171,EF_chulitna,104.1553273
1989,91.38318357,EF_chulitna,123.6161746
1990,87.30584082,EF_chulitna,130.9358152
1991,54.44255456,EF_chulitna,97.6110398
1992,66.77406932,EF_chulitna,108.3594352
1993,71.9034018,EF_chulitna,133.6251605
1994,57.80327343,EF_chulitna,80.10783055
1995,76.43677792,EF_chulitna,109.394095
1996,77.5767009,EF_chulitna,123.8896021
1997,71.14794609,EF_chulitna,134.703466
1998,102.3408216,EF_chulitna,143.6700899
1999,99.91078306,EF_chulitna,170.2207959
2000,70.75706033,EF_chulitna,120.5378691
2001,79.10943517,EF_chulitna,163.4736842
2002,96.21758665,EF_chulitna,145.1591784
2003,79.73427471,EF_chulitna,113.2901155
2004,47.64634146,EF_chulitna,62.55969191
2005,79.91431322,EF_chulitna,131.7933248
2006,100.982991,EF_chulitna,176.8806162
2007,78.61456996,EF_chulitna,120.1681643
2008,74.03273428,EF_chulitna,99.61617458
2009,65.39441592,EF_chulitna,113.6097561
1980,75.3777972,alexander,93.45734266
1981,95.4965035,alexander,129.1440559
1982,67.34073427,alexander,83.75524476
1983,49.58951049,alexander,97.4993007
1984,62.07954546,alexander,123.2111888
1985,59.54825175,alexander,89.23636364
1986,65.84632867,alexander,104.1559441
1987,49.42237762,alexander,70.59090909
1988,56.69370629,alexander,96.2979021
1989,80.63111888,alexander,136.6083916
1990,51.67972028,alexander,74.94895105
1991,47.98199301,alexander,67.11818182
1992,44.36800699,alexander,76.90629371
1993,62.84248252,alexander,126.7811189
1994,46.04965035,alexander,62.41888112
1995,59.87989511,alexander,74.23916084
1996,52.81241259,alexander,91.32307692
1997,56.47167832,alexander,110.8342657
1998,61.79195804,alexander,87.05034965
1999,68.36433566,alexander,97.0993007
2000,51.45751748,alexander,78.18671329
2001,47.88793706,alexander,78.72517483
2002,62.23461539,alexander,101.3447553
2003,59.56433566,alexander,78.94475525
2004,37.42517483,alexander,56.31888112
2005,39.3277972,alexander,65.5027972
2006,77.76241259,alexander,165.413986
2007,44.55227273,alexander,65.08181818
2008,43.59003497,alexander,62.97692308
2009,40.81905594,alexander,68.09020979
1980,54.04285714,anchor,77.56428571
1981,61.3127551,anchor,104.8163265
1982,34.88520408,anchor,38.73571429
1983,32.96454082,anchor,62.92346939
1984,54.4377551,anchor,112.0653061
1985,55.41683674,anchor,75.84183674
1986,59.37244898,anchor,81.55204082
1987,32.04897959,anchor,42.61326531
1988,44.02959184,anchor,88.88367347
1989,52.05178571,anchor,79.40510204
1990,38.98596939,anchor,49.21938776
1991,51.27015306,anchor,63.25612245
1992,42.33367347,anchor,72.98163265
1993,45.19132653,anchor,84.87653061
1994,31.72091837,anchor,37.97040816
1995,58.90561225,anchor,85.46938776
1996,31.5,anchor,51.49693878
1997,40.67806122,anchor,66.63367347
1998,47.80382653,anchor,56.22244898
1999,43.53826531,anchor,80.21836735
2000,41.75561225,anchor,82.55612245
2001,37.16683674,anchor,55.38469388
2002,49.13673469,anchor,78.14387755
2003,45.31734694,anchor,65.45714286
2004,21.32780612,anchor,27.04285714
2005,36.27984694,anchor,44.71734694
2006,53.52193878,anchor,110.8
2007,31.91454082,anchor,43.90102041
2008,44.18877551,anchor,76.77040816
2009,32.5125,anchor,57.03979592
1980,68.11370968,campbell,96.50645161
1981,82.25806452,campbell,159.3
1982,54.98548387,campbell,79.53548387
1983,43.06854839,campbell,102.7193548
1984,53.66370968,campbell,98.13870968
1985,50.52822581,campbell,106.9290323
1986,54.01854839,campbell,105.9967742
1987,39.01854839,campbell,60.88709677
1988,48.37822581,campbell,111.6387097
1989,72.25483871,campbell,116.9806452
1990,40.03951613,campbell,64.22580645
1991,65.73145161,campbell,112.8935484
1992,45.70241936,campbell,84.16451613
1993,52.72016129,campbell,127.8451613
1994,32.77580645,campbell,51.68387097
1995,59.95,campbell,97.11612903
1996,43.6483871,campbell,79.21290323
1997,52.32741936,campbell,110.0967742
1998,55.28548387,campbell,102.1193548
1999,61.24758065,campbell,121.1580645
2000,49.9983871,campbell,77.61935484
2001,40.17177419,campbell,71.81935484
2002,55.10806452,campbell,103.6870968
2003,45.86129032,campbell,77.69354839
2004,32.52016129,campbell,37.69677419
2005,52.15,campbell,107.2580645
2006,71.22177419,campbell,159.8387097
2007,48.22016129,campbell,65.33870968
2008,46.05403226,campbell,108.5709677
2009,47.24354839,campbell,92.3
1980,105.7786697,chuitna,132.3302752
1981,124.3910551,chuitna,171.5474006
1982,85.82989297,chuitna,107.1559633
1983,68.26414373,chuitna,128.117737
1984,89.19915902,chuitna,171.3761468
1985,87.52866973,chuitna,121.8470948
1986,97.05389908,chuitna,139.3547401
1987,67.83103976,chuitna,94.82568807
1988,80.34136086,chuitna,137.0214067
1989,105.9686544,chuitna,170.1926606
1990,71.79090214,chuitna,104.0902141
1991,74.51911315,chuitna,98.44495413
1992,65.6735474,chuitna,109.2385321
1993,87.14487768,chuitna,164.5198777
