Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Alexander,1980,NA,NA,NA,NA,NA,NA,NA,5388,10957,13950,19936,5,5371,10913,13896,19864,3,NA,NA
Alexander,1981,NA,NA,NA,NA,NA,NA,NA,3946,8595,10787,15171,5,3901,8491,10658,14993,3,NA,NA
Alexander,1982,2546,Single aerial survey,NA,2546,4243,5658,8487,4380,10172,12605,17471,5,4352,10094,12511,17347,3,2.227819017320608,2.2112053729232946
Alexander,1983,3755,Single aerial survey,NA,3755,6258,8344,12517,4279,10913,13290,18045,5,4258,10842,13208,17940,3,1.5927612655800576,1.582933844678811
Alexander,1984,4620,Single aerial survey,NA,4620,7700,10267,15400,3552,10262,12236,16182,5,3533,10189,12152,16078,3,1.1917794876789716,1.1835979351319763
Alexander,1985,6241,Single aerial survey,NA,6241,10402,13869,20803,2772,9697,11237,14317,5,2742,9599,11122,14169,3,0.8102242411132742,0.8019323671497585
Alexander,1986,5225,Single aerial survey,NA,5225,8708,11611,17417,3019,10961,12638,15993,5,2999,10855,12521,15853,3,1.088450607182844,1.0783739557316339
Alexander,1987,2152,Single aerial survey,NA,2152,3587,4782,7173,3086,12939,14653,18083,5,3074,12872,14579,17995,3,3.064199079882894,3.048724383103304
Alexander,1988,6273,Single aerial survey,NA,6273,10455,13940,20910,2457,12028,13393,16124,5,2441,11974,13330,16043,3,0.9607604017216643,0.9562410329985653
Alexander,1989,3497,Single aerial survey,NA,3497,5828,7771,11657,1950,8556,9639,11807,5,1930,8500,9572,11717,3,1.240380903358641,1.231759104362373
Alexander,1990,2596,Single aerial survey,NA,2596,4327,5769,8653,2018,5866,6986,9229,5,1984,5774,6875,9080,3,1.2109551048708616,1.1917143352400763
Alexander,1991,2727,Single aerial survey,NA,2727,4545,6060,9090,3260,6834,8645,12267,5,3242,6779,8580,12183,3,1.4265676567656767,1.4158415841584158
Alexander,1992,3710,Single aerial survey,NA,3710,6183,8244,12367,3863,7744,9890,14182,5,3838,7682,9814,14079,3,1.1996603590490054,1.190441533236293
Alexander,1993,2763,Single aerial survey,NA,2763,4605,6140,9210,3748,7846,9929,14094,5,3728,7795,9867,14010,3,1.617100977198697,1.6070032573289903
Alexander,1994,1514,Single aerial survey,NA,1514,2523,3364,5047,3149,7414,9164,12663,5,3110,7332,9060,12516,3,2.7241379310344827,2.6932223543400715
Alexander,1995,2090,Single aerial survey,NA,2090,3483,4644,6967,2682,6918,8409,11389,5,2658,6862,8339,11292,3,1.8107235142118863,1.7956503014642549
Alexander,1996,2319,Single aerial survey,NA,2319,3865,5153,7730,2170,5873,7078,9489,5,2134,5790,6976,9347,3,1.3735687948767707,1.3537745002910926
Alexander,1997,5598,Single aerial survey,NA,5598,9330,12440,18660,2011,5456,6573,8809,5,1985,5387,6490,8695,3,0.5283762057877813,0.5217041800643086
Alexander,1998,2807,Single aerial survey,NA,2807,4678,6238,9357,2003,5257,6370,8596,5,1975,5187,6284,8478,3,1.0211606284065406,1.0073741583840974
Alexander,1999,3974,Single aerial survey,NA,3974,6623,8831,13247,2090,4910,6071,8392,5,2066,4846,5994,8290,3,0.6874646132940777,0.6787453289548182
Alexander,2e3,2331,Single aerial survey,NA,2331,3885,5180,7770,1833,4235,5253,7290,5,1807,4164,5168,7176,3,1.0140926640926642,0.9976833976833976
Alexander,2001,2282,Single aerial survey,NA,2282,3803,5071,7607,1161,2991,3636,4926,5,1129,2922,3549,4804,3,0.7170183395779925,0.6998619601656478
Alexander,2002,1936,Single aerial survey,NA,1936,3227,4302,6453,549,1460,1766,2376,5,514,1386,1672,2243,3,0.4105067410506741,0.3886564388656439
Alexander,2003,2012,Single aerial survey,NA,2012,3353,4471,6707,284,594,752,1068,5,268,543,691,989,3,0.16819503466785954,0.154551554462089
Alexander,2004,2215,Single aerial survey,NA,2215,3692,4922,7383,217,369,490,731,5,206,343,458,687,3,0.09955302722470541,0.0930516050386022
Alexander,2005,2140,Single aerial survey,NA,2140,3567,4756,7133,233,388,516,775,5,229,381,508,762,3,0.10849453322119428,0.10681244743481917
Alexander,2006,885,Single aerial survey,NA,885,1475,1967,2950,254,423,564,845,5,245,408,544,816,3,0.28673106253177427,0.27656329435688864
Alexander,2007,480,Single aerial survey,NA,480,800,1067,1600,296,493,657,986,5,288,481,641,961,3,0.6157450796626054,0.6007497656982193
Alexander,2008,150,Single aerial survey,NA,150,250,333,500,479,798,1064,1595,5,466,777,1037,1555,3,3.195195195195195,3.114114114114114
Alexander,2009,275,Single aerial survey,NA,275,458,611,917,NA,NA,NA,NA,NA,654,1090,1453,2180,3,NA,2.3780687397708675
Alexander,2010,177,Single aerial survey,NA,177,295,393,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2011,343,Single aerial survey,NA,343,572,762,1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2012,181,Single aerial survey,NA,181,302,402,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2013,588,Single aerial survey,NA,588,980,1307,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2014,911,Single aerial survey,NA,911,1518,2024,3037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2015,1117,Single aerial survey,NA,1117,1862,2482,3723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2003,13273,Weir count,NA,13273,13273,13273,13273,6822,8316,8316,8316,5,6250,7700,7700,7700,3,0.6265350711971672,0.5801250659233029
Anchor,2004,12016,Weir count,NA,12016,12016,12016,12016,2832,3743,3743,3743,5,2784,3619,3619,3619,3,0.31150133155792276,0.30118175765645805
Anchor,2005,11156,Weir count,NA,11156,11156,11156,11156,4506,5026,5026,5026,5,4250,4708,4708,4708,3,0.4505198996055934,0.4220150591609896
Anchor,2006,8945,Weir count,NA,8945,8945,8945,8945,3535,3987,3987,3987,5,3266,3682,3682,3682,3,0.4457238680827278,0.4116266070430408
Anchor,2007,9622,Weir count,NA,9622,9622,9622,9622,4563,4773,4773,4773,5,4252,4441,4441,4441,3,0.4960507171066306,0.4615464560382457
Anchor,2008,5806,Weir count,NA,5806,5806,5806,5806,3804,3921,3921,3921,5,3691,3770,3770,3770,3,0.6753358594557355,0.6493282810885291
Anchor,2009,3455,Weir count,NA,3455,3455,3455,3455,NA,NA,NA,NA,NA,2660,2820,2820,2820,3,NA,0.8162083936324168
Anchor,2010,4449,Weir count,NA,4449,4449,4449,4449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2011,3545,Weir count,NA,3545,3545,3545,3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2012,4509,Weir count,NA,4509,4509,4509,4509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2013,4388,Weir count,NA,4388,4388,4388,4388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2014,2497,Weir count,NA,2497,2497,2497,2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2015,10049,Weir count,NA,10049,10049,10049,10049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1982,68,Single foot survey,NA,68,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1984,423,Single foot survey,NA,423,423,423,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,453,453,453,3,NA,NA
Campbell,1986,733,Single foot survey,NA,733,733,733,733,683,683,683,683,5,677,677,677,677,3,0.931787175989086,0.9236016371077762
Campbell,1987,571,Single foot survey,NA,571,571,571,571,848,864,864,864,5,841,857,857,857,3,1.5131348511383538,1.500875656742557
Campbell,1988,NA,NA,NA,NA,NA,NA,NA,964,983,983,983,5,959,978,978,978,3,NA,NA
Campbell,1989,218,Single foot survey,NA,218,218,218,218,906,912,912,912,5,902,908,908,908,3,4.18348623853211,4.165137614678899
Campbell,1990,458,Single foot survey,NA,458,458,458,458,676,676,676,676,5,668,668,668,668,3,1.4759825327510918,1.4585152838427948
Campbell,1991,590,Single foot survey,NA,590,590,590,590,684,684,684,684,5,677,677,677,677,3,1.159322033898305,1.147457627118644
Campbell,1992,931,Single foot survey,NA,931,931,931,931,814,814,814,814,5,807,807,807,807,3,0.874328678839957,0.8668098818474759
Campbell,1993,937,Single foot survey,NA,937,937,937,937,908,919,919,919,5,904,915,915,915,3,0.9807897545357525,0.9765208110992529
Campbell,1994,1076,Single foot survey,NA,1076,1076,1076,1076,821,837,837,837,5,813,829,829,829,3,0.7778810408921933,0.7704460966542751
Campbell,1995,734,Single foot survey,NA,734,734,734,734,726,732,732,732,5,718,725,725,725,3,0.997275204359673,0.9877384196185286
