"","year","siteID","Covariate","Value","perName","fish.model"
"1",1980,"EF_chulitna","ASON_avg",55.580445,"EF Chulitna",1
"2",1981,"EF_chulitna","ASON_avg",72.34937956,"EF Chulitna",1
"3",1982,"EF_chulitna","ASON_avg",77.19127095,"EF Chulitna",1
"4",1983,"EF_chulitna","ASON_avg",70.48630743,"EF Chulitna",1
"5",1984,"EF_chulitna","ASON_avg",53.13714175,"EF Chulitna",1
"6",1985,"EF_chulitna","ASON_avg",77.04471545,"EF Chulitna",1
"7",1986,"EF_chulitna","ASON_avg",81.06696601,"EF Chulitna",1
"8",1987,"EF_chulitna","ASON_avg",68.43025256,"EF Chulitna",1
"9",1988,"EF_chulitna","ASON_avg",56.56824987,"EF Chulitna",1
"10",1989,"EF_chulitna","ASON_avg",77.78155726,"EF Chulitna",1
"11",1990,"EF_chulitna","ASON_avg",87.90222502,"EF Chulitna",1
"12",1991,"EF_chulitna","ASON_avg",49.71095416,"EF Chulitna",1
"13",1992,"EF_chulitna","ASON_avg",95.40885764,"EF Chulitna",1
"14",1993,"EF_chulitna","ASON_avg",126.7796318,"EF Chulitna",1
"15",1994,"EF_chulitna","ASON_avg",79.93795463,"EF Chulitna",1
"16",1995,"EF_chulitna","ASON_avg",41.37312789,"EF Chulitna",1
"17",1996,"EF_chulitna","ASON_avg",66.63735561,"EF Chulitna",1
"18",1997,"EF_chulitna","ASON_avg",60.94886599,"EF Chulitna",1
"19",1998,"EF_chulitna","ASON_avg",45.56718013,"EF Chulitna",1
"20",1999,"EF_chulitna","ASON_avg",50.07980322,"EF Chulitna",1
"21",2000,"EF_chulitna","ASON_avg",97.6345744,"EF Chulitna",1
"22",2001,"EF_chulitna","ASON_avg",60.5374411,"EF Chulitna",1
"23",2002,"EF_chulitna","ASON_avg",78.02866922,"EF Chulitna",1
"24",2003,"EF_chulitna","ASON_avg",74.62986764,"EF Chulitna",1
"25",2004,"EF_chulitna","ASON_avg",100.7809159,"EF Chulitna",1
"26",2005,"EF_chulitna","ASON_avg",67.51647424,"EF Chulitna",1
"27",2006,"EF_chulitna","ASON_avg",57.63949517,"EF Chulitna",1
"28",2007,"EF_chulitna","ASON_avg",71.20774514,"EF Chulitna",1
"29",2008,"EF_chulitna","ASON_avg",55.06161751,"EF Chulitna",1
"30",2009,"EF_chulitna","ASON_avg",53.42190838,"EF Chulitna",1
"31",1980,"alexander","ASON_avg",57.53158507,"Alexander",1
"32",1981,"alexander","ASON_avg",78.33076953,"Alexander",1
"33",1982,"alexander","ASON_avg",75.94627013,"Alexander",1
"34",1983,"alexander","ASON_avg",63.29510497,"Alexander",1
"35",1984,"alexander","ASON_avg",46.08508155,"Alexander",1
"36",1985,"alexander","ASON_avg",66.21317017,"Alexander",1
"37",1986,"alexander","ASON_avg",104.2615382,"Alexander",1
"38",1987,"alexander","ASON_avg",76.6036132,"Alexander",1
"39",1988,"alexander","ASON_avg",60.68333331,"Alexander",1
"40",1989,"alexander","ASON_avg",95.024592,"Alexander",1
"41",1990,"alexander","ASON_avg",79.17249432,"Alexander",1
"42",1991,"alexander","ASON_avg",52.10011659,"Alexander",1
"43",1992,"alexander","ASON_avg",93.9476689,"Alexander",1
"44",1993,"alexander","ASON_avg",128.4213284,"Alexander",1
"45",1994,"alexander","ASON_avg",69.58310036,"Alexander",1
"46",1995,"alexander","ASON_avg",40.34195826,"Alexander",1
"47",1996,"alexander","ASON_avg",56.42400937,"Alexander",1
"48",1997,"alexander","ASON_avg",75.22319346,"Alexander",1
"49",1998,"alexander","ASON_avg",43.53682981,"Alexander",1
"50",1999,"alexander","ASON_avg",64.43939396,"Alexander",1
"51",2000,"alexander","ASON_avg",86.31212145,"Alexander",1
"52",2001,"alexander","ASON_avg",57.05582762,"Alexander",1
"53",2002,"alexander","ASON_avg",78.18193446,"Alexander",1
"54",2003,"alexander","ASON_avg",66.3089744,"Alexander",1
"55",2004,"alexander","ASON_avg",107.1547784,"Alexander",1
"56",2005,"alexander","ASON_avg",76.33717949,"Alexander",1
"57",2006,"alexander","ASON_avg",62.12027964,"Alexander",1
"58",2007,"alexander","ASON_avg",83.70571089,"Alexander",1
"59",2008,"alexander","ASON_avg",59.86328679,"Alexander",1
"60",2009,"alexander","ASON_avg",56.83578097,"Alexander",1
"61",1980,"anchor","ASON_avg",94.54268707,"Anchor",1
"62",1981,"anchor","ASON_avg",112.0608845,"Anchor",1
"63",1982,"anchor","ASON_avg",72.93673471,"Anchor",1
"64",1983,"anchor","ASON_avg",98.14982977,"Anchor",1
"65",1984,"anchor","ASON_avg",61.18809522,"Anchor",1
"66",1985,"anchor","ASON_avg",51.65221084,"Anchor",1
"67",1986,"anchor","ASON_avg",104.3743197,"Anchor",1
"68",1987,"anchor","ASON_avg",100.5988096,"Anchor",1
"69",1988,"anchor","ASON_avg",63.23435379,"Anchor",1
"70",1989,"anchor","ASON_avg",78.820578,"Anchor",1
"71",1990,"anchor","ASON_avg",94.74966027,"Anchor",1
"72",1991,"anchor","ASON_avg",65.06496608,"Anchor",1
"73",1992,"anchor","ASON_avg",95.15391161,"Anchor",1
"74",1993,"anchor","ASON_avg",99.64659886,"Anchor",1
"75",1994,"anchor","ASON_avg",81.86989794,"Anchor",1
"76",1995,"anchor","ASON_avg",53.23486387,"Anchor",1
"77",1996,"anchor","ASON_avg",42.49574828,"Anchor",1
"78",1997,"anchor","ASON_avg",133.2482991,"Anchor",1
"79",1998,"anchor","ASON_avg",80.97653063,"Anchor",1
"80",1999,"anchor","ASON_avg",90.98469403,"Anchor",1
"81",2000,"anchor","ASON_avg",108.0195578,"Anchor",1
"82",2001,"anchor","ASON_avg",72.86564636,"Anchor",1
"83",2002,"anchor","ASON_avg",91.11921771,"Anchor",1
"84",2003,"anchor","ASON_avg",63.46581636,"Anchor",1
"85",2004,"anchor","ASON_avg",90.09591821,"Anchor",1
"86",2005,"anchor","ASON_avg",72.46241494,"Anchor",1
"87",2006,"anchor","ASON_avg",49.8382653,"Anchor",1
"88",2007,"anchor","ASON_avg",113.7071426,"Anchor",1
"89",2008,"anchor","ASON_avg",68.18146254,"Anchor",1
"90",2009,"anchor","ASON_avg",85.08724487,"Anchor",1
"91",1980,"campbell","ASON_avg",62.91344102,"NF Campbell",1
"92",1981,"campbell","ASON_avg",104.09785,"NF Campbell",1
"93",1982,"campbell","ASON_avg",92.3446239,"NF Campbell",1
"94",1983,"campbell","ASON_avg",60.04892471,"NF Campbell",1
"95",1984,"campbell","ASON_avg",43.77043005,"NF Campbell",1
"96",1985,"campbell","ASON_avg",52.69731205,"NF Campbell",1
"97",1986,"campbell","ASON_avg",88.7198924,"NF Campbell",1
"98",1987,"campbell","ASON_avg",61.95537643,"NF Campbell",1
"99",1988,"campbell","ASON_avg",69.50376357,"NF Campbell",1
"100",1989,"campbell","ASON_avg",89.07795678,"NF Campbell",1
"101",1990,"campbell","ASON_avg",68.89354865,"NF Campbell",1
"102",1991,"campbell","ASON_avg",86.76612901,"NF Campbell",1
