"","Site","Year","maxTemp","wksGT15","wksGT18","cumDD","wksGT16","wksGT21","wksGT13","wksGT10","perName","fish.model"
"1","Alexander",1980,17.6684397748993,3,0,1860.28705610062,2,0,6,9,"Alexander",1
"2","Alexander",1981,15.7961226008319,3,0,1900.15180926514,0,0,8,11,"Alexander",1
"3","Alexander",1982,15.4450631306942,3,0,1801.3090651175,0,0,8,10,"Alexander",1
"4","Alexander",1983,17.2003604813824,7,0,1883.76903399205,3,0,6,9,"Alexander",1
"5","Alexander",1984,16.6542679722794,6,0,1954.21496766634,3,0,7,10,"Alexander",1
"6","Alexander",1985,17.0833406580032,6,0,1781.10364228069,4,0,6,10,"Alexander",1
"7","Alexander",1986,16.8493010112448,5,0,1896.87525421052,5,0,5,11,"Alexander",1
"8","Alexander",1987,18.2145322840023,3,1,1910.25452068355,1,0,8,10,"Alexander",1
"9","Alexander",1988,18.3315521073815,7,1,2038.04016781365,4,0,8,11,"Alexander",1
"10","Alexander",1989,18.0975124606231,8,1,2051.69248054122,6,0,8,11,"Alexander",1
"11","Alexander",1990,19.657776772346,9,2,2107.94000897883,8,0,8,10,"Alexander",1
"12","Alexander",1991,18.604598361933,5,1,1985.34224068521,3,0,8,11,"Alexander",1
"13","Alexander",1992,17.6294331671062,6,0,1736.32405653424,3,0,7,9,"Alexander",1
"14","Alexander",1993,18.9166512242776,8,3,2081.45452228734,6,0,8,10,"Alexander",1
"15","Alexander",1994,18.2535388917954,7,1,2021.93043879511,6,0,7,10,"Alexander",1
"16","Alexander",1995,17.2783736969686,6,0,2082.28453593853,3,0,9,13,"Alexander",1
"17","Alexander",1996,18.5265851463469,5,1,1966.2290028666,4,0,8,10,"Alexander",1
"18","Alexander",1997,20.6719485749658,9,3,2187.66951530787,7,0,9,12,"Alexander",1
"19","Alexander",1998,17.8244662060716,5,0,1860.56010235517,2,0,6,11,"Alexander",1
"20","Alexander",1999,19.5407569489667,6,1,2003.63633974016,5,0,7,12,"Alexander",1
"21","Alexander",2000,17.6294331671062,3,0,1855.9183160278,3,0,7,9,"Alexander",1
"22","Alexander",2001,18.3315521073815,10,2,2063.70651574149,8,0,9,12,"Alexander",1
"23","Alexander",2002,20.1648626736559,9,2,2196.13394919897,8,0,10,11,"Alexander",1
"24","Alexander",2003,21.2180410840688,12,5,2349.31289800236,9,1,10,13,"Alexander",1
"25","Alexander",2004,20.1648626736559,12,6,2237.91002614535,10,0,9,9,"Alexander",1
"26","Alexander",2005,18.8386380086915,11,4,2265.7607441096,8,0,8,13,"Alexander",1
"27","Alexander",2006,16.8102944034517,7,0,2008.55117232209,4,0,7,12,"Alexander",1
"28","Alexander",2007,17.6294331671062,7,0,2091.8302799603,5,0,10,11,"Alexander",1
"29","Alexander",2008,15.9521490320041,2,0,1857.010501046,0,0,9,11,"Alexander",1
"30","Alexander",2009,20.0478428502767,7,2,2066.16393203245,4,0,8,11,"Alexander",1
"31","Alexander",2010,17.1613538735894,6,0,2025.20699384973,1,0,9,11,"Alexander",1
"32","Alexander",2011,16.6152613644864,6,0,1993.53362832175,2,0,7,12,"Alexander",1
"33","Alexander",2012,17.9024794216577,5,0,1875.30460010095,1,0,6,9,"Alexander",1
"34","Alexander",2013,20.242875889242,9,5,2095.37988126946,7,0,7,11,"Alexander",1
"35","Alexander",2014,18.5265851463469,6,1,2054.14989683219,3,0,9,12,"Alexander",1
"36","Alexander",2015,18.4485719307607,9,3,2068.07525581431,7,0,8,9,"Alexander",1
"37","Alexander",2016,19.4237371255875,12,2,2261.93809654588,8,0,9,12,"Alexander",1
"38","Anchor",1980,12.8556362106543,0,0,1525.75238746958,0,0,0,8,"Anchor",1
"39","Anchor",1981,13.9289380846795,0,0,1609.50968556481,0,0,1,10,"Anchor",1
"40","Anchor",1982,13.0941477382154,0,0,1473.43885909116,0,0,1,9,"Anchor",1
"41","Anchor",1983,13.8494342421591,0,0,1645.68393391158,0,0,3,9,"Anchor",1
"42","Anchor",1984,14.4059611398019,0,0,1682.13644570718,0,0,3,9,"Anchor",1
"43","Anchor",1985,13.1338996594756,0,0,1415.83832518514,0,0,1,9,"Anchor",1
"44","Anchor",1986,12.8556362106543,0,0,1509.05658054029,0,0,0,9,"Anchor",1
"45","Anchor",1987,14.6047207461028,0,0,1591.42256139142,0,0,5,10,"Anchor",1
"46","Anchor",1988,14.0879457697203,0,0,1610.90100280891,0,0,3,9,"Anchor",1
"47","Anchor",1989,15.8767822264291,1,0,1714.69326921928,0,0,6,11,"Anchor",1
"48","Anchor",1990,13.8096823208989,0,0,1709.12800024285,0,0,4,10,"Anchor",1
