year,ASO_max,siteID,SON_avg,JA_avg,MJ_avg,MJJAS_avg,MJJAS_max,DJF_max,MJ_max
1980,74,Bodenburg,42.6666985,70,43,62.3333015,86,46,67
1981,78,Bodenburg,44,91.5,31,51.1666985,105,51,49
1982,83,Bodenburg,56.3333015,54,24.5,53.8333015,83,33,37
1983,76,Bodenburg,37,55,20,42,76,17,29
1984,49,Bodenburg,23.3332996,54,31,43,59,43,45
1985,80,Bodenburg,35.3333015,48,21.5,49.8333015,80,33,32
1986,67,Bodenburg,50.3333015,67,12,48.6666985,88,47,14
1987,53,Bodenburg,41.6666985,44,32,43,61,36,48
1988,51,Bodenburg,39,44,28,40.6666985,51,52,45
1989,71,Bodenburg,53,59,37,55.6666985,71,58,47
1990,69,Bodenburg,39.6666985,29.5,37,45.1666985,69,60,60
1991,60,Bodenburg,43.3333015,71.5,21,50.8333015,84,58,31
1992,47,Bodenburg,38,41,29,36.6666985,47,40,46
1993,90,Bodenburg,63,47,26.5,54.5,90,37,38
1994,41,Bodenburg,35.3333015,26,32,33,50,48,50
1995,50,Bodenburg,22.6667004,58,33.5,47.1666985,83,22,44
1996,46,Bodenburg,37.3333015,52.5,12.5,33.3333015,59,30,20
1997,66,Bodenburg,33.6666985,56,21.5,40.1666985,66,53,25
1998,61,Bodenburg,18.3332996,50,33.5,36.8333015,61,31,54
1999,66,Bodenburg,39.6666985,68,25.5,51.1666985,70,49,42
2000,48,Bodenburg,39,47,28.5,41.1666985,67,24,46
2001,25,Bodenburg,27,47.5,23,31.5,74,35,34
2002,70,Bodenburg,49.6666985,56,28,51.3333015,70,28,40
2003,47,Bodenburg,38,44,25.5,36.8333015,44,40,35
2004,80,Bodenburg,58,23,26.5,43.1666985,80,51,34
2005,78,Bodenburg,40.3333015,50.5,29.5,52.6666985,78,31,43
2006,91,Bodenburg,33.3333015,72,31.5,56.5,91,29,51
2007,84,Bodenburg,49,47.5,29,53.5,84,33,44
2008,62,Bodenburg,40,64,20.5,48.8333015,105,35,35
2009,54,Bodenburg,29.6667004,48,21,31,54,31,27
1980,110,Clear,71,117,107,106.6669998,148,91,148
1981,212,Clear,90,198.5,93,118.5,212,70,151
1982,218,Clear,126.3330002,132,91,147,218,69,142
1983,185,Clear,89,117.5,52.5,92.3332977,185,31,68
1984,182,Clear,44.6666985,135.5,56,82.8332977,182,107,65
1985,230,Clear,109.6669998,105,79.5,138.1670074,230,99,81
1986,167,Clear,126,161,36,115.6669998,167,112,44
1987,131,Clear,101,103,58.5,97.5,131,89,74
1988,138,Clear,96.3332977,98.5,73.5,95.3332977,138,91,95
1989,229,Clear,132,170,88.5,141.1670074,229,137,93
1990,163,Clear,100,98,90,117,163,104,129
1991,105,Clear,78,102,28.5,78.5,105,121,33
1992,116,Clear,110.3330002,91,39.5,67.5,116,132,42
1993,277,Clear,188.3329926,126.5,74.5,159.3329926,277,66,96
1994,115,Clear,78,77.5,70.5,71.6667023,115,126,104
1995,119,Clear,55.3333015,73.5,96.5,96.3332977,119,42,109
1996,156,Clear,78,127,44,86.3332977,156,52,67
1997,199,Clear,63.6666985,120.5,63,82.1667023,199,86,75
1998,160,Clear,63.3333015,118.5,87,116.5,160,36,128
1999,156,Clear,85.3332977,151,76.5,110.8330002,156,81,119
2000,97,Clear,102,85,54,78.6667023,97,53,76
2001,85,Clear,66.3332977,106.5,52.5,68.6667023,128,53,66
2002,176,Clear,117.3330002,139,68.5,119.5,176,46,82
2003,129,Clear,92.3332977,113,70,91.3332977,129,59,85
2004,180,Clear,142,72.5,50,100.8330002,180,92,54
2005,236,Clear,114.3330002,88.5,47.5,124,236,87,51
2006,279,Clear,83.3332977,179,75,118.6669998,279,49,111
2007,189,Clear,103,106.5,45,113.5,189,65,64
2008,114,Clear,95,87,46.5,82.5,114,70,73
2009,126,Clear,60.3333015,85.5,56,66.5,126,80,63
1980,76,Goose,55,92,81.5,83.1667023,108,60,102
1981,141,Goose,68,147.5,68,88.1667023,154,63,102
1982,168,Goose,96,99.5,67,111.5,168,57,97
1983,118,Goose,66.3332977,78.5,41.5,66.3332977,118,22,48
1984,118,Goose,34.6666985,94.5,45.5,64,118,83,48
1985,170,Goose,79,77,61,102.6669998,170,80,69
1986,117,Goose,100,115.5,29,87.1667023,125,93,40
1987,99,Goose,75,75.5,47.5,74,99,71,56
1988,98,Goose,71.6667023,72.5,56,71.5,96,78,67
1989,152,Goose,99.6667023,124,71.5,108.5,152,108,83
1990,124,Goose,73,58.5,69.5,84,124,85,93
1991,89,Goose,62.6666985,84.5,27,66.8332977,95,98,31
1992,78,Goose,79.3332977,64.5,35.5,54,78,94,38
1993,201,Goose,132.6670074,85,57,114.3330002,201,42,67
1994,64,Goose,56.3333015,47.5,54.5,52,76,96,76
1995,96,Goose,43,62,74,77.3332977,96,28,75
1996,99,Goose,60.3333015,91,31.5,63.5,99,46,45
1997,129,Goose,48.6666985,84,51.5,63.5,129,72,66
1998,103,Goose,42.6666985,82.5,65.5,80.6667023,103,36,90
1999,107,Goose,66.6667023,111.5,56.5,85,116,67,83
2000,76,Goose,72,66.5,44,62.1666985,85,34,57
2001,54,Goose,48.6666985,76.5,42.5,52.3333015,104,39,50
2002,122,Goose,90.3332977,96,55.5,90.5,120,39,61
2003,92,Goose,69.3332977,79,54.5,67.8332977,83,51,59
2004,139,Goose,103.3330002,49,43.5,77.1667023,139,76,51
2005,174,Goose,83.3332977,61,41,92,174,57,45
2006,184,Goose,62.6666985,123.5,58.5,89.3332977,184,41,82
2007,147,Goose,79.6667023,78,36.5,87.1667023,147,44,47
2008,92,Goose,70.6667023,69,33.5,64.8332977,92,47,49
2009,84,Goose,46.3333015,64,43,50,84,51,55
1980,69,Kenai,55.6666985,48.5,38,51.8333015,69,48,49
1981,80,Kenai,53.3333015,73,29,53.3333015,80,38,32
1982,156,Kenai,70.6667023,35.5,27.5,73,156,44,36
1983,64,Kenai,53,38.5,15.5,39.3333015,64,14,18
