Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Alexander,1980,NA,NA,NA,NA,NA,NA,NA,4424,8973,11431,16346,5,4391,8897,11337,16216,3,NA,NA
Alexander,1981,NA,NA,NA,NA,NA,NA,NA,4935,10668,13409,18893,5,4615,9946,12510,17638,3,NA,NA
Alexander,1982,2546,Single aerial survey,NA,2546,4243,5658,8487,6697,15421,19141,26582,5,6292,14428,17924,24915,3,3.38299752562743,3.167903852951573
Alexander,1983,3755,Single aerial survey,NA,3755,6258,8344,12517,3568,9579,11562,15526,5,3436,9150,11059,14878,3,1.385666347075743,1.3253835091083412
Alexander,1984,4620,Single aerial survey,NA,4620,7700,10267,15400,2604,7956,9403,12296,5,2513,7622,9018,11810,3,0.915846888088049,0.8783481055809876
Alexander,1985,6241,Single aerial survey,NA,6241,10402,13869,20803,2798,9829,11384,14493,5,2638,9347,10812,13743,3,0.820823419136203,0.7795803590741942
Alexander,1986,5225,Single aerial survey,NA,5225,8708,11611,17417,3394,12148,14033,17805,5,3278,11585,13407,17049,3,1.2085952975626562,1.1546809060373784
Alexander,1987,2152,Single aerial survey,NA,2152,3587,4782,7173,3088,13968,15684,19115,5,3029,13672,15355,18721,3,3.2797992471769133,3.210999581764952
Alexander,1988,6273,Single aerial survey,NA,6273,10455,13940,20910,2266,11307,12565,15083,5,2157,10986,12184,14581,3,0.9013629842180775,0.8740315638450502
Alexander,1989,3497,Single aerial survey,NA,3497,5828,7771,11657,1825,7205,8219,10247,5,1636,6579,7488,9307,3,1.0576502380645991,0.9635825505083001
Alexander,1990,2596,Single aerial survey,NA,2596,4327,5769,8653,1580,4443,5321,7076,5,1516,4188,5030,6714,3,0.922343560409083,0.8719015427283758
Alexander,1991,2727,Single aerial survey,NA,2727,4545,6060,9090,3203,6829,8608,12167,5,3152,6663,8415,11917,3,1.4204620462046205,1.3886138613861385
Alexander,1992,3710,Single aerial survey,NA,3710,6183,8244,12367,4687,9400,12004,17212,5,4603,9200,11757,16872,3,1.4560892770499758,1.4261280931586608
Alexander,1993,2763,Single aerial survey,NA,2763,4605,6140,9210,2900,6146,7757,10979,5,2851,6035,7619,10787,3,1.2633550488599348,1.2408794788273616
Alexander,1994,1514,Single aerial survey,NA,1514,2523,3364,5047,3128,7324,9062,12538,5,2992,7047,8709,12034,3,2.6938168846611177,2.588882282996433
Alexander,1995,2090,Single aerial survey,NA,2090,3483,4644,6967,3316,8514,10356,14041,5,3218,8296,10084,13660,3,2.2299741602067185,2.1714039621016363
Alexander,1996,2319,Single aerial survey,NA,2319,3865,5153,7730,1492,4039,4868,6526,5,1460,3961,4772,6394,3,0.9446924121870754,0.926062487871143
Alexander,1997,5598,Single aerial survey,NA,5598,9330,12440,18660,1992,5414,6521,8735,5,1923,5222,6290,8426,3,0.5241961414790997,0.5056270096463023
Alexander,1998,2807,Single aerial survey,NA,2807,4678,6238,9357,2072,5400,6551,8853,5,1966,5127,6219,8404,3,1.0501763385700544,0.9969541519717858
Alexander,1999,3974,Single aerial survey,NA,3974,6623,8831,13247,2422,5811,7156,9847,5,2324,5540,6831,9413,3,0.8103272562563696,0.7735250820971578
Alexander,2e3,2331,Single aerial survey,NA,2331,3885,5180,7770,1765,4155,5136,7097,5,1709,3997,4947,6845,3,0.9915057915057915,0.955019305019305
Alexander,2001,2282,Single aerial survey,NA,2282,3803,5071,7607,1024,2646,3215,4352,5,967,2520,3057,4131,3,0.633997239203313,0.6028396765923881
Alexander,2002,1936,Single aerial survey,NA,1936,3227,4302,6453,558,1514,1824,2444,5,501,1392,1671,2227,3,0.42398884239888424,0.38842398884239887
Alexander,2003,2012,Single aerial survey,NA,2012,3353,4471,6707,275,620,772,1078,5,229,475,602,856,3,0.17266830686647283,0.13464549317825988
Alexander,2004,2215,Single aerial survey,NA,2215,3692,4922,7383,141,244,322,479,5,130,216,288,432,3,0.06542056074766354,0.05851279967492889
Alexander,2005,2140,Single aerial survey,NA,2140,3567,4756,7133,289,481,641,962,5,283,471,628,942,3,0.1347771236333053,0.13204373423044574
Alexander,2006,885,Single aerial survey,NA,885,1475,1967,2950,261,435,579,869,5,239,399,531,797,3,0.29435688866293847,0.269954245043213
Alexander,2007,480,Single aerial survey,NA,480,800,1067,1600,283,473,630,945,5,265,442,588,883,3,0.5904404873477038,0.5510777881911902
Alexander,2008,150,Single aerial survey,NA,150,250,333,500,477,795,1060,1589,5,470,783,1044,1566,3,3.1831831831831834,3.135135135135135
Alexander,2009,275,Single aerial survey,NA,275,458,611,917,NA,NA,NA,NA,NA,640,1066,1422,2133,3,NA,2.327332242225859
Alexander,2010,177,Single aerial survey,NA,177,295,393,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2011,343,Single aerial survey,NA,343,572,762,1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2012,181,Single aerial survey,NA,181,302,402,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2013,588,Single aerial survey,NA,588,980,1307,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2014,911,Single aerial survey,NA,911,1518,2024,3037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander,2015,1117,Single aerial survey,NA,1117,1862,2482,3723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2003,13273,Weir count,NA,13273,13273,13273,13273,6822,8421,8421,8421,5,6250,7759,7759,7759,3,0.6344458675506668,0.5845701800647932
Anchor,2004,12016,Weir count,NA,12016,12016,12016,12016,2832,3458,3458,3458,5,2784,3399,3399,3399,3,0.28778295605858856,0.2828728362183755
Anchor,2005,11156,Weir count,NA,11156,11156,11156,11156,4506,5167,5167,5167,5,4250,4846,4846,4846,3,0.46315883829329507,0.43438508425959127
Anchor,2006,8945,Weir count,NA,8945,8945,8945,8945,3535,3962,3962,3962,5,3266,3635,3635,3635,3,0.44292901062045836,0.40637227501397427
Anchor,2007,9622,Weir count,NA,9622,9622,9622,9622,4563,4899,4899,4899,5,4252,4562,4562,4562,3,0.5091457077530659,0.4741218041987113
Anchor,2008,5806,Weir count,NA,5806,5806,5806,5806,3804,3896,3896,3896,5,3691,3764,3764,3764,3,0.6710299689975887,0.6482948673785739
Anchor,2009,3455,Weir count,NA,3455,3455,3455,3455,NA,NA,NA,NA,NA,2660,2782,2782,2782,3,NA,0.8052098408104197
Anchor,2010,4449,Weir count,NA,4449,4449,4449,4449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2011,3545,Weir count,NA,3545,3545,3545,3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2012,4509,Weir count,NA,4509,4509,4509,4509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2013,4388,Weir count,NA,4388,4388,4388,4388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2014,2497,Weir count,NA,2497,2497,2497,2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchor,2015,10049,Weir count,NA,10049,10049,10049,10049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1982,68,Single foot survey,NA,68,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
