,Site,Year,maxTemp,wksGT15,wksGT21,wksGT13
1,Alexander,1980,17.66843977,2,0,6
2,Alexander,1981,15.7961226,2,0,8
3,Alexander,1982,15.44506313,0,0,8
4,Alexander,1983,17.20036048,6,0,6
5,Alexander,1984,16.65426797,6,0,7
6,Alexander,1985,17.08334066,5,0,6
7,Alexander,1986,16.84930101,5,0,5
8,Alexander,1987,18.21453228,1,0,8
9,Alexander,1988,18.33155211,5,0,8
10,Alexander,1989,18.09751246,7,0,8
11,Alexander,1990,19.65777677,8,0,8
12,Alexander,1991,18.60459836,4,0,8
13,Alexander,1992,17.62943317,6,0,7
14,Alexander,1993,18.91665122,7,0,8
15,Alexander,1994,18.25353889,6,0,7
16,Alexander,1995,17.2783737,4,0,9
17,Alexander,1996,18.52658515,4,0,8
18,Alexander,1997,20.67194857,8,0,9
19,Alexander,1998,17.82446621,3,0,6
20,Alexander,1999,19.54075695,6,0,7
21,Alexander,2000,17.62943317,3,0,7
22,Alexander,2001,18.33155211,8,0,9
23,Alexander,2002,20.16486267,9,0,10
24,Alexander,2003,21.21804108,10,1,10
25,Alexander,2004,20.16486267,10,0,9
26,Alexander,2005,18.83863801,10,0,8
27,Alexander,2006,16.8102944,5,0,7
28,Alexander,2007,17.62943317,5,0,10
29,Alexander,2008,15.95214903,2,0,9
30,Alexander,2009,20.04784285,4,0,8
31,Alexander,2010,17.16135387,1,0,9
32,Alexander,2011,16.61526136,2,0,7
33,Alexander,2012,17.90247942,4,0,6
34,Alexander,2013,20.24287589,9,0,7
35,Alexander,2014,18.52658515,5,0,9
36,Alexander,2015,18.44857193,9,0,8
37,Alexander,2016,19.42373713,10,0,9
38,Anchor,1980,12.85563621,0,0,0
39,Anchor,1981,13.92893808,0,0,1
40,Anchor,1982,13.09414774,0,0,1
41,Anchor,1983,13.84943424,0,0,3
42,Anchor,1984,14.40596114,0,0,3
43,Anchor,1985,13.13389966,0,0,1
44,Anchor,1986,12.85563621,0,0,0
45,Anchor,1987,14.60472075,0,0,5
46,Anchor,1988,14.08794577,0,0,3
47,Anchor,1989,15.87678223,1,0,6
48,Anchor,1990,13.80968232,0,0,4
49,Anchor,1991,12.89538813,0,0,0
50,Anchor,1992,13.49166695,0,0,5
51,Anchor,1993,15.20099957,0,0,6
52,Anchor,1994,14.96248804,0,0,5
53,Anchor,1995,13.65067464,0,0,3
54,Anchor,1996,13.96869001,0,0,2
55,Anchor,1997,14.92273612,0,0,7
56,Anchor,1998,13.69042656,0,0,2
57,Anchor,1999,14.24695345,0,0,1
58,Anchor,2000,13.73017848,0,0,1
59,Anchor,2001,14.12769769,0,0,4
60,Anchor,2002,13.65067464,0,0,3
61,Anchor,2003,15.59851878,0,0,5
62,Anchor,2004,15.95628607,1,0,8
63,Anchor,2005,14.96248804,0,0,7
64,Anchor,2006,12.93514005,0,0,0
65,Anchor,2007,13.49166695,0,0,1
66,Anchor,2008,12.57737276,0,0,0
67,Anchor,2009,13.49166695,0,0,3
68,Anchor,2010,12.89538813,0,0,0
69,Anchor,2011,13.84943424,0,0,1
70,Anchor,2012,12.29910931,0,0,0
71,Anchor,2013,15.83703031,2,0,8
72,Anchor,2014,15.43951109,0,0,10
73,Anchor,2015,16.03578991,1,0,5
74,Anchor,2016,14.84323227,0,0,9
75,Beaver,1980,12.99472954,0,0,0
76,Beaver,1981,13.12299297,0,0,1
77,Beaver,1982,11.84035864,0,0,0
78,Beaver,1983,14.63008832,0,0,6
79,Beaver,1984,13.47571742,0,0,1
80,Beaver,1985,12.6420051,0,0,0
81,Beaver,1986,12.00068793,0,0,0
82,Beaver,1987,13.70017843,0,0,1
83,Beaver,1988,12.96266368,0,0,0
84,Beaver,1989,13.28332227,0,0,2
85,Beaver,1990,12.89853197,0,0,0
86,Beaver,1991,12.38547823,0,0,0
87,Beaver,1992,12.89853197,0,0,0
88,Beaver,1993,14.43769317,0,0,4
89,Beaver,1994,13.66811257,0,0,2
90,Beaver,1995,13.05886126,0,0,2
91,Beaver,1996,12.73820267,0,0,0
92,Beaver,1997,14.59802246,0,0,5
93,Beaver,1998,12.80233439,0,0,0
94,Beaver,1999,13.95670529,0,0,2
95,Beaver,2000,12.54580752,0,0,0
96,Beaver,2001,13.34745398,0,0,2
97,Beaver,2002,13.09092712,0,0,1
98,Beaver,2003,14.40562731,0,0,5
99,Beaver,2004,15.01487862,0,0,8
100,Beaver,2005,14.02083701,0,0,5
101,Beaver,2006,13.89257358,0,0,2
102,Beaver,2007,13.63604671,0,0,6
103,Beaver,2008,13.21919055,0,0,2
104,Beaver,2009,13.70017843,0,0,5
105,Beaver,2010,14.14910045,0,0,4
106,Beaver,2011,12.38547823,0,0,0
107,Beaver,2012,12.28928065,0,0,0
108,Beaver,2013,14.02083701,0,0,3
109,Beaver,2014,14.27736388,0,0,4
110,Beaver,2015,14.53389075,0,0,3
111,Beaver,2016,14.75835176,0,0,7
112,Byers,1980,16.01869002,1,0,6
113,Byers,1981,14.51358903,0,0,5
114,Byers,1982,14.2313826,0,0,7
115,Byers,1983,15.64241477,1,0,5
116,Byers,1984,15.20342698,0,0,7
117,Byers,1985,15.54834596,0,0,5
118,Byers,1986,15.36020834,0,0,4
119,Byers,1987,16.45767781,1,0,8
120,Byers,1988,16.55174662,3,0,7
121,Byers,1989,16.36360899,2,0,7
122,Byers,1990,17.61785982,4,0,8
123,Byers,1991,16.77124051,2,0,6
124,Byers,1992,15.98733375,1,0,6
125,Byers,1993,17.02209068,4,0,6
126,Byers,1994,16.48903408,2,0,7
127,Byers,1995,15.70512731,1,0,9
128,Byers,1996,16.70852797,3,0,5
129,Byers,1997,18.43312285,5,0,8
130,Byers,1998,16.1441151,1,0,5
131,Byers,1999,17.52379101,2,0,6
132,Byers,2000,15.98733375,1,0,7
133,Byers,2001,16.55174662,3,0,8
134,Byers,2002,18.02549134,5,0,8
135,Byers,2003,18.87211064,6,0,9
136,Byers,2004,18.02549134,9,0,8
137,Byers,2005,16.95937814,7,0,7
138,Byers,2006,15.32885207,0,0,6
139,Byers,2007,15.98733375,2,0,8
140,Byers,2008,14.63901411,0,0,4
141,Byers,2009,17.93142252,2,0,7
142,Byers,2010,15.6110585,1,0,7
143,Byers,2011,15.17207071,0,0,7
144,Byers,2012,16.20682764,1,0,5
145,Byers,2013,18.08820388,7,0,6
146,Byers,2014,16.70852797,1,0,7
147,Byers,2015,16.64581543,3,0,7
148,Byers,2016,17.42972219,5,0,9
149,Cache,1980,11.8397963,0,0,0
150,Cache,1981,10.52579667,0,0,0
151,Cache,1982,10.27942174,0,0,0
152,Cache,1983,11.51129639,0,0,0
153,Cache,1984,11.1280465,0,0,0
154,Cache,1985,11.42917141,0,0,0
155,Cache,1986,11.26492146,0,0,0
156,Cache,1987,12.22304619,0,0,0
157,Cache,1988,12.30517117,0,0,0
158,Cache,1989,12.14092122,0,0,0
159,Cache,1990,13.23592091,0,0,1
160,Cache,1991,12.49679612,0,0,0
161,Cache,1992,11.81242131,0,0,0
162,Cache,1993,12.71579606,0,0,0
163,Cache,1994,12.25042119,0,0,0
164,Cache,1995,11.56604638,0,0,0
165,Cache,1996,12.44204613,0,0,0
166,Cache,1997,13.94767071,0,0,2
167,Cache,1998,11.94929627,0,0,0
168,Cache,1999,13.15379593,0,0,1
169,Cache,2000,11.81242131,0,0,0
170,Cache,2001,12.30517117,0,0,0
171,Cache,2002,13.59179581,0,0,1
172,Cache,2003,14.3309206,0,0,3
173,Cache,2004,13.59179581,0,0,2
174,Cache,2005,12.66104607,0,0,0
175,Cache,2006,11.23754647,0,0,0
176,Cache,2007,11.81242131,0,0,0
177,Cache,2008,10.63529664,0,0,0
178,Cache,2009,13.50967083,0,0,1
179,Cache,2010,11.4839214,0,0,0
180,Cache,2011,11.10067151,0,0,0
181,Cache,2012,12.00404625,0,0,0
182,Cache,2013,13.6465458,0,0,1
183,Cache,2014,12.44204613,0,0,0
184,Cache,2015,12.38729615,0,0,0
185,Cache,2016,13.07167096,0,0,1
186,Chijuk,1980,16.96856707,2,0,6
187,Chijuk,1981,15.08721992,0,0,7
188,Chijuk,1982,14.73446733,0,0,8
189,Chijuk,1983,16.49823029,3,0,5
190,Chijuk,1984,15.94950403,3,0,7
191,Chijuk,1985,16.38064609,2,0,5
192,Chijuk,1986,16.14547769,4,0,4
193,Chijuk,1987,17.51729333,1,0,8
194,Chijuk,1988,17.63487753,4,0,7
195,Chijuk,1989,17.39970913,4,0,8
196,Chijuk,1990,18.96749843,7,0,8
197,Chijuk,1991,17.90924065,3,0,7
198,Chijuk,1992,16.92937234,2,0,6
199,Chijuk,1993,18.22279851,5,0,6
200,Chijuk,1994,17.55648806,5,0,7
201,Chijuk,1995,16.57661975,3,0,9
202,Chijuk,1996,17.83085119,3,0,5
203,Chijuk,1997,19.98656147,7,0,8
204,Chijuk,1998,17.125346,1,0,5
205,Chijuk,1999,18.84991423,4,0,7
206,Chijuk,2000,16.92937234,3,0,7
207,Chijuk,2001,17.63487753,4,0,8
208,Chijuk,2002,19.47702995,6,0,8
209,Chijuk,2003,20.53528772,8,0,9
210,Chijuk,2004,19.47702995,10,0,8
211,Chijuk,2005,18.14440905,8,0,7
212,Chijuk,2006,16.10628296,3,0,6
213,Chijuk,2007,16.92937234,5,0,8
214,Chijuk,2008,15.24399885,0,0,6
215,Chijuk,2009,19.35944575,4,0,8
216,Chijuk,2010,16.45903555,1,0,7
217,Chijuk,2011,15.9103093,2,0,7
218,Chijuk,2012,17.20373547,1,0,5
219,Chijuk,2013,19.55541941,7,0,7
220,Chijuk,2014,17.83085119,1,0,7
221,Chijuk,2015,17.75246172,5,0,7
222,Chijuk,2016,18.73233003,7,0,9
223,Chuitna,1980,14.7084045,0,0,4
224,Chuitna,1981,14.54255208,0,0,4
225,Chuitna,1982,13.1328065,0,0,2
226,Chuitna,1983,15.41327729,0,0,6
227,Chuitna,1984,16.32546561,2,0,7
228,Chuitna,1985,14.95718313,0,0,5
229,Chuitna,1986,15.20596177,0,0,4
230,Chuitna,1987,16.07668698,1,0,5
231,Chuitna,1988,15.33035108,0,0,7
232,Chuitna,1989,15.91083456,2,0,7
233,Chuitna,1990,15.4962035,0,0,7
234,Chuitna,1991,15.4547404,0,0,4
235,Chuitna,1992,15.08157245,0,0,6
236,Chuitna,1993,17.23765393,4,0,7
237,Chuitna,1994,16.03522387,2,0,8
238,Chuitna,1995,15.41327729,0,0,8
239,Chuitna,1996,16.28400251,2,0,7
240,Chuitna,1997,16.86448598,3,0,7
241,Chuitna,1998,15.16449866,0,0,3
242,Chuitna,1999,16.53278114,1,0,5
243,Chuitna,2000,14.95718313,0,0,4
244,Chuitna,2001,15.62059282,1,0,6
245,Chuitna,2002,16.36692872,2,0,5
246,Chuitna,2003,18.14984225,4,0,6
247,Chuitna,2004,17.85960051,6,0,8
248,Chuitna,2005,17.15472772,4,0,7
249,Chuitna,2006,15.28888798,0,0,5
250,Chuitna,2007,15.08157245,0,0,7
251,Chuitna,2008,13.71328997,0,0,2
252,Chuitna,2009,15.66205593,1,0,6
253,Chuitna,2010,14.45962587,0,0,5
254,Chuitna,2011,14.54255208,0,0,6
255,Chuitna,2012,15.20596177,0,0,4
256,Chuitna,2013,18.14984225,5,0,7
257,Chuitna,2014,16.57424425,1,0,8
258,Chuitna,2015,17.90106362,9,0,8
259,Chuitna,2016,18.5230102,6,0,9
260,Crooked,1980,12.29035805,0,0,0
261,Crooked,1981,12.42274838,0,0,0
262,Crooked,1982,11.09884508,0,0,0
263,Crooked,1983,13.97833476,0,0,3
264,Crooked,1984,12.78682179,0,0,0
265,Crooked,1985,11.92628464,0,0,0
266,Crooked,1986,11.26433299,0,0,0
267,Crooked,1987,13.01850487,0,0,1
268,Crooked,1988,12.25726047,0,0,0
269,Crooked,1989,12.58823629,0,0,0
270,Crooked,1990,12.1910653,0,0,0
271,Crooked,1991,11.66150398,0,0,0
272,Crooked,1992,12.1910653,0,0,0
273,Crooked,1993,13.77974926,0,0,2
274,Crooked,1994,12.98540728,0,0,0
275,Crooked,1995,12.35655322,0,0,0
276,Crooked,1996,12.02557739,0,0,0
277,Crooked,1997,13.94523718,0,0,4
278,Crooked,1998,12.09177256,0,0,0
279,Crooked,1999,13.28328553,0,0,1
280,Crooked,2000,11.8269919,0,0,0
281,Crooked,2001,12.65443146,0,0,0
282,Crooked,2002,12.3896508,0,0,0
283,Crooked,2003,13.74665168,0,0,4
284,Crooked,2004,14.37550575,0,0,6
285,Crooked,2005,13.34948069,0,0,2
286,Crooked,2006,13.21709036,0,0,1
287,Crooked,2007,12.9523097,0,0,0
288,Crooked,2008,12.52204113,0,0,0
289,Crooked,2009,13.01850487,0,0,1
290,Crooked,2010,13.48187102,0,0,2
291,Crooked,2011,11.66150398,0,0,0
