"","Population","EscapementMethod","startBY","endBY","n.year"
"1","Alexander","Aerial survey",1982,2009,28
"2","Anchor","Weir",2003,2009,7
"3","Campbell","Foot survey",1986,2005,19
"4","Chuitna","Aerial survey",1984,2009,25
"5","Chulitna","Aerial survey",1987,2009,17
"6","Crooked","Weir",2004,2009,6
"7","Deep","Aerial survey",1981,2009,29
"8","Deshka","Aerial survey expansion",1982,1998,10
"9","Deshka","Weir",1995,2009,14
"10","Kenai late run","Sonar",1986,2009,24
"11","Little Susitna","Aerial survey expansion",1983,2009,16
"12","Little Willow","Aerial survey",1981,2009,24
"13","Montana","Aerial survey",1987,2009,22
"14","Ninilchik","Weir",1999,2009,11
"15","Theodore","Aerial survey",1981,2009,29
"16","Willow","Aerial survey",1981,2009,28
