"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.207190267718325,0.274737259772401,-0.306653733965336,0.0214114825098495,0.190490933375737,0.380599284224339,0.796435250354477,1.00072709135986,3000
"alpha[2]",0.247222522946077,0.404139614820026,-0.908109312354026,0.120659240111543,0.236011476211164,0.40940547259229,1.01833602710331,1.03226359695418,130
"alpha[3]",1.33883457533772,0.311255619281991,0.729509144387751,1.13978952953298,1.34744217747777,1.5409839587153,1.94162418270413,1.00052392645049,3000
"alpha[4]",0.941223976886556,0.218253448129983,0.50419969245973,0.801876522903694,0.941598714031093,1.08093777797579,1.36507392493778,1.00179669959841,1800
"alpha[5]",0.511327115945199,0.267470111073815,0.0321149060173194,0.342590529926568,0.504865900909251,0.675680502036171,1.02778942103492,1.00054153183906,3000
"alpha[6]",0.873508746648844,0.742502041672628,-0.351120537521387,0.313674394725843,0.833134202098582,1.33369943166761,2.57684708808729,1.00096695883332,3000
"alpha[7]",1.96640083147072,0.221964279666067,1.51443609144721,1.82834452082214,1.97406664182162,2.10995116789331,2.39436737443365,1.00196167244205,1400
"alpha[8]",1.28333335643086,0.337402250136587,0.58520823150218,1.070909342891,1.28395749686207,1.51244927922187,1.92156917882568,1.00075631647053,3000
"alpha[9]",0.189803300169011,0.246529713269934,-0.0298713206676914,0.0253872923940112,0.0924412727958221,0.260052568212201,0.880925197267438,1.0044753814681,1900
"alpha[10]",2.04838271393586,0.330681119200899,1.35377629378449,1.85255560409316,2.05405687328255,2.26136851598081,2.66461922736843,1.00114775400422,3000
"alpha[11]",1.58582933563039,0.330610072581041,0.84776828335829,1.38536301896452,1.5944160313596,1.79647466698668,2.22962676300058,1.00300963770828,3000
"alpha[12]",1.18207949641704,0.536059176136109,0.306839163289476,0.762694568168153,1.17073181892028,1.55961360733344,2.2516817258998,1.00136305208854,2300
"alpha[13]",-0.0626552919284809,0.31718078478688,-0.509121676226145,-0.261217475722031,-0.137570190954054,0.0601132482371436,0.738656309268599,1.00053989052643,3000
"alpha[14]",0.33559461042292,0.343643875416704,-0.198140977381843,0.0653328942254086,0.285477177084983,0.579546308660719,1.06277978931416,1.00111703324568,3000
"alpha[15]",0.800878846802225,0.236188721907498,0.330465350725066,0.655218743831834,0.808662072771778,0.956543561370014,1.24237850965513,1.00070380630972,3000
"beta[1]",8468.67605252774,5391.45690178562,1503.12130396907,4445.26366182688,7175.22933196952,11275.4187911161,21706.6057325064,1.00087314788452,3000
