"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.323254674499562,0.211852737156779,-0.0667323640800483,0.178530076071668,0.314425282224373,0.45721487512665,0.76700108545321,1.00105081589397,13000
"alpha[2]",-0.125013941579175,0.257481921549101,-0.51646290121426,-0.303765796087515,-0.15498857518514,0.012331932131591,0.471339786151658,1.00120695587249,15000
"alpha[3]",0.141742589475071,0.145391909079525,-0.139460948217701,0.0458345873696591,0.140285787244843,0.238156996339684,0.431210479408166,1.00097994481267,15000
"alpha[4]",0.480250579746974,0.171526601168153,0.135475427623961,0.366050397783856,0.483447730908344,0.598131035366102,0.806455092038497,1.00091253914154,15000
"alpha[5]",0.23824462197323,0.231639780616575,-0.22592477907257,0.0857897282038557,0.24256312253386,0.392119067990787,0.687332646050783,1.00101923206079,15000
"alpha[6]",0.246590613429347,0.298375447644638,-0.306984205767794,0.063587525435908,0.234553837277464,0.414001267304667,0.880654538144332,1.00104677937484,13000
"alpha[7]",1.05524606394345,0.138693355304073,0.782096941749741,0.96415875329236,1.05604406529113,1.14633340275025,1.3303739868886,1.00091295407579,15000
"alpha[8]",1.38307724300832,0.290712960867483,0.824283958397316,1.19040768856348,1.3784524486487,1.57206713542941,1.96882734897716,1.00106119108395,12000
"alpha[9]",0.733999185301296,0.306548110642744,0.163191024825344,0.52403571347571,0.722469916033679,0.930378234630422,1.37282206861191,1.00094132857309,15000
"alpha[10]",1.17992025159175,0.277855356366587,0.635127253613166,0.988565738498371,1.18730783547681,1.37186003466659,1.7128436452144,1.00091988110632,15000
"alpha[11]",0.612298915442619,0.172923483180571,0.275372292712601,0.497536575785285,0.610419720647486,0.726749961229636,0.956005555670529,1.0009075190896,15000
"alpha[12]",0.618691412944411,0.197995302530565,0.247692231988523,0.479829154052004,0.612461565608638,0.749224088858173,1.02238419090889,1.00095530331764,15000
"alpha[13]",-0.0484934227708226,0.151386106435088,-0.33126210237703,-0.151255903194797,-0.0546005816789323,0.0451885620109982,0.268364994884298,1.00094646470315,15000
"alpha[14]",0.125765672820309,0.145702725459633,-0.155547222739379,0.0274181661498312,0.124845223352378,0.2225214330968,0.417617845056673,1.00095917611581,15000
"alpha[15]",0.460443638395697,0.188368566390583,0.0773574707247837,0.336503130247696,0.465879550837569,0.58811043967898,0.817868463187086,1.00121400556666,6300
"beta[1]",6.10642566648241e-05,4.58781132356774e-05,2.32490209590777e-06,2.48356668173645e-05,5.1094193122622e-05,8.80328733293585e-05,0.000171029370626161,1.00111745538364,9100
"beta[2]",4.43738372531984e-05,2.65480530480264e-05,4.11445880722652e-06,2.52701812766988e-05,4.13392852652701e-05,5.9264295798948e-05,0.000106339247658701,1.00114495842229,8100
"beta[3]",0.00010786778155533,7.23394811660561e-05,5.74387264828172e-06,5.04168681134447e-05,9.68849760313561e-05,0.000154053342218232,0.000272169573167122,1.00092342985239,15000
"beta[4]",0.000211833532921276,7.97006889813744e-05,5.46374276765864e-05,0.000155998461426643,0.000212392242708547,0.000267418551904811,0.000365679879432664,1.0009619005345,15000
"beta[5]",0.000146345518188357,5.92081790992705e-05,2.99174787734628e-05,0.000105723250280439,0.000147195344554978,0.000187235334193734,0.000261002579738558,1.00090735549319,15000
"beta[6]",0.000100808231088081,6.9276044262816e-05,4.60320250163872e-06,4.50408879725695e-05,9.0111693141897e-05,0.000144402768674393,0.000260571716841011,1.00107290762342,11000
"beta[7]",0.000120315355909356,7.65991486761147e-05,7.25121688112835e-06,5.92929000429991e-05,0.000110664382425091,0.000170709032741879,0.00028655990830581,1.00090677156742,15000
"beta[8]",4.77409534198101e-05,9.27078299201898e-06,2.97987607200718e-05,4.16109123957651e-05,4.76641489534123e-05,5.37961534935419e-05,6.61910991753099e-05,1.00119930490067,6700
"beta[9]",1.87818248769855e-05,7.50086442603032e-06,4.7246138552661e-06,1.36688396244552e-05,1.85354605958251e-05,2.36254752204981e-05,3.45410646917731e-05,1.00091819895929,15000
"beta[10]",0.000199428694473102,8.6785475084314e-05,3.43654547853761e-05,0.000137961030883468,0.000199126565214336,0.000258942574174988,0.000371569466996809,1.00091182043941,15000
"beta[11]",0.000142947263704116,8.17522676863919e-05,1.16590615934889e-05,8.03507421461695e-05,0.000136040754319268,0.000197390919519935,0.000316768502742193,1.00096853567747,15000
"beta[12]",0.000112433024405954,7.21193387132771e-05,6.03366709175994e-06,5.48253416203681e-05,0.000103869658917132,0.000159546469502251,0.000272224177370275,1.00094339131729,15000
"beta[13]",8.54414899209175e-05,6.18979249392046e-05,3.52528208839864e-06,3.5589151845339e-05,7.42466483878841e-05,0.000122959023961579,0.00022913296171108,1.00094890194901,15000
"beta[14]",0.000108634813717507,6.96190613823496e-05,6.19782666899498e-06,5.36603317470808e-05,0.0001000873628706,0.000152639004379756,0.000266843088996634,1.00091030482986,15000
"beta[15]",0.000200685909779772,6.80307368314887e-05,6.23691059027358e-05,0.000155300672487544,0.000201985384129823,0.000247002724054653,0.000330638941714178,1.00109754653572,10000
"coef[1,1]",-0.198224583448037,0.103027597536383,-0.443841064870463,-0.254659056355187,-0.179898874949677,-0.126085514343851,-0.0392506914143298,1.00112645064118,8800
"coef[2,1]",-0.0792031457381145,0.0799670286769624,-0.22044020961604,-0.134127024992097,-0.0856313160618196,-0.0299527747198038,0.091502448479752,1.00095739694832,15000
"coef[3,1]",-0.135731113944367,0.0781531201911601,-0.298447800117917,-0.182162905544666,-0.134261984095913,-0.0883387938960516,0.0224407612700596,1.00090603743191,15000
"coef[4,1]",-0.152622142373903,0.0752385989759153,-0.320043812377645,-0.19657048881908,-0.146994393303195,-0.10420088025874,-0.0119983004719073,1.00097381654825,15000
"coef[5,1]",-0.0646414848141621,0.0979811813932959,-0.222255615061902,-0.132823294059704,-0.0794147917432307,-0.00899010887092461,0.16336648024545,1.00098156200014,15000
"coef[6,1]",-0.143092318509726,0.0995335124246607,-0.365773829203181,-0.193062589015751,-0.136746139632257,-0.0870011741099896,0.0475389149148039,1.00091443119633,15000
"coef[7,1]",-0.125882022583421,0.0778520351309391,-0.284549092649185,-0.172914090051944,-0.125816777275022,-0.0789594626185089,0.0321940271167043,1.00095846566321,15000
"coef[8,1]",-0.159841503655805,0.0760101646081816,-0.325834256452063,-0.204494487607063,-0.153463012342245,-0.109192314353924,-0.0226131184007246,1.00124277897866,5800
"coef[9,1]",-0.0674532958105143,0.0794700801064224,-0.202247770287132,-0.124628672956934,-0.075884195208805,-0.0165469841610172,0.105414018930694,1.00096957011993,15000
"coef[10,1]",-0.116095204896808,0.0775441475423816,-0.268683591418635,-0.164038191470277,-0.118316659105352,-0.0699631310262311,0.0469989743381024,1.00090240624415,15000
"coef[11,1]",-0.162977942516291,0.0866781518817468,-0.361453686878958,-0.210291055610241,-0.153491010922312,-0.107620092282774,-0.0111466486939507,1.00100610812436,15000
"coef[12,1]",-0.0974014750496644,0.0838075529194989,-0.251116786515754,-0.150435418104242,-0.104646054010534,-0.0502082892430811,0.0895100606389876,1.00100533291328,15000
"coef[13,1]",-0.129959345182587,0.0754854889552384,-0.287942593051399,-0.173621454688851,-0.129015880934854,-0.0843283683077501,0.0212154895983608,1.00104062683525,14000
"coef[14,1]",-0.156023335350102,0.0787610397184245,-0.329271754740204,-0.201417274335911,-0.150778769211921,-0.104913799690415,-0.010191625304578,1.0011399735076,8300
"coef[15,1]",-0.148177385923478,0.0675527054778539,-0.291885169439629,-0.18904721138096,-0.144689676832219,-0.104456393119986,-0.0225906306671732,1.00090890545503,15000
"coef[1,2]",-0.111158940726657,0.111987313549812,-0.370149988208144,-0.174097653141145,-0.0910442036877592,-0.0340573112502975,0.0647172192513734,1.00090190940544,15000
"coef[2,2]",-0.0157365073102673,0.0640168947616646,-0.125716333116123,-0.057066217885405,-0.0229897405410337,0.0195015088920966,0.129528277528989,1.00116512223911,7500
"coef[3,2]",-0.00469514592655413,0.0924414874599874,-0.18034714588208,-0.0616783303062832,-0.0119189215770103,0.0481455682722644,0.195815679602316,1.00093505463174,15000
"coef[4,2]",-0.00993932472334846,0.0773237887355607,-0.154893231401343,-0.0593281836558668,-0.0150599280279437,0.0357565327337448,0.155669204689819,1.00097685582522,15000
"coef[5,2]",0.06483877306673,0.115946070569967,-0.113776327452309,-0.0220717325456213,0.0453530482591736,0.138842770745465,0.324105312125444,1.00094098776662,15000
"coef[6,2]",-0.00481243139405562,0.116589182721516,-0.225927028385438,-0.0702989685513153,-0.0150877472188755,0.0527774115839269,0.262259988970729,1.00110047008092,9900
"coef[7,2]",-0.0263527049044713,0.0838513936489336,-0.193838099672387,-0.0766823030855108,-0.0280660228784831,0.0223625116364911,0.151503698191388,1.00090830408483,15000
"coef[8,2]",-0.0525529615229059,0.0819124588979988,-0.231637615878543,-0.098778147262916,-0.0479600450694516,-0.00182470261718756,0.102180270266319,1.00101527871417,15000
"coef[9,2]",-0.108502280596334,0.0966112598448081,-0.322454343369577,-0.169809454524362,-0.0951186977998074,-0.0393775867566997,0.0515969540446227,1.00101492425494,15000
"coef[10,2]",0.00561146862355259,0.0806952066402408,-0.142048089163193,-0.0473421323467885,-0.000527919834329281,0.0541297403864557,0.179511485364415,1.000939260603,15000
"coef[11,2]",-0.0269802772000207,0.0954055516043029,-0.221191722672486,-0.0816291790404713,-0.0301201216827691,0.0264854836809215,0.175409330395423,1.00091036872434,15000
"coef[12,2]",-0.00441610176766223,0.0897306467143632,-0.170544404568262,-0.0607235404069296,-0.0121496520750668,0.0465780251645396,0.194270676307106,1.00096738805284,15000
"coef[13,2]",-0.00346871360207085,0.0789485710236273,-0.154553147916175,-0.0540173780672431,-0.00782530953056805,0.0449476096385903,0.159732962373378,1.00090428313418,15000
"coef[14,2]",-0.0527102226298561,0.0851180660176789,-0.238974757821558,-0.101100775860197,-0.0485311732442155,-0.000530612798523591,0.109594588515903,1.00097551310852,15000
"coef[15,2]",-0.105596231656365,0.0842023721056587,-0.290749906080025,-0.158730186436507,-0.0965970238635699,-0.0461042652747064,0.038686016051087,1.0009429906922,15000
"coef[1,3]",-0.178717044520294,0.0798399954304272,-0.372282124251604,-0.218326897284459,-0.168607859526484,-0.126918939215928,-0.0496237028530196,1.00154038999948,3100
"coef[2,3]",-0.150204662380434,0.0551585759674273,-0.258833354060073,-0.186508645668733,-0.149910494517881,-0.11430071908935,-0.0417753733461213,1.0016996788236,2500
"coef[3,3]",-0.141135512503479,0.0664506441453791,-0.270866054564674,-0.181963115120702,-0.142673338436734,-0.10114169130043,-0.00378507142484911,1.00145106566287,3600
"coef[4,3]",-0.152396930333176,0.0631467302184096,-0.284193827293281,-0.190566632336208,-0.151470021604173,-0.112332978842717,-0.0289718449782087,1.00097127815799,15000
"coef[5,3]",-0.132558645946684,0.0636954931865293,-0.250339786482777,-0.173954812265773,-0.135610546249539,-0.0943062836697858,0.0014185029666698,1.00098330193916,15000
"coef[6,3]",-0.194576777430089,0.101456339695542,-0.473252853071565,-0.232702010400786,-0.175027700226501,-0.130043306471348,-0.0517602756074226,1.00169428518068,2500
"coef[7,3]",-0.16594587943045,0.0695223937268628,-0.324228066700329,-0.20416563237932,-0.16115786283411,-0.120695104369964,-0.0424904534605311,1.00150763586432,3300
"coef[8,3]",-0.135796520161496,0.0655372698287791,-0.259136751553203,-0.178281195827703,-0.13764717259723,-0.0963921723359343,0.00198803925154318,1.00139849460911,4000
"coef[9,3]",-0.139885813551383,0.0614929844478051,-0.258249731397535,-0.179638649691344,-0.141167194617733,-0.101632081575232,-0.0161025913489437,1.00120629870318,6500
"coef[10,3]",-0.16717586988639,0.068017297419258,-0.319298153058237,-0.204966953786323,-0.162410074383302,-0.123389704766605,-0.0464026217504951,1.00153319011096,3200
"coef[11,3]",-0.138553346595331,0.066880635173741,-0.268115967060522,-0.179908351095842,-0.140360926197285,-0.0989997721154196,0.0019754657219877,1.00099399992978,15000
"coef[12,3]",-0.153659348701954,0.0669021553427431,-0.293110281265139,-0.193530668498298,-0.151783985946311,-0.112001451106057,-0.0241352869345748,1.00204308053607,1800
"coef[13,3]",-0.163806605215272,0.06408761379873,-0.301886957664689,-0.202112777605259,-0.160452916485353,-0.121958593352193,-0.0458064195801551,1.00158149961715,2900
"coef[14,3]",-0.142774162241317,0.0656982775982574,-0.272120575684104,-0.183948636532002,-0.144041139487453,-0.104016699717975,-0.0076123344959747,1.00117280240885,7300
"coef[15,3]",-0.129545264928067,0.061775906704397,-0.245433946614839,-0.170706909173338,-0.132093935999196,-0.0907019338340281,-6.79084027954786e-05,1.00106725534734,12000
"coef[1,4]",-0.0425349160792845,0.0600868225177263,-0.163598288484702,-0.0781773377040905,-0.042741794823349,-0.00703363955554275,0.0771098602515111,1.00111727708935,9100
"coef[2,4]",-0.0561876623401203,0.0473301656188438,-0.147742567239389,-0.0871120745079146,-0.0566170821260633,-0.026297034125274,0.0388557814167045,1.00096093702156,15000
"coef[3,4]",-0.0407770315198927,0.0579475223291869,-0.155435210756711,-0.0762989519310971,-0.0421152927001858,-0.0062743040250618,0.0777792057628915,1.00112605089623,8800
"coef[4,4]",-0.0549799660900016,0.0555767766428858,-0.176523637315039,-0.0873255221227958,-0.0524176496907702,-0.0188416728098269,0.048803084996992,1.00123312357461,6000
"coef[5,4]",-0.0315706042253601,0.0575711066822708,-0.137584810181902,-0.0685754287289874,-0.0347281037402498,0.00165821929119575,0.0947733721479797,1.00098009232451,15000
"coef[6,4]",-0.0480872040393668,0.0615665469512425,-0.17687782921926,-0.0828964593247457,-0.0467403911529541,-0.011420703373725,0.072499193436369,1.00113757277873,8400
"coef[7,4]",-0.0400678527768396,0.0578541981277805,-0.153029443051676,-0.0748065236535026,-0.0416050800053262,-0.00610266184201165,0.0801189335695368,1.00117041569356,7400
