"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.452941234113111,0.28631595990577,-0.0367461066429978,0.251886116592723,0.426105917455619,0.628334018442145,1.08554655294087,1.00122465552681,6100
"alpha[2]",-0.0557717809337158,0.265061514322632,-0.465117633211886,-0.240707122826417,-0.0832087930495424,0.0848187038180986,0.555213394604299,1.00097143546756,15000
"alpha[3]",1.41055231887481,0.291030485718613,0.847504043075681,1.22107809906701,1.40755438131846,1.59493722923852,2.00480400178401,1.00106929749456,12000
"alpha[4]",1.00541663177946,0.20534916788725,0.609922772764166,0.869220281662109,1.00234787976613,1.13728237376066,1.42226940541317,1.00098417320445,15000
"alpha[5]",0.516256770112846,0.296954093724383,-0.0383186175836927,0.315939706224116,0.504358885170186,0.703503738262722,1.1297154736927,1.00102999304279,15000
"alpha[6]",1.32646916387143,0.578100667378977,0.292016242269539,0.944728469600663,1.27353369957437,1.65341634475598,2.67256653854373,1.0010706482086,12000
"alpha[7]",2.01735160085739,0.205853971216668,1.60981331780264,1.8805935311439,2.01520827233561,2.15078847638876,2.42780005157944,1.00095483323082,15000
"alpha[8]",1.5276722835008,0.304510605061598,0.936833936638186,1.32425073248911,1.52536626071708,1.72820248040112,2.13690524449214,1.00103686515003,14000
"alpha[9]",0.880115739011392,0.309661020577036,0.277983796327674,0.67574451324597,0.872943741907882,1.07948747257655,1.5163676266757,1.00092836951985,15000
"alpha[10]",2.13042830229552,0.297692436950172,1.54682626068728,1.94054272652322,2.12851158869643,2.32019300298676,2.72912238291372,1.00099453184732,15000
"alpha[11]",1.68523485776713,0.291840254316758,1.12277693082577,1.49335427499046,1.68113501753485,1.87266945582922,2.2773587290278,1.00105418318416,13000
"alpha[12]",1.55516668496331,0.475080520660356,0.669265860856014,1.22980391629206,1.53360830726327,1.86090245698738,2.55909180639902,1.00101008642456,15000
"alpha[13]",0.40788898327113,0.403911488693317,-0.177623374099574,0.121089870157381,0.341760754688619,0.616023313068414,1.37273203603376,1.00117385485308,9100
"alpha[14]",0.668079666717659,0.296481953425997,0.110913472859154,0.468309123259995,0.656856755231358,0.859750485954786,1.27661570257535,1.00101396359995,15000
"alpha[15]",0.942928034457204,0.229551451378174,0.502844607163431,0.791043306955465,0.940335335837739,1.09058126165017,1.40940383091841,1.0010899253158,10000
"beta[1]",0.000108663137141211,7.859312914352e-05,5.01050037966952e-06,4.73249775964379e-05,9.39810849019216e-05,0.000154891748627877,0.000296332093878536,1.00091736824215,15000
"beta[2]",5.17174261429345e-05,2.89330073692984e-05,6.38599060647329e-06,3.10466984645779e-05,4.87105361727443e-05,6.7818334583604e-05,0.000117956607466792,1.00090641840386,15000
"beta[3]",0.00179987165130593,0.000362108206385138,0.00110917474732544,0.00156339838358001,0.00179353546804091,0.00202876268957734,0.00254460404562436,1.00104371369769,14000
"beta[4]",0.000515710864344919,0.000102640025619788,0.00031758009360683,0.000448557360995517,0.000513851298026132,0.000581473592324552,0.000722180216054273,1.00113522464168,8500
"beta[5]",0.000218349924821783,7.55315702471538e-05,7.54046768314381e-05,0.000167907804430942,0.000216370636344996,0.00026592169458408,0.000374479064238594,1.00100643527325,15000
"beta[6]",0.00104025890833157,0.000415861706959397,0.000288067169624781,0.000759932579757874,0.00100932343382389,0.00127816532533571,0.00198180583547697,1.00131453622775,4800
"beta[7]",0.00183208948445388,0.000321971394910752,0.00118352258523265,0.00162562025496985,0.00182877584189504,0.00203967785089193,0.0024715664204924,1.0010033542398,15000
"beta[8]",5.29233235295808e-05,9.58598734032665e-06,3.43136784947016e-05,4.65003012677756e-05,5.28937861809712e-05,5.9168468295224e-05,7.23364956450851e-05,1.00098134527523,15000
"beta[9]",2.30789645627596e-05,7.38869846352457e-06,8.62452318791733e-06,1.81455548494325e-05,2.29158723108504e-05,2.78858289129885e-05,3.80068742232844e-05,1.00103548680911,15000
"beta[10]",0.000536484726988527,9.83786613841017e-05,0.00034058236592141,0.000472917923406362,0.000536439727452058,0.00059907907374546,0.000734801606575243,1.00101996938491,15000
"beta[11]",0.00103881618841737,0.000222033092989373,0.000602976986239913,0.000895301862286528,0.00103754074958316,0.00118144026439109,0.00148916332695823,1.00109737051044,10000
"beta[12]",0.000621242069210995,0.000242592131252396,0.000168910874219701,0.000454984973732891,0.000610889983854964,0.00077747764210848,0.00112888239170056,1.0009271454625,15000
"beta[13]",0.000432650701619916,0.000292653134607514,3.02090277070757e-05,0.000221146218332479,0.000387061604159668,0.000584038936668619,0.00114529844414294,1.00091686769673,15000
"beta[14]",0.000636945211116193,0.000256841541041264,0.000155212351518499,0.000458311672274839,0.000628217739486873,0.000804643072454685,0.00116383236410295,1.00093014256581,15000
"beta[15]",0.000400092751677015,8.67564355201923e-05,0.000232656370739666,0.00034201381414705,0.000398710473082698,0.000455638314629827,0.000575178244368481,1.00124624388239,5800
"coef[1,1]",-0.0945862495865938,0.10393571459918,-0.346889298057462,-0.148282144606756,-0.0742593064959425,-0.0249894067295121,0.0616740862296319,1.00096149485196,15000
"coef[2,1]",-0.0285777148872708,0.0561816460562264,-0.140074048041563,-0.0628576504000675,-0.0289674628679789,0.00474719225579879,0.0843001157065714,1.0010813191872,11000
"coef[3,1]",-0.0168277458004019,0.0616883008481165,-0.139007271924946,-0.0565127281148983,-0.0185367119672477,0.0208659648456468,0.111853779267101,1.00128196474103,5200
"coef[4,1]",-0.0257313521457916,0.0657463501808099,-0.1596625041017,-0.0665729709805353,-0.0257094722369927,0.0144441822522689,0.108093752239887,1.00113533233947,8500
"coef[5,1]",-0.0350452445593516,0.101823019391754,-0.258473245055756,-0.0853074547716944,-0.032378672890487,0.0164694025676299,0.171266769943754,1.00092232779085,15000
"coef[6,1]",0.0222044504601702,0.103017791033196,-0.146026139526421,-0.0434886372296782,0.0043397054427457,0.0748861531767323,0.268234007961299,1.00105218650059,13000
"coef[7,1]",-0.00527242638980604,0.0697824708854145,-0.136069277186241,-0.050260355468483,-0.00950296467232168,0.0351393767406418,0.146947167662707,1.0009534178981,15000
"coef[8,1]",-0.0850147847479834,0.0861773659568587,-0.285437714273932,-0.13371280002344,-0.0715003897922973,-0.0253535976820405,0.0543835153978702,1.00089950157728,15000
"coef[9,1]",-0.00820908573361349,0.0662100751936643,-0.134580911101539,-0.0504421977117211,-0.0116201247686975,0.031101876063182,0.130556731298024,1.00090352530124,15000
"coef[10,1]",0.0296137414877435,0.0712432010409254,-0.0961153161593834,-0.0215701067668074,0.0239713584442881,0.0762715236339711,0.179084656240146,1.00098560835149,15000
"coef[11,1]",-0.0717396673443042,0.0849278134909613,-0.265250451944102,-0.119086587767914,-0.0604659928498283,-0.0153966421022554,0.070694466823774,1.00092711079752,15000
"coef[12,1]",-0.0172401908826479,0.0779712079769647,-0.171680799037356,-0.0632546919494721,-0.0202035534744533,0.0254899763186698,0.151371339886038,1.00100965206381,15000
"coef[13,1]",-0.0650789342711328,0.07519878452543,-0.227338813074861,-0.110048134222557,-0.0583912601048387,-0.0160662209006555,0.0705638910380364,1.00091927275531,15000
"coef[14,1]",-0.0467546938453437,0.0776188996696667,-0.21658730916529,-0.0894365153987356,-0.0423129659237992,0.000738635850648973,0.101725438644178,1.0009809820191,15000
"coef[15,1]",-0.076246761522751,0.0713942812785446,-0.230698692661364,-0.120748644077135,-0.0690411716229019,-0.0265051271901422,0.0451103938116374,1.00103421677598,15000
"coef[1,2]",-0.0891711897256778,0.0939348495924656,-0.325704406885682,-0.131519524481483,-0.0714649920163302,-0.0280812864942287,0.0505074816193915,1.00091303755068,15000
"coef[2,2]",0.00240122015676677,0.0661985087678889,-0.112185904405379,-0.0422577407998333,-0.00354641499164595,0.0439859231421202,0.142079140649769,1.00096468521853,15000
"coef[3,2]",-0.0461003762987642,0.0935751887772414,-0.244657771494652,-0.0906534237315498,-0.0435713816534821,0.00117132788249048,0.136984695175058,1.00090549563531,15000
