"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.279238967336583,0.298737752501426,-0.238067291655347,0.0655238015626152,0.257050168317118,0.467080949229953,0.921390712888932,1.00098706260916,15000
"alpha[2]",-0.0966742792297953,0.258243885534245,-0.494344316191306,-0.27116676378997,-0.124668434861544,0.0393164313400189,0.479734956874284,1.00115040925088,8400
"alpha[3]",1.39560914982771,0.284039306900297,0.834395835935811,1.20986939616472,1.39513716724837,1.58010430460621,1.9644994063936,1.0011272196512,8800
"alpha[4]",0.924596565857702,0.201319561973271,0.538307552886605,0.791968077633697,0.920241758717409,1.05362173115099,1.33048451169036,1.00101160079805,15000
"alpha[5]",0.526099461783214,0.301412422162121,-0.0373921880627502,0.326392587871028,0.514435210088842,0.708382508072795,1.15629334854456,1.00217632755547,1600
"alpha[6]",1.29364666088316,0.581436658928568,0.289140245213406,0.909694915337041,1.23925106395555,1.61168861063547,2.68119811219421,1.00106270329128,12000
"alpha[7]",1.65498659714585,0.175901574851303,1.31177570748765,1.53841473641221,1.65447208564451,1.77172205033241,2.00222259525092,1.00155720947213,3000
"alpha[8]",1.51179974160118,0.297305675414418,0.931080285920754,1.31835568507026,1.50694286926521,1.70533588966514,2.10649526910181,1.0012367540079,5900
"alpha[9]",0.887684589304569,0.304526055558988,0.298461648626044,0.68029850703261,0.885876412405187,1.08881936273642,1.50023655414611,1.00093136602666,15000
"alpha[10]",2.139937464173,0.295760084015167,1.5632400581178,1.94793759052687,2.13719483291819,2.32868630277284,2.74939392443684,1.00098065248414,15000
"alpha[11]",1.53874688392535,0.280117557900958,0.990791178987556,1.35320050619232,1.53571892170477,1.72047687203163,2.09550739611741,1.00104653087834,14000
"alpha[12]",1.27156695522172,0.423683101973007,0.477626566428094,0.985699846740054,1.25609900004639,1.54399726251644,2.14327437624873,1.00090836354715,15000
"alpha[13]",0.389172558173314,0.396689952339748,-0.192357894344716,0.108034309509489,0.325563303727635,0.59856075699805,1.32716593139674,1.0010611736084,12000
"alpha[14]",0.631551229913203,0.27846734262738,0.106153318705363,0.441991742978864,0.626613788714301,0.810878998295543,1.20108378278553,1.00093116508175,15000
"alpha[15]",0.945472387607184,0.227321982734812,0.508650968315472,0.79265545493458,0.941138450523697,1.09240326629856,1.40979685865798,1.00095709221116,15000
"beta[1]",6.01667234112068e-05,3.89647360180083e-05,3.37651234611294e-06,2.98291386671775e-05,5.52506011675375e-05,8.38692755732821e-05,0.000149037078844957,1.00109494809391,10000
"beta[2]",4.9800082619528e-05,2.81889694982058e-05,5.30060656341868e-06,3.00453161012586e-05,4.6968814599674e-05,6.54836612234198e-05,0.000111954436737189,1.0016028883659,9900
"beta[3]",0.001783991850432,0.000353576025532594,0.00110082522682266,0.00155284612624257,0.00178441382505044,0.0020126477895888,0.00248969680228243,1.0011347382315,8500
"beta[4]",0.000244111234421279,4.55326787981891e-05,0.000156882761978465,0.0002136924322211,0.000243356278615334,0.000273844335067501,0.000334734439616075,1.00112128463806,9000
"beta[5]",9.87163834127416e-05,3.46999545650082e-05,3.33454322261386e-05,7.56139199390012e-05,9.7633865007646e-05,0.000119848453700897,0.000172343532418087,1.00167646729985,2600
"beta[6]",0.00103152006509583,0.000416984227397611,0.000290076565592164,0.000752031426314438,0.000999429235174282,0.00127037149874336,0.00197901657381955,1.00098217727279,15000
"beta[7]",0.000836937341246559,0.000125084955970137,0.000592874095983659,0.000753840961240374,0.000837408286343445,0.00091999683914295,0.0010819136363291,1.00162770701468,2700
"beta[8]",5.25973455568125e-05,9.38716819368947e-06,3.41700473100465e-05,4.63927800766879e-05,5.25039291709627e-05,5.86659312031578e-05,7.12867055941675e-05,1.00113799445437,8400
"beta[9]",2.3265330954937e-05,7.29689256104207e-06,9.07846407520237e-06,1.83258751369528e-05,2.31684549666732e-05,2.81178731421108e-05,3.79036524475285e-05,1.00091837332692,15000
"beta[10]",0.000543105384678648,9.74332156557292e-05,0.000351303802694823,0.000480703583648114,0.000542244995107435,0.000605221798172207,0.000743477145277218,1.00091744543146,15000
"beta[11]",0.000486108304203665,9.57025282979134e-05,0.000300100839954602,0.000422162980953425,0.000484882439242184,0.000547264711980199,0.000679215907663533,1.00099852791219,15000
"beta[12]",0.000273806325512344,9.76651874433937e-05,9.05942768660838e-05,0.000207863132636072,0.000270251265689627,0.000336793128741128,0.000473586326199092,1.00090358951638,15000
"beta[13]",0.000434556400557526,0.000291145579369226,3.11558506721827e-05,0.000225368274757641,0.000386607936989155,0.000585370171065628,0.00113647840253341,1.00101876776276,15000
"beta[14]",0.000315631378794945,0.000108705348450044,0.000107773262228341,0.000241992731838253,0.000313510461076329,0.000385117559773695,0.000536509378261067,1.00098335645697,15000
"beta[15]",0.000180971374027087,3.8666375437216e-05,0.000107143195831674,0.000155146898083869,0.000180154477235267,0.000205897409980876,0.000259285720649663,1.00091340936972,15000
"coef[1,1]",-0.0876067981087434,0.098302831635275,-0.331615194785876,-0.135475224399401,-0.0682676815218928,-0.0228672151261792,0.0609368789146647,1.00122211016856,6200
"coef[2,1]",-0.0264771676959078,0.0525142255601792,-0.12874172534143,-0.0587036310230946,-0.0274523389530402,0.004186246030501,0.082828836427288,1.00101834119699,15000
