"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.254352238714841,0.281182526400633,-0.226393629275261,0.0546607522891149,0.230345142609869,0.43105044826597,0.86253444431213,1.00093409480826,15000
"alpha[2]",-0.0568409746558332,0.323282110804853,-0.505134592542757,-0.27034063334307,-0.111719227085424,0.0847705061697125,0.730692711134742,1.0028293854686,7700
"alpha[3]",1.4267910804136,0.290031242006967,0.868977711753737,1.23663595207077,1.420705427146,1.61359814390836,2.01033364116268,1.00098891730456,15000
"alpha[4]",0.923580815650883,0.205752195799597,0.52575536986144,0.788803896857777,0.920961627978222,1.05638264461917,1.33402549365984,1.00092730936783,15000
"alpha[5]",0.533054720591478,0.289418544551147,-0.0211284712377792,0.345012072759539,0.525427172961449,0.710867316151093,1.12729288950317,1.00091209472893,15000
"alpha[6]",1.25005637745982,0.598238324801921,0.250700160951819,0.842109247966517,1.16999344792025,1.5753116961573,2.70389902523148,1.00128297479685,5200
"alpha[7]",1.66704981170986,0.178724532072409,1.31843320525321,1.5492150295458,1.66468048242862,1.78517990307052,2.02367626898534,1.00094628470929,15000
"alpha[8]",1.43888165730173,0.290776393936372,0.875482971042037,1.24556834911825,1.43860899517262,1.63096610482086,2.01292207778818,1.00095222278187,15000
"alpha[9]",0.790781142327393,0.298797947513867,0.2309301097864,0.585391387506598,0.778655023723291,0.987647832039679,1.4062279723108,1.00130094172696,5000
"alpha[10]",2.14397657142817,0.297757566856034,1.55527923597546,1.9512269087383,2.14182830752402,2.33572924452362,2.7383872502072,1.00148245697644,3400
"alpha[11]",1.54693363151302,0.284818836828878,0.995715009666286,1.35783344446444,1.54342193777427,1.72985450732248,2.12289866991052,1.00091108362527,15000
"alpha[12]",1.28122391196572,0.420923076310633,0.488065212958808,0.997054590517218,1.26695576894416,1.55054277981624,2.14625260536796,1.00092438798535,15000
"alpha[13]",0.404633450210708,0.40291786723747,-0.19909578724929,0.124208251267192,0.354952732866809,0.61643063514347,1.3474137188439,1.00103194906729,15000
"alpha[14]",0.625055005361485,0.27930268170047,0.0942685038851488,0.437449895111305,0.619934457287678,0.809018418637879,1.19454167878374,1.00102534462011,15000
"alpha[15]",0.870533888136285,0.229773767722499,0.432206797190695,0.716748322487398,0.86718335225408,1.01726674863843,1.34068806401374,1.00091213844509,15000
"beta[1]",5.50220224458454e-05,3.60168128738884e-05,3.39997446689137e-06,2.6986104476773e-05,4.98558647801971e-05,7.73046585820218e-05,0.000136774569542206,1.00093075728665,15000
"beta[2]",5.40637260896077e-05,3.39030803229408e-05,7.04547494835318e-06,3.14830113875715e-05,4.84985310690662e-05,6.89331235465295e-05,0.000137209729250163,1.00091432700107,15000
"beta[3]",0.00181824904521022,0.00035896385342263,0.00112177364488056,0.00158385463801433,0.00180934990585628,0.00204762618259958,0.00254242013199492,1.00101766108624,15000
"beta[4]",0.000243537471570098,4.74617821123901e-05,0.000149536289830252,0.000212320310739093,0.000242882365831127,0.000274892993587466,0.000337842047900552,1.00095338546244,15000
"beta[5]",0.00010483237887688,3.37594161025181e-05,3.81393446052879e-05,8.29057479287359e-05,0.000104620870472446,0.000126148417103513,0.000173234670723568,1.00090069705939,15000
"beta[6]",0.000999718381251543,0.000410790702359978,0.000279175952131132,0.00072489428144511,0.000954990946019983,0.00122135553948267,0.00197415576150236,1.00099947242367,15000
"beta[7]",0.000848698480153425,0.00012841525155831,0.000593180538648712,0.000763672619692705,0.000848928965895017,0.00093232691987604,0.00110350590363365,1.00103423243559,15000
"beta[8]",5.00262486363108e-05,9.29574006387721e-06,3.20034454264127e-05,4.38553413806303e-05,4.9909782399824e-05,5.61048217241256e-05,6.86956703052689e-05,1.00094563587572,15000
"beta[9]",2.03133543701301e-05,7.36667943048524e-06,6.46000464347645e-06,1.52487200349937e-05,2.00417295213535e-05,2.51804529589054e-05,3.53902672111995e-05,1.0011982227363,6700
"beta[10]",0.000545367631082074,9.84429824111958e-05,0.000352607974397998,0.000481537658764317,0.000544395093352051,0.000608398888703499,0.000745059754590952,1.00136462667036,4300
"beta[11]",0.000488041956114923,9.78935708581296e-05,0.000298373940369803,0.000423055232082333,0.000488385460286369,0.000551137571006892,0.000683023872134984,1.00093515339155,15000
"beta[12]",0.000280001654624449,9.70622607012832e-05,9.62133289339975e-05,0.000214325391758509,0.000277196219048466,0.000343305837784656,0.000478776464725182,1.0009188810283,15000
