"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.408398370015657,0.276253257898721,-0.0548387576093169,0.213978035541611,0.380131998367621,0.571120676549976,1.04294180028338,1.00075311642319,3000
"alpha[2]",-0.0640998129775547,0.342950840336893,-0.575060884734276,-0.292552034314114,-0.112498709123282,0.0990023899110596,0.776213109680952,1.00438999924963,3000
"alpha[3]",1.42690764065267,0.298187171438263,0.834223351594979,1.23724266996563,1.42824551666626,1.618948658886,2.02558887232974,1.00144563387268,3000
"alpha[4]",1.00306392879593,0.208920836582302,0.608371926065899,0.863260667873831,1.00101783171397,1.13783459998908,1.4269150273254,1.00257555820314,1400
"alpha[5]",0.646744399423084,0.270748734589302,0.107290052910059,0.476343208586732,0.642809470765617,0.806381341072027,1.20467870104868,1.00098502774161,3000
"alpha[6]",1.21810035994043,0.570032390143117,0.199196975235794,0.853548519055832,1.18368232459914,1.52722274595416,2.52862466073629,1.00115375746183,3000
"alpha[7]",2.01467428682728,0.209799961312225,1.62747011275971,1.8692217283841,2.01036669247948,2.15340151302142,2.42681372835085,1.00133135652104,2400
"alpha[8]",1.41924555565293,0.300161765610153,0.860299515246813,1.22242831733963,1.4155429301405,1.60703303792593,2.03204909197926,1.00200636761547,1500
"alpha[9]",0.730666488024924,0.295681011818585,0.157390862530391,0.534394355430945,0.727653501081896,0.916139845800041,1.34101359690061,1.00050500115079,3000
"alpha[10]",2.09676421019423,0.296534331241878,1.50087960737015,1.91109577624133,2.09654237562301,2.28230123037577,2.71180821592914,1.00127273014861,2600
"alpha[11]",1.70601686746156,0.29835933861355,1.13362801896955,1.50469270291988,1.70634058459628,1.89586548833406,2.30006715911469,1.00229479710952,1100
"alpha[12]",1.60076069830817,0.463698036514371,0.71519219404804,1.28372151123262,1.59361592663031,1.9002268299771,2.54520255506397,1.001203608142,2800
"alpha[13]",0.395918197873853,0.459641411252557,-0.248593106832432,0.0906748549427849,0.330732637322825,0.6046918373744,1.49095075785661,1.00149931926963,2400
"alpha[14]",0.639950355826102,0.300197279934014,0.0725820359725827,0.436910315774657,0.630043905065133,0.8316289705934,1.24739577141548,1.00099982002826,3000
"alpha[15]",0.848139524841496,0.239172403009049,0.378581041065716,0.686905025133973,0.845753855313096,1.00395205894884,1.34251806768464,1.00056569036688,3000
"beta[1]",9.97444123355219e-05,7.4109351095567e-05,4.24805040815602e-06,4.21298090718153e-05,8.54948147577095e-05,0.00014183960838801,0.000275314699245029,1.00190619278797,3000
"beta[2]",6.8824064159283e-05,3.66038087355507e-05,1.4826023764078e-05,4.45202856784252e-05,6.38635223980469e-05,8.65397272149919e-05,0.000158662402721047,1.00061738722146,3000
"beta[3]",0.00181616736453528,0.000376296790689761,0.00106305032678625,0.00157766080097069,0.00181074178036282,0.00206373041659197,0.0025518768232285,1.00076945934404,3000
"beta[4]",0.000513511167656673,0.000107643003955468,0.000304322197839994,0.000441534557761794,0.000512138308633504,0.000583033093708398,0.0007251040073031,1.00237477266807,2500
"beta[5]",0.000245379248106021,7.0552509462601e-05,0.000109647500247098,0.000199911164097952,0.000244743436060663,0.000289219675809899,0.000387692470155744,1.02461256592286,1600
"beta[6]",0.00109505761944428,0.000394686477434476,0.000376216800923117,0.000841327733130569,0.00106937524036355,0.00131297310242114,0.00199811261223635,1.00254356769351,2500
"beta[7]",0.00185307234498118,0.000326875868733065,0.00120326147977213,0.00163413371575386,0.00184978128496885,0.00206915798142981,0.00250292805376212,1.00171398226486,2000
"beta[8]",4.99322707101495e-05,9.547662586228e-06,3.18232886698052e-05,4.37386482799617e-05,4.97396483865499e-05,5.60583236503909e-05,6.90759112112895e-05,1.00210715559887,1200
"beta[9]",1.89470103255938e-05,7.21415306972371e-06,5.47944482965075e-06,1.40373936087434e-05,1.87789360665577e-05,2.35428485220545e-05,3.36232246015364e-05,1.00075276868607,3000
"beta[10]",0.000542561363732836,9.72483944918511e-05,0.00034631622460816,0.000482449486541309,0.000542513071081759,0.000604159854349627,0.000736673689628362,1.00129680490129,2500
"beta[11]",0.00104319106971174,0.000230874947634034,0.000594271376013817,0.000885159281850388,0.00103956375371594,0.00119091350022186,0.00150140893644108,1.00180871839762,1500
"beta[12]",0.000638167254923474,0.000236109555479008,0.000183146418856594,0.00048019808433941,0.000634959973778117,0.000793623332119185,0.0011131355971899,1.00070932136715,3000
"beta[13]",0.000506675010307124,0.000341742400068134,4.13968155605317e-05,0.00027344651366823,0.000453235793179723,0.000660928050829935,0.00131909483357079,1.00072076936928,3000
"beta[14]",0.000630271238409155,0.000256339014122094,0.000153085867555613,0.000456244632995246,0.000621720426192818,0.00079492029117992,0.00115961945579468,1.00066944639794,3000
"beta[15]",0.000366962107832391,9.09943572912585e-05,0.000188310759642725,0.000305456259859814,0.000365453781013402,0.000427023322068906,0.000550641619424722,1.00259782398671,3000
"coef[1,1]",-0.119728114632527,0.116315419064983,-0.405585682808496,-0.184044309411672,-0.095386378690955,-0.0391499092485912,0.0530034952660863,1.00144765729587,2100
"coef[2,1]",-0.0112013502269174,0.0838841178253208,-0.176242235408395,-0.0616060675482869,-0.0159049696364241,0.0347760537951989,0.179336843654365,1.00173852949668,1600
"coef[3,1]",-0.00670785245458446,0.0696863956694241,-0.137203042481907,-0.0491454544749835,-0.0116267616741192,0.0331749846273398,0.142588569631844,1.00074866929004,3000
"coef[4,1]",-0.0420343890114351,0.0721763899811124,-0.191238429334293,-0.0852958435885748,-0.0406567089025546,0.00373478496661098,0.100360024436184,1.00154012835866,2100
"coef[5,1]",0.024948477802428,0.0888030252253584,-0.118893875657103,-0.0358444551278704,0.0137344475224489,0.074886358923428,0.227158739651826,1.00095512855475,3000
"coef[6,1]",0.0153319933284648,0.114644593583065,-0.17161327532944,-0.0544090170965743,-1.09949064415887e-05,0.0675522445060704,0.293091793313189,1.00094691812069,3000
"coef[7,1]",-0.00416287455904538,0.0723496649427685,-0.131108509330539,-0.0522707075948834,-0.00995731897011814,0.0371661663718603,0.1592257445419,1.00074511452447,3000
"coef[8,1]",-0.094901770987892,0.0887656286899593,-0.29035610424961,-0.150672789577754,-0.0830155103011184,-0.0328675936173009,0.0519731157824345,1.00054364917295,3000
"coef[9,1]",-0.00316743351346543,0.0684047461572933,-0.127697417386062,-0.0475919831515707,-0.00830058337513527,0.0405606790870461,0.145475807796638,1.00058151434076,3000
"coef[10,1]",-0.016340993229753,0.0734106252513006,-0.155253616405526,-0.062074570925865,-0.0207381008467206,0.0279128374476001,0.139494848646236,1.00060201740966,3000
"coef[11,1]",-0.0536437368393029,0.0761770978049773,-0.221732823037774,-0.0979931761334201,-0.0489035656215367,-0.00576869948897936,0.0923935299078933,1.00052956671096,3000
"coef[12,1]",0.0120316592673033,0.0857957452385785,-0.137038318038793,-0.0437875117776719,0.00294003481682546,0.0610980984441767,0.206542071439962,1.0009051480559,3000
"coef[13,1]",-0.0470021085025615,0.0808497922843125,-0.223999915016819,-0.0906209478617134,-0.0421116711339899,0.000856629819930305,0.104708087279397,1.000714054226,3000
"coef[14,1]",-0.0782278491581631,0.087494582707095,-0.282761228780942,-0.126745721082718,-0.0654396059595737,-0.0206232517510298,0.0731001858598662,1.00088124430277,3000
"coef[15,1]",-0.0655854688504587,0.0707400858541062,-0.219954410504244,-0.108400927727648,-0.0601214951423798,-0.0181525130733665,0.0589236836064574,1.00069902349522,3000
"coef[1,2]",-0.117395745564762,0.122750551622066,-0.393643538593068,-0.194296876266591,-0.100593327345732,-0.0256157265539031,0.0787592355920355,1.00220790109442,1200
"coef[2,2]",0.00493224711581115,0.0867331552636005,-0.143547621664503,-0.0504403940297081,-0.00161322094472296,0.0541539310521692,0.194698482009605,1.00208905422894,1800
