"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.151054574675953,0.178995255001612,-0.191965049810774,0.0352372379746154,0.148313361947304,0.265626992579147,0.512673358676612,1.0009756955362,30000
"alpha[2]",-0.50611982034059,0.0949773877400446,-0.665874018399535,-0.550344548702329,-0.507922351749725,-0.465973419523526,-0.35230268977254,1.00360364032077,12000
"alpha[3]",0.969156589122067,0.621628444382473,-0.121673836224144,0.244611529960319,1.17333395320296,1.43152155271469,1.86148823945728,1.22424208311418,14
"alpha[4]",0.957977270212265,0.210248292823512,0.544284549981813,0.82103613357879,0.958574987822614,1.09497878238642,1.37016398070663,1.00110637641742,13000
"alpha[5]",-0.162486075227883,0.286490801584203,-0.545206647116283,-0.33049737114765,-0.219480473096784,-0.0859826209283647,0.670652355686143,1.00130053819608,5700
"alpha[6]",0.107050435075152,0.375396827283223,-0.479295137467927,-0.0879022470264508,0.0698654090521439,0.232240994219681,1.03657884068254,1.00114539947078,10000
"alpha[7]",1.93127164602942,0.225212593320145,1.47756266122285,1.78825417928298,1.9333459294723,2.07955767002524,2.36511551985849,1.00188834252899,2100
"alpha[8]",1.47530086978747,0.316532769800282,0.851822449915924,1.27152708390639,1.47697435079964,1.6817712121981,2.09053887440628,1.00101127742777,30000
"alpha[9]",0.535461833857025,0.455146451459487,-0.181632310176594,0.0946618348897303,0.577549347992544,0.884192414086747,1.37571268065717,1.0012359902299,7000
"alpha[10]",1.71355469682311,0.626866171313047,0.437018114203821,1.45199619573271,1.88605490101577,2.14684542265008,2.61374084192617,1.01545599859792,180
"alpha[11]",1.45012195969823,0.460180094698909,0.337902105351409,1.26799656176547,1.53178585088622,1.75080049935789,2.15717789008797,1.00848302093807,450
"alpha[12]",0.476557288003914,0.276151903082546,0.130200817580747,0.329703104595252,0.435050036411201,0.549498838604237,1.34053163242881,1.00102158753957,27000
"alpha[13]",-0.132618115055441,0.121937194025324,-0.364415524139581,-0.207237500419041,-0.135527177133627,-0.0611380152378978,0.111142061535317,1.00165497856498,2800
"alpha[14]",0.0225590121349207,0.16337649593497,-0.251773026883376,-0.0768281494462311,0.012715245762007,0.104045303069968,0.352816311139138,1.00095052515643,30000
"alpha[15]",0.858449592546271,0.298520091590714,-0.014411733806852,0.726064368395311,0.888130190120677,1.04327850474157,1.3455886474038,1.07379810204546,78
"base.rec[1,1]",2995.1716253907,526.537624487685,2111.42809866335,2634.61573636563,2945.04907160389,3303.1058748942,4179.49753418304,1.00098417199972,30000
"base.rec[2,1]",8182.39575662196,639.246914215206,7060.54384723721,7839.25081162902,8160.85945024066,8497.18425412837,9451.11238264337,1.00149485459271,3700
"base.rec[3,1]",806.731637827578,87.2062290308049,640.830879121866,751.271212403914,803.29928181974,858.580166257043,989.017784731474,1.01737919156225,260
"base.rec[4,1]",1908.81627159084,286.642856816209,1421.03708088168,1715.66415440693,1881.77345467694,2072.84920664782,2554.02943019299,1.00116281705746,9300
"base.rec[5,1]",4113.95479862922,768.656848773167,2613.96465435749,3640.74483740819,4088.2740406034,4563.3126109097,5726.26907156068,1.00110061435336,13000
"base.rec[6,1]",2558.62231203195,1935.22376209296,1237.99844045371,1985.26909064578,2328.02930958692,2713.83695705449,4980.32276113969,1.0010149264409,30000
"base.rec[7,1]",1454.59703012849,160.409188712876,1162.71214338053,1346.67875387417,1446.35562142067,1553.03020079272,1794.40939872394,1.00119399195941,8200
"base.rec[8,1]",25176.9595123505,3815.37874042414,18701.5823021748,22564.3742632651,24838.5410006542,27393.1598687003,33640.080777615,1.00104387762406,21000
"base.rec[9,1]",44164.7320967299,8004.68065996831,30922.6723280213,37964.889517123,43293.1468220776,50160.4093507127,60326.8172555619,1.00116401550022,9300
"base.rec[10,1]",5279.63558792972,966.479832899043,3288.30675285189,4704.21995102931,5367.65344853309,5899.87849720379,7090.86040091882,1.00953749814577,290
"base.rec[11,1]",1388.643310192,379.797274355319,641.861156460372,1167.35597572759,1393.94233708642,1620.07697964416,2148.87599255508,1.00737469229384,500
"base.rec[12,1]",2072.19089884374,361.845729187393,1501.65042241105,1829.65733129997,2028.58123322593,2258.82892332986,2923.49367969707,1.00103135970865,24000
"base.rec[13,1]",1390.74895627627,165.896589676137,1099.99218557047,1283.76241627031,1378.28757899957,1483.13316643913,1752.56798678218,1.00171396325723,2600
"base.rec[14,1]",549.080514780894,79.7959058709032,416.158680893097,495.655748208434,541.727298791125,592.682325022009,725.180817634128,1.00094988647913,30000
"base.rec[15,1]",1662.8103070281,297.915009076902,976.369649268642,1490.27983248708,1662.08319156896,1842.02194221517,2259.69229469134,1.05965843343381,91
"base.rec[1,2]",4408.91474220254,769.436487249791,3118.58112101164,3880.97950180467,4334.24743679426,4858.50713512604,6140.68746146907,1.00098820524546,30000
