"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.27938924263691,0.29793451128958,-0.232288465728881,0.0678426924458515,0.25556641266332,0.467888533364108,0.925599114721809,1.00097292247596,15000
"alpha[2]",-0.129937390127416,0.254246035927196,-0.57217579563592,-0.284818699892096,-0.152859780347712,-0.0109864684656362,0.467924229199697,1.00331647621916,1600
"alpha[3]",1.40822062204807,0.274409598222707,0.883067643871823,1.2285177053272,1.40222366896745,1.58367788825404,1.96038406182598,1.001458752231,3600
"alpha[4]",0.878403858737171,0.198951150616103,0.490850353514835,0.746509540125397,0.874365966495971,1.00964296556673,1.27931836317793,1.00102031338205,15000
"alpha[5]",0.501635545242233,0.267247817376683,0.00526002887428825,0.325046658191818,0.491523404633954,0.663330392915925,1.06825015315956,1.00199305967364,1800
"alpha[6]",1.24299897919282,0.618601600304761,0.178704182025682,0.828651397285704,1.17089698021942,1.57945895977786,2.74026228624678,1.00167032143535,2600
"alpha[7]",1.65252473754356,0.183339433568654,1.28721360433353,1.53194936319229,1.65187736161599,1.77539924964165,2.0110043446805,1.00169660238945,2500
"alpha[8]",1.51609920253279,0.28213601903215,0.958684246723582,1.33132845740733,1.51860653125034,1.70010843565985,2.08142589393002,1.00216333797226,1600
"alpha[9]",1.05478940001912,0.260645062139381,0.544044016892612,0.886572855720583,1.05111892547527,1.22338205094373,1.58891023688753,1.00144993060097,3600
"alpha[10]",1.59998334415923,0.247773787672069,1.11196928306374,1.43980660325178,1.59844120423412,1.75797580002757,2.10135752257879,1.00121797962274,6300
"alpha[11]",1.4103675192311,0.302182243195711,0.817117254607232,1.21126684284361,1.40702284098232,1.61017098166958,2.00693373144483,1.00164188341607,2700
"alpha[12]",1.18410105260164,0.42260897995794,0.39383401382152,0.892504431057812,1.16871067840091,1.45999378947596,2.06479039983027,1.00094299997393,15000
"alpha[13]",0.343402725007352,0.432253343868237,-0.252791986927387,0.0462367571443826,0.272496174587264,0.549025643640269,1.4332233389762,1.00683806213107,1100
"alpha[14]",0.552218669326251,0.261770551349138,0.0515531336511067,0.374861722912102,0.547544540571373,0.720926051670903,1.08790467664739,1.00101056283398,15000
"alpha[15]",0.931838311605376,0.227784207646243,0.492003524996389,0.777806241563163,0.928032891902232,1.07866204492515,1.38823428437955,1.00106580095834,12000
"beta[1]",6.24556943861667e-05,3.90928767958843e-05,4.13121284251257e-06,3.22597266468599e-05,5.77447221304357e-05,8.66446865371314e-05,0.000150122201707176,1.00103157537288,15000
"beta[2]",6.18682658403116e-05,2.71797606944363e-05,1.41811459371657e-05,4.53538201615238e-05,5.9555259311715e-05,7.46307078449692e-05,0.000124455074521708,1.00523465226263,1200
"beta[3]",0.00179358919433565,0.000348048464705226,0.00112384591683211,0.00156404558826464,0.00178733654971324,0.00201643219473886,0.00249306798106599,1.00125777426516,5600
"beta[4]",0.00023212918054078,4.60655066414974e-05,0.000142264708178111,0.000202087991291592,0.000231298666133522,0.000262068756704223,0.000323830450560919,1.00105876149648,12000
"beta[5]",9.19416489608871e-05,3.08550349043781e-05,3.38223032447431e-05,7.17720388389814e-05,9.07782249943221e-05,0.000110622869720661,0.000156733742285023,1.00157819834163,2900
