"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.274543309115768,0.296664362415073,-0.240330262194955,0.0644207253800474,0.248187874237001,0.461745804553181,0.918516163681384,1.00095905542531,15000
"alpha[2]",-0.136650630038747,0.250778466731331,-0.569067358891557,-0.291709737254625,-0.152846572833075,-0.0103568485384544,0.424683573042102,1.00102775674458,15000
"alpha[3]",1.40871471204616,0.272825544874875,0.870151306142345,1.23191901391986,1.40591426550558,1.58198877727442,1.95296186219749,1.00093000840537,15000
"alpha[4]",0.874752591445088,0.19854821161309,0.493623685138018,0.742339759029122,0.870441447866908,1.0039617103351,1.27850170410176,1.00125936686244,5500
"alpha[5]",0.502585284174337,0.263347545839371,-0.00346447667459727,0.331520803508108,0.49413903768622,0.66268333781353,1.06204490268222,1.0009073703043,15000
"alpha[6]",1.23821743953249,0.608847723015792,0.170489812616518,0.83740936599972,1.17554061097851,1.56721127752264,2.69224503477058,1.00105048785383,13000
"alpha[7]",1.65109448725001,0.182404158357994,1.28511321412396,1.53146764738106,1.65218617411828,1.77300593378311,2.00982000595788,1.00107384329537,11000
"alpha[8]",1.5166767032655,0.27906418054457,0.975309142940182,1.33343575851859,1.5153099158346,1.69738900016807,2.07575684450007,1.00105274789642,13000
"alpha[9]",1.05066812791972,0.257972267125508,0.533360034994594,0.885716916715572,1.05118226740216,1.21932689391558,1.5601549303341,1.00091380574178,15000
"alpha[10]",1.60345202064866,0.248280777488317,1.11562198869224,1.44332992076483,1.60056280310542,1.75893315637588,2.10717293042362,1.0012429851352,5800
"alpha[11]",1.40848086230097,0.298997020390192,0.834276447660236,1.20906786859347,1.40560779359711,1.60306120187714,2.01280257845062,1.00146141281032,3600
"alpha[12]",1.19489731451496,0.4277888053469,0.386474640360431,0.906101406805808,1.18532623023909,1.46086908688585,2.09422989152751,1.00094606255135,15000
"alpha[13]",0.327624919235172,0.398353086567358,-0.245880184223771,0.0472697418140535,0.267300249282289,0.5342568311139,1.26337830847773,1.00093239140051,15000
"alpha[14]",0.552455242036171,0.265313304168136,0.0391358296330578,0.376429026221259,0.547110653725168,0.721609429551205,1.0915211913716,1.0010573481489,13000
"alpha[15]",0.932098673620523,0.225351439949135,0.499292450244468,0.780507990470813,0.929744769786065,1.07679205408686,1.38201325117609,1.00128053254381,5200
"beta[1]",6.18015087800753e-05,3.90039450318371e-05,3.94993263428524e-06,3.1838002236266e-05,5.70307661119314e-05,8.62702553466217e-05,0.000150368951475654,1.00097392218351,15000
"beta[2]",6.10601726780985e-05,2.65667746268731e-05,1.43683587135547e-05,4.45332420691727e-05,5.93649837166515e-05,7.46354897433472e-05,0.00012083515254173,1.00136707022783,15000
"beta[3]",0.00179217970179827,0.000345445797066781,0.00111938988883366,0.00156748497586274,0.00178896906075973,0.00201457531788,0.00248391173796366,1.00090757934969,15000
"beta[4]",0.000231060348483973,4.56818358093168e-05,0.000142324995225393,0.000201193392276345,0.000230407429534864,0.000260451059191693,0.000323925440324604,1.00130631534039,4900
