"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.900308534415402,0.450263272935677,0.0909138777417235,0.577804366061232,0.87730872688572,1.19637632972793,1.84526687267997,1.00099690995755,15000
"alpha[2]",-0.177211583596458,0.251109993678466,-0.598285886184409,-0.338271469977785,-0.200684387452831,-0.0533260142759044,0.412102508890413,1.0009187291137,15000
"alpha[3]",1.38193764195906,0.313244544956481,0.774840399589412,1.17473985779832,1.37743138364235,1.58242620629676,2.02067165882152,1.001558258575,3000
"alpha[4]",0.972694105721151,0.20150587700253,0.58768104619766,0.837634041060222,0.969957046127078,1.1018849770494,1.37746568352702,1.00090402455517,15000
"alpha[5]",0.644892729093247,0.568883786293517,-0.33265373180117,0.250243027155797,0.590067198845036,0.991214371452529,1.90224830741404,1.00103303811555,15000
"alpha[6]",1.21594200184851,0.629282624730818,0.136564223490518,0.788457889573348,1.14802906443377,1.57576551550138,2.70411918291675,1.00096930446708,15000
"alpha[7]",1.66230822891218,0.179899537726993,1.30265641474003,1.54488174963004,1.66391180728001,1.78112371180275,2.01419843849257,1.00140320234309,4000
"alpha[8]",1.92866077315062,0.336143140732983,1.28412916970014,1.70477012805666,1.92309715178886,2.1472878088783,2.60149721421617,1.00096687643996,15000
"alpha[9]",1.00459152610977,0.344175770369301,0.36312054994942,0.77250249280243,0.994423553218722,1.22566180539767,1.71135677977197,1.00091264047261,15000
"alpha[10]",1.42028219955977,0.334908928764547,0.778746334992923,1.1984783536475,1.41243894414241,1.6323407749044,2.10314056455747,1.00094500506413,15000
"alpha[11]",1.37615394204605,0.312196959982409,0.764568390289793,1.17059175150637,1.3748016800008,1.57723270667504,2.00336744384287,1.00127824148034,5300
"alpha[12]",1.23973053960693,0.431451672789015,0.419718238856093,0.949260614003342,1.22696538280772,1.51679617532321,2.1394210035361,1.00091101157065,15000
"alpha[13]",0.341978650972133,0.42923562651968,-0.287541213062115,0.0376051963476434,0.282405151926896,0.567817851470233,1.34042135733933,1.00094023969355,15000
"alpha[14]",0.465932495093696,0.275045049262193,-0.0593081806750027,0.278308614073289,0.460569477412552,0.646536066957447,1.02825448998698,1.0010602249323,12000
"alpha[15]",0.797392372519122,0.248887253599307,0.318428134459863,0.631769917364008,0.792006247314744,0.959466733913905,1.30706738359386,1.00091850291321,15000
"beta[1]",5.09921153423392e-05,3.39992340067896e-05,2.83677121720848e-06,2.44133966880121e-05,4.5858984527324e-05,7.21081871506982e-05,0.000129734701372097,1.00090020871866,15000
"beta[2]",5.72984185799535e-05,2.64688509526315e-05,1.26027443115271e-05,4.01145674298607e-05,5.49664054241659e-05,7.08970076977205e-05,0.000118708579595631,1.0009365091807,15000
"beta[3]",0.00180344342042146,0.000348984451272178,0.00111355822234166,0.00157290743747043,0.00180028502755495,0.00202663989535149,0.00251542393373321,1.00159109769274,2900
"beta[4]",0.000228063238849539,4.91472214531686e-05,0.000132203610446405,0.000195981734521256,0.000227541663932359,0.000259760668215509,0.000327269547582247,1.00095245521766,15000
"beta[5]",9.24270338902262e-05,3.08116434265535e-05,3.33729749273761e-05,7.23256105969025e-05,9.11698882099905e-05,0.000111295875615745,0.000156802857174882,1.00104929624508,13000
"beta[6]",0.00110364648995238,0.000415096182130352,0.000382443829948711,0.000826980095596745,0.00106111913013669,0.00132677877762023,0.00206050128796157,1.00089921206784,15000
"beta[7]",0.000852021069050822,0.000131169529382379,0.00059093295502555,0.000766289357401569,0.000852451220697599,0.000939034991447058,0.00110977046629199,1.00149726308252,3300
"beta[8]",4.97433057291618e-05,8.55299060060859e-06,3.31469197505882e-05,4.40432884905381e-05,4.96697329377708e-05,5.53201536060485e-05,6.68068498052123e-05,1.00091648112711,15000
"beta[9]",3.17927068542246e-05,6.52967644590897e-06,1.90949214730912e-05,2.74969882412328e-05,3.16801728331085e-05,3.60498899860279e-05,4.48924599419318e-05,1.0009631371926,15000
"beta[10]",0.000495466873080899,8.07464361921061e-05,0.000339847864173188,0.000442689247119507,0.000493899541701281,0.000545889093511251,0.000661064846901045,1.00113159885099,8600
"beta[11]",0.000508468692727524,0.000103275851289028,0.000305294294848046,0.000439987543899047,0.000507097653937543,0.000575941901961563,0.000718670620735978,1.00134251255165,4500
"beta[12]",0.000262351530562842,9.77651068018331e-05,7.52679184446915e-05,0.000196481481673574,0.000259680477977885,0.000325344330176086,0.000466455434805457,1.00093180081775,15000
"beta[13]",0.000475397710716796,0.000311660004102998,3.80859367325917e-05,0.00025072995721336,0.000430127332433547,0.000637692209438269,0.00119895032041382,1.00093519581806,15000
"beta[14]",0.000284234701132798,0.000104605106211625,8.3433198888534e-05,0.000213819596858894,0.000282622187563996,0.000352740230976552,0.000497082768385575,1.00102025576467,15000
"beta[15]",0.00017188004240487,3.85826444070393e-05,9.71353926461608e-05,0.000146482832331406,0.000171107102699564,0.000196660347120923,0.000251589479342851,1.00091330112835,15000
"coef[1,1]",-0.450043591298171,0.236766947370867,-0.950734966579596,-0.609464909163988,-0.429429064086122,-0.269073362780401,-0.0585010703742027,1.00097375340523,15000
"coef[2,1]",-0.140111454639761,0.160578945816854,-0.423840377220327,-0.24266022627245,-0.153745387725506,-0.0521771727249508,0.216394826963553,1.00093042121798,15000
"coef[3,1]",-0.0724665998561227,0.19232142642342,-0.419521469150252,-0.200244203824715,-0.0906545973243433,0.0440563263651257,0.348332636964801,1.00098448713046,15000
"coef[4,1]",-0.176031831159058,0.165798718925007,-0.512572863282161,-0.277734386871255,-0.178034907158657,-0.0734577890915351,0.162173728454026,1.00107327955436,11000
"coef[5,1]",0.0780222762754561,0.27381371473474,-0.33691533509397,-0.123466605261623,0.0344275058170885,0.244343316859177,0.694282261647872,1.00103987427274,14000
"coef[6,1]",-0.0494599671744121,0.298777653054898,-0.554372197425806,-0.229241106520895,-0.0962283216681047,0.0939578890773413,0.662711238569237,1.00097762000796,15000
"coef[7,1]",-0.0101545435605536,0.179629737123206,-0.330720667218886,-0.139117834058,-0.0235890039214133,0.109435865901285,0.362734224324853,1.00102004212334,15000
"coef[8,1]",-0.290287589938811,0.143086177143552,-0.590684066268022,-0.383671249325448,-0.282362697123028,-0.191166665556106,-0.0302049798250495,1.00091825582137,15000
"coef[9,1]",-0.0315012031204493,0.230145164374895,-0.419210438564828,-0.187799157631976,-0.0617924169933116,0.101386434230975,0.490448114412625,1.00098216369357,15000
"coef[10,1]",-0.123754276597793,0.164024546138081,-0.438172030055814,-0.228388645456825,-0.12949419249063,-0.0228604024517369,0.21966026407473,1.00094866620295,15000
"coef[11,1]",-0.145765367957063,0.187082788429636,-0.519970556085617,-0.260963987185123,-0.152218320576244,-0.0353031119716403,0.257873391637702,1.00090160180248,15000
"coef[12,1]",-0.0148166306198684,0.214147701646691,-0.374370179788685,-0.165070923437928,-0.0386302481835799,0.115154315196136,0.460589652042507,1.00090027534724,15000
"coef[13,1]",-0.159217249035105,0.204309536440304,-0.558760780112284,-0.281733440038661,-0.164258679332564,-0.0418663488364116,0.274721113407494,1.00097995077211,15000
"coef[14,1]",-0.261870725119978,0.204152172814972,-0.706881751287433,-0.382645740765375,-0.24495552079918,-0.130685801357666,0.119623814828472,1.00092631879106,15000
"coef[15,1]",-0.243361587222744,0.164342496872707,-0.580491041349473,-0.348794659762828,-0.23534118952112,-0.135769225368975,0.071995219165048,1.00107207345038,12000
"coef[1,2]",-0.125928521824493,0.0578803658459975,-0.254796559049432,-0.158442632401184,-0.121895774931639,-0.0885492534626599,-0.0226948998573218,1.00093189777839,15000
"coef[2,2]",-0.122051515755046,0.0501256943298663,-0.226395719410167,-0.153401138531173,-0.120757811944141,-0.0889412792516243,-0.0267192319043731,1.00100854637744,15000
"coef[3,2]",-0.103741697359887,0.0516548675411684,-0.201980442181218,-0.13681098716113,-0.105250620455643,-0.0719980819944486,0.00387752437838408,1.00110583468372,9700
"coef[4,2]",-0.119724222302615,0.0519977474368828,-0.228299144030363,-0.151207604055755,-0.118294889601463,-0.086213977264217,-0.0214482816568811,1.00091364606101,15000
"coef[5,2]",-0.107257082312819,0.0526380293107964,-0.209277468062979,-0.141166628305057,-0.107733175584784,-0.0752057453149598,0.00208643211173698,1.0012423260142,5800
"coef[6,2]",-0.114946981191675,0.0606514194015213,-0.240995551244001,-0.148381946042065,-0.114252108546375,-0.0798450514949372,0.00128080002053358,1.00093425137737,15000
"coef[7,2]",-0.101578357831737,0.0507475483376235,-0.195591831433214,-0.135301037004355,-0.103157263878122,-0.0706935750833522,0.00567012928465994,1.00099384287649,15000
"coef[8,2]",-0.105711030672429,0.0525959418075507,-0.206000997604298,-0.139423032269416,-0.107228991759713,-0.0734434636133023,0.0023862255463906,1.00121518212291,6300
"coef[9,2]",-0.110823602800182,0.0507678628512707,-0.209635689145262,-0.142989200911741,-0.111231134516365,-0.0786288576414899,-0.00985512628250031,1.00101877561633,15000
"coef[10,2]",-0.117795888110971,0.0505548858917542,-0.221403068913453,-0.149679691392932,-0.116493532283655,-0.0850167135447008,-0.0209388057704112,1.00112320516031,8900
"coef[11,2]",-0.10847906747965,0.0527673133485862,-0.210517992560566,-0.141716911616987,-0.109732414245114,-0.0765377080098096,-0.00132922966357284,1.00090176843442,15000
"coef[12,2]",-0.115062427821759,0.0527253102271817,-0.223258485090232,-0.147239062257127,-0.114398740714774,-0.082665728454453,-0.0126702331761216,1.00093138383912,15000
"coef[13,2]",-0.123079787537686,0.0567045317029886,-0.245670124448641,-0.155914782018116,-0.12033957327462,-0.0871161725608372,-0.0163686506348022,1.00090085506701,15000
"coef[14,2]",-0.111987734518041,0.0521510639730772,-0.217755622637905,-0.144189783483139,-0.112169339382972,-0.0792835623905866,-0.00779214158400414,1.00097696905569,15000
"coef[15,2]",-0.10179959040257,0.0514268987635991,-0.198476069806467,-0.13563116726356,-0.103568863216222,-0.0705768603063868,0.00588950256504013,1.0009714891914,15000
"coef[1,3]",0.0680771756299232,0.0439535432414735,-0.0196533529624125,0.0422219340997474,0.0678388132776723,0.0935235904411509,0.158156709314313,1.00092197899373,15000
"coef[2,3]",0.0709342052456514,0.0367737822418612,-0.00152297829942212,0.0481444236660831,0.0708441770782102,0.0938091378155738,0.143565995525942,1.00091124084751,15000
"coef[3,3]",0.0603486921366123,0.0414037200853633,-0.0288451533582084,0.0366512843666416,0.0623479080045355,0.086788991606074,0.136255906070475,1.00097140279149,15000
"coef[4,3]",0.0686577588152107,0.0392280951746321,-0.0092599655023387,0.0442996221780058,0.0686144219946863,0.0927329176815928,0.147574413286923,1.00101835947325,15000
"coef[5,3]",0.0659123056783332,0.0420708179391376,-0.0206529830341177,0.0408872916723111,0.0664298065645124,0.0912852717045861,0.147907233453431,1.00123454235229,6000
"coef[6,3]",0.0708941580510222,0.0447935507960952,-0.0170158499412845,0.0447031539016364,0.0702633403027607,0.0957798088113885,0.163860657848143,1.00100091219497,15000
"coef[7,3]",0.0690050953109006,0.0395095889874679,-0.00928979126974576,0.0447323441988598,0.0687296877201562,0.0928739918724968,0.14813602481444,1.00118684133044,6900
"coef[8,3]",0.0757837167572657,0.0426508860102219,-0.00318293787171013,0.0488228123205572,0.0735105051330906,0.099907173597693,0.168257694986758,1.00093827513108,15000
"coef[9,3]",0.0622263175161371,0.0394102899854821,-0.0214541943521304,0.038358735136042,0.0637725190750803,0.0877407388919623,0.134467996520738,1.00118059665846,7100
"coef[10,3]",0.0609537642827807,0.0382941209081355,-0.0197679824629134,0.0381375694079521,0.0620578404595418,0.085470630078292,0.133233550133409,1.00115153750629,7900
"coef[11,3]",0.0642478132241412,0.0421493815839984,-0.0250419409826434,0.0399147624767015,0.0655860890646802,0.0897888331321914,0.145434637704036,1.00101050290045,15000
"coef[12,3]",0.075949824599318,0.0432431378279179,-0.0024996182118113,0.0489352351802681,0.0733712040508791,0.0999405589296961,0.173674406822274,1.00093512006017,15000
"coef[13,3]",0.0662202708256918,0.0425312994942446,-0.0210025347962091,0.0412624651002079,0.066754009377036,0.0917275579447834,0.149990265154922,1.00116209767931,7600
"coef[14,3]",0.0729951969556912,0.0422755187274765,-0.00743716712098943,0.0468145135805841,0.0717962768283618,0.0975582472685876,0.161568076615252,1.00095951895956,15000
"coef[15,3]",0.069376159473346,0.0393395390768724,-0.00772444870849917,0.0447662040310862,0.0694948295883938,0.0932865124547119,0.14961757079077,1.00096935180761,15000
"coef[1,4]",-0.0754173412498955,0.0627367152291731,-0.21526823022628,-0.108879866557769,-0.0715848491094879,-0.0379986055740032,0.0417290603047687,1.00090137452268,15000
"coef[2,4]",-0.0822655334015909,0.0461866142622632,-0.175970336301693,-0.110747733440191,-0.081721058658486,-0.0526211122834117,0.00590003067407331,1.00097425957519,15000
"coef[3,4]",-0.0406884975432644,0.0559216895903585,-0.140810856233827,-0.0771728802476864,-0.0452998759709491,-0.00837753522600889,0.083341308957773,1.00128420035418,5200
"coef[4,4]",-0.0695078415891438,0.052797196136252,-0.180154298074824,-0.100718609327426,-0.0680563964913768,-0.0377540040536991,0.0351377793151895,1.00091269637263,15000
"coef[5,4]",-0.0949215129343509,0.0654153006355262,-0.24702638886056,-0.130551090056194,-0.0867845242422663,-0.0519554702234262,0.0151173150302951,1.00092918273594,15000
"coef[6,4]",-0.0719205136410072,0.0675853809552553,-0.218775634440258,-0.106493152092662,-0.0690770787408953,-0.0345158030862532,0.0622451806766888,1.001132847037,8500
"coef[7,4]",-0.0612362690380881,0.0503204499737725,-0.162115651791459,-0.0925742105607222,-0.0618951293232394,-0.0310242061527905,0.044138773125487,1.00097430201676,15000
"coef[8,4]",-0.0608806888654961,0.056399518718317,-0.176238106811983,-0.0942627519331232,-0.0615506673932784,-0.0282222069785932,0.0556863032535651,1.00094295435231,15000
"coef[9,4]",-0.0749343807702928,0.0526464922992869,-0.187474591286888,-0.106153028622977,-0.0724916317975706,-0.0412923831431145,0.0253028440254707,1.00091404846842,15000
"coef[10,4]",-0.0267773168784856,0.0553513469279298,-0.122612901710902,-0.0647993471137182,-0.0319341731394114,0.00699685168874468,0.0967394329379469,1.00106489578535,12000
"coef[11,4]",-0.051202063133478,0.0576849550761861,-0.160122484195477,-0.0875670829428346,-0.0542715977808278,-0.0186916758235661,0.0728703880343953,1.00107506614997,11000
"coef[12,4]",-0.0915741223082815,0.0625554357217264,-0.237377658305356,-0.125643138219336,-0.0836560815956797,-0.0497606344543933,0.0127784093424077,1.00096875153852,15000
"coef[13,4]",-0.1072163826463,0.0712289232028138,-0.272240294523331,-0.146445257886979,-0.0954550043794765,-0.0583936286590185,0.00632618224421867,1.00102694418528,15000
"coef[14,4]",-0.0431035234025003,0.0608972005503526,-0.150402187872087,-0.0816421882044855,-0.0486949755852257,-0.00997773065007233,0.0966736931818242,1.00104079470564,14000
"coef[15,4]",-0.0599430767661402,0.0520800087765015,-0.163640602686215,-0.0921614320110798,-0.0605670433043567,-0.0284772194816101,0.0456293274640497,1.00106480064536,12000
"coef[1,5]",-0.019954309065864,0.0487408460566378,-0.121210140004362,-0.0479420135895527,-0.0199625003975401,0.00883449236074685,0.0769971181764629,1.00091674730077,15000
"coef[2,5]",-0.0333493882190209,0.0437007705638551,-0.122960057242165,-0.0609429746090923,-0.0324306755083728,-0.00455856790655506,0.0497449926906547,1.00098507572362,15000
"coef[3,5]",-0.0140737935258714,0.0436603053925997,-0.0973979787110796,-0.0420061832556356,-0.0151486177974902,0.0119357422125244,0.0787235566442251,1.00101780785239,15000
"coef[4,5]",-0.0266691983271961,0.0454861478339725,-0.124223571865972,-0.0526899777785878,-0.0244742625794518,0.0019541280880622,0.0584308958477337,1.00093344641907,15000
"coef[5,5]",-0.0198835510065162,0.046793937586432,-0.114685857557209,-0.0475963420706557,-0.0198312856916988,0.00812200677531945,0.0740147633821138,1.00090747762974,15000
"coef[6,5]",-0.0185668366815425,0.0499253371109729,-0.118877128452892,-0.0474621685629615,-0.018669419558723,0.0101041778244226,0.0829460729614351,1.00102329101116,15000
"coef[7,5]",-0.0126180635636955,0.0429350118455868,-0.0955889723898348,-0.0399071172049827,-0.0139585125566003,0.0133933909661035,0.0773260221066651,1.00092404550692,15000
"coef[8,5]",-0.0121139487722231,0.0475674069431527,-0.100465010401852,-0.0418164448230523,-0.0144055228026318,0.0150826807192032,0.0894528967727544,1.00098328025538,15000
"coef[9,5]",-0.00874354089704952,0.0443146009654205,-0.0896973970741377,-0.0374239428122701,-0.0110496008440944,0.0173100996535245,0.0875247750952217,1.00096827497631,15000
"coef[10,5]",-0.0183506503645911,0.0422477223514079,-0.101652200458064,-0.0450836614619917,-0.0182985240216433,0.00808181230630528,0.0670300655878569,1.0009058194312,15000
"coef[11,5]",-0.0181634677594323,0.0458768421376005,-0.109636432685532,-0.0460325157582508,-0.0186977413001556,0.00926796055479227,0.0767428597225557,1.00094227855412,15000
"coef[12,5]",-0.0197893222527442,0.0469078836102275,-0.115495808096359,-0.0473445784022742,-0.0197537923769105,0.00813127608403679,0.0731977015558052,1.00097898473368,15000
"coef[13,5]",-0.00370903744406951,0.0505513496897324,-0.0922453337205895,-0.0359920301046672,-0.00828375339219215,0.0235122649723806,0.112658149727166,1.00092114827712,15000
"coef[14,5]",-0.0200509322877264,0.0458046014588116,-0.112978810797733,-0.0474252756207299,-0.0193839841191729,0.00763825961365064,0.0709997475425705,1.00093221678742,15000
"coef[15,5]",-0.0120821230976148,0.0450312859881745,-0.0968232411340852,-0.0409597600063351,-0.0141641080540977,0.0152874063820339,0.0843680581754011,1.00110456066673,9700
"coef[1,6]",-0.0365472855200826,0.0496221691038246,-0.133957304180429,-0.066416115838303,-0.0368320921927647,-0.00672255954323047,0.0619340069582554,1.00091349505031,15000
"coef[2,6]",-0.0330752283019426,0.0455725293183721,-0.123970882639238,-0.06185531020093,-0.0329418778444231,-0.00451578800166479,0.057412221589986,1.00102653539027,15000
"coef[3,6]",-0.0428299920497693,0.0443885474461942,-0.135009535793681,-0.0703913018515793,-0.0417806877735838,-0.0142547351275481,0.0426065401881299,1.00094928025145,15000
