Area.Fished,Region_SWHS
Alexander Creek,Susitna River
Ship Creek,Anchorage
Freshwater Total,Anchorage
Eagle River,Anchorage
Other streams,Anchorage
Alexander Creek,West Cook Inlet
Bird Creek,Anchorage
Alexander Creek/Lake,Susitna River
Sixmile Lake (JBER),Anchorage
Alexander Creek/Lake,West Cook Inlet
Alexander Lake,West Cook Inlet
Anchor River,Kenai Peninsula
Other Eagle River/Chugiak lakes,Anchorage
Other streams,Kenai Peninsula
Freshwater Total,Kenai Peninsula
Campbell Creek,Anchorage
Skilak Lake,Kenai Peninsula
Other lakes,Kenai Peninsula
Chuit River,West Cook Inlet
Chuitna River,West Cook Inlet
Chulitna River drainage,Susitna River
Crooked Creek,Kenai Peninsula
Deep Creek,Kenai Peninsula
Deshka River (Kroto Creek),West Cook Inlet
Deshka River (Kroto Creek) above weir,Susitna River
Deshka River (Kroto Creek) below weir,Susitna River
Deshka River (reach unspecified),Susitna River
Kasilof River,Kenai Peninsula
Kasilof River - guided bank fishing,Kenai Peninsula
Kasilof River - Guided Bank Fishing,Kenai Peninsula
Kasilof River - guided boat fishing,Kenai Peninsula
Kasilof River - Guided Boat Fishing,Kenai Peninsula
Kasilof River - nonguided bank fishing,Kenai Peninsula
Kasilof River - Nonguided Bank Fishing,Kenai Peninsula
Kasilof River - nonguided boat fishing,Kenai Peninsula
Kasilof River - Nonguided Boat Fishing,Kenai Peninsula
Kasilof River - unspecified,Kenai Peninsula
Kenai Lake,Kenai Peninsula
Kenai River,Kenai Peninsula
Kenai River - (Cook Inlet to Soldotna Bridge),Kenai Peninsula
Kenai River - (Moose River to Skilak Outlet),Kenai Peninsula
Kenai River - (Skilak Inlet to Kenai Lake),Kenai Peninsula
Kenai River - (Soldotna Bridge to Moose Ruver),Kenai Peninsula
Kenai River - Cook Inlet to Soldotna Bridge (guided),Kenai Peninsula
Other lakes,Knik Arm
Freshwater Total,Knik Arm
Kenai River - Cook Inlet to Soldotna Bridge (non-guided),Kenai Peninsula
Other streams,Knik Arm
Wasilla Creek (Rabbit Slough),Knik Arm
Eklutna Power Plant Raceway,Knik Arm
"Knik River drainage, including Jim Creek",Knik Arm
Kenai River - Moose River to Skilak Outlet (guided),Kenai Peninsula
Kenai River - Moose River to Skilak Outlet (non-guided),Kenai Peninsula
Susitna River,Susitna River
Birch Creek,Susitna River
Caswell Creek,Susitna River
Goose Creek,Susitna River
Kashwitna River,Susitna River
Little Willow Creek,Susitna River
Montana Creek,Susitna River
Sheep Creek,Susitna River
Sunshine Creek,Susitna River
"Talkeetna River and Tributaries, including Clear Creek",Susitna River
Other streams - Chulitna/east Susitna drainage,Susitna River
Fish Lake Creek and Fish Lakes,Susitna River
