Group,Year,Source,Gear,Mesh,Age0.1,Age0.2,Age1.1,Age0.3,Age1.2,Age2.1,Age0.4,Age1.3,Age2.2,Age0.5,Age1.4,Age2.3,Age1.5,Age2.4,Age2.5,Age1.6,SumProportions,n
Alexander,2015,Escapement,Weir,NA,0,0,0.0577,0,0.4423,0,0,0.4615,0,0,0.0385,0,0,0,0,0,1,52
Anchor,2003,Escapement,Weir,NA,0,0,0.05,0,0.23,0,0,0.58,0,0,0.14,0,0,0,0,0,1,NA
Anchor,2004,Escapement,Weir,NA,0,0,0.08800000000000001,0,0.20700000000000002,0,0,0.48600000000000004,0,0,0.21900000000000003,0,0,0,0,0,1.0000000000000002,NA
Anchor,2005,Escapement,Weir,NA,0,0,0.05,0,0.239,0,0,0.522,0,0,0.189,0,0,0,0,0,1,NA
Anchor,2006,Escapement,Weir,NA,0,0,0.064,0,0.165,0,0,0.521,0,0,0.25,0,0,0,0,0,1,NA
Anchor,2007,Escapement,Weir,NA,0,0,0.005,0,0.22,0,0,0.534,0,0,0.241,0,0,0,0,0,1,NA
Anchor,2008,Escapement,Weir,NA,0,0,0.04404404404404404,0,0.21821821821821819,0,0,0.6856856856856857,0,0,0.052052052052052045,0,0,0,0,0,1,NA
Anchor,2009,Escapement,Weir,NA,0,0,0.078,0,0.511,0,0,0.367,0,0,0.044,0,0,0,0,0,1,NA
Anchor,2010,Escapement,Weir,NA,0,0,0.07,0,0.361,0,0,0.513,0,0,0.056,0,0,0,0,0,1,NA
Anchor,2011,Escapement,Weir,NA,0,0,0.032,0,0.5,0,0,0.411,0,0,0.057,0,0,0,0,0,1,NA
Anchor,2012,Escapement,Weir,NA,0,0,0.108,0,0.343,0,0,0.504,0,0,0.045,0,0,0,0,0,1,NA
Anchor,2013,Escapement,Weir,NA,0,0,0.20140280561122242,0,0.31462925851703405,0,0,0.4368737474949899,0,0,0.0470941883767535,0,0,0,0,0,1,NA
Anchor,2014,Escapement,Weir,NA,0,0,0.1358641358641359,0,0.3656343656343657,0,0,0.4075924075924076,0,0,0.09090909090909091,0,0,0,0,0,1,NA
Anchor,2015,Escapement,Weir,NA,0,0,0.135,0,0.393,0,0,0.446,0,0,0.026,0,0,0,0,0,1,NA
Anchor,2016,Escapement,Weir,NA,0,0,0.062,0,0.412,0,0,0.479,0,0,0.047,0,0,0,0,0,1,NA
Crooked,2004,Escapement,Weir,NA,0,0,0,0,0.4581105169,0,0,0.4331550802,0,0,0.1087344029,0,0,0,0,0,1,561
Crooked,2005,Escapement,Weir,NA,0,0,0,0,0.3092783505,0,0,0.5206185567,0,0,0.1701030928,0,0,0,0,0,1,194
Crooked,2006,Escapement,Weir,NA,0,0,0,0,0.2857142857,0,0,0.5494505495,0,0,0.1648351648,0,0,0,0,0,1,91
Crooked,2007,Escapement,Weir,NA,0,0,0,0,0.1842105263,0,0,0.5263157895,0,0,0.2894736842,0,0,0,0,0,1,76
Crooked,2008,Escapement,Weir,NA,0,0,0,0,0.2465753425,0,0,0.5890410959,0,0,0.1643835616,0,0,0,0,0,1,73
Crooked,2009,Escapement,Weir,NA,0,0,0,0,0.4114832535588517,0,0,0.44497607655550236,0,0,0.14354066988564593,0,0,0,0,0,1,209
Crooked,2010,Escapement,Weir,NA,0,0,0,0,0.3582089552358209,0,0,0.47014925374701494,0,0,0.17164179101716417,0,0,0,0,0,1,134
Crooked,2011,Escapement,Weir,NA,0,0,0,0,0.3486238532,0,0,0.4724770642,0,0,0.1788990826,0,0,0,0,0,1,218
Crooked,2012,Escapement,Weir,NA,0,0,0,0,0.3667953667633205,0,0,0.5096525096490347,0,0,0.12355212358764478,0,0,0,0,0,1,259
Crooked,2013,Escapement,Weir,NA,0,0,0,0,0.4201474201126044,0,0,0.5036855037151106,0,0,0.07616707617228502,0,0,0,0,0,1,407
Crooked,2014,Escapement,Weir,NA,0,0,0,0,0.2729306487945414,0,0,0.6510067113869799,0,0,0.07606263981847874,0,0,0,0,0,1,447
Crooked,2015,Escapement,Weir,NA,0,0,0,0,0.431372549,0,0,0.4531590414,0,0,0.1154684096,0,0,0,0,0,1,459
Crooked,2016,Escapement,Weir,NA,0,0,0,0,0.6143344710122867,0,0,0.34129692830682595,0,0,0.04436860068088737,0,0,0,0,0,0.9999999999999999,293
Crooked.Hatchery,2004,Escapement,Weir,NA,0,0,0,0,0.667613636353267,0,0,0.32291666667739577,0,0,0.009469696969337119,0,0,0,0,0,0.9999999999999998,1056
Crooked.Hatchery,2005,Escapement,Weir,NA,0,0,0,0,0.40764331211222926,0,0,0.5222929936156687,0,0,0.0700636942721019,0,0,0,0,0,0.9999999999999999,157
Crooked.Hatchery,2006,Escapement,Weir,NA,0,0,0,0,0.5729166666598958,0,0,0.3854166666730208,0,0,0.04166666666708333,0,0,0,0,0,1,96
Crooked.Hatchery,2007,Escapement,Weir,NA,0,0,0,0,0.4634146341463415,0,0,0.4878048780487805,0,0,0.04878048780487805,0,0,0,0,0,1,41
Crooked.Hatchery,2008,Escapement,Weir,NA,0,0,0,0,0.41935483868741935,0,0,0.5161290322845161,0,0,0.06451612902806451,0,0,0,0,0,1,31
Crooked.Hatchery,2009,Escapement,Weir,NA,0,0,0,0,0.4615384615230769,0,0,0.49230769232461535,0,0,0.04615384615230769,0,0,0,0,0,1,65
Crooked.Hatchery,2010,Escapement,Weir,NA,0,0,0,0,0.48,0,0,0.48,0,0,0.04,0,0,0,0,0,1,25
Crooked.Hatchery,2011,Escapement,Weir,NA,0,0,0,0,0.6891891891724324,0,0,0.2702702702891892,0,0,0.04054054053837838,0,0,0,0,0,1,74
Crooked.Hatchery,2012,Escapement,Weir,NA,0,0,0,0,0.30645161289080647,0,0,0.629032258081129,0,0,0.06451612902806451,0,0,0,0,0,0.9999999999999999,62
Crooked.Hatchery,2013,Escapement,Weir,NA,0,0,0,0,0.54,0,0,0.42,0,0,0.04,0,0,0,0,0,1,50
Crooked.Hatchery,2014,Escapement,Weir,NA,0,0,0,0,0.7894736841802631,0,0,0.20175438599495615,0,0,0.008771929824780702,0,0,0,0,0,0.9999999999999999,228
Crooked.Hatchery,2015,Escapement,Weir,NA,0,0,0,0,0,0,0,0.9763313609488166,0,0,0.02366863905118343,0,0,0,0,0,1,169
Crooked.Hatchery,2016,Escapement,Weir,NA,0,0,0,0,0.9905437352247637,0,0,0,0,0,0.009456264775236407,0,0,0,0,0,1,423
Deshka,1979,Sport Harvest,Angling,NA,0,0,0,0,0.07,0,0,0.6,0,0,0.33,0,0,0,0,0,1,297
Deshka,1980,Sport Harvest,Angling,NA,0,0,0,0,0.1,0,0,0.51,0,0,0.39,0,0,0,0,0,1,181
Deshka,1981,Sport Harvest,Angling,NA,0,0,0,0,0.1,0,0,0.57,0,0,0.33,0,0,0,0,0,1,159
Deshka,1982,Sport Harvest,Angling,NA,0,0,0,0,0.12871287128712872,0,0,0.44554455445544555,0,0,0.42574257425742573,0,0,0,0,0,1,298
Deshka,1983,Sport Harvest,Angling,NA,0,0,0,0,0.21,0,0,0.46,0,0,0.33,0,0,0,0,0,1,1329
Deshka,1984,Sport Harvest,Angling,NA,0,0,0,0,0.17,0,0,0.47,0,0,0.36,0,0,0,0,0,1,1463
Deshka,1986,Sport Harvest,Angling,NA,0,0,0,0,0.33266733266733267,0,0,0.3976023976023976,0,0,0.2697302697302697,0,0,0,0,0,1,382
Deshka,1987,Sport Harvest,Angling,NA,0,0,0,0,0.15841584158415842,0,0,0.5544554455445545,0,0,0.2871287128712871,0,0,0,0,0,1,192
Deshka,1988,Sport Harvest,Angling,NA,0,0,0.01,0,0.12,0,0,0.25,0,0,0.6,0,0.02,0,0,0,1,351
Deshka,1989,Sport Harvest,Angling,NA,0,0,0.016016016016016016,0,0.25425425425425424,0,0,0.25425425425425424,0,0,0.4624624624624625,0,0.013013013013013013,0,0,0,1,307
Deshka,1992,Sport Harvest,Angling,NA,0,0,0.11111111111111112,0,0.20202020202020204,0,0,0.31313131313131315,0,0,0.37373737373737376,0,0,0,0,0,1,105
Deshka,1993,Sport Harvest,Angling,NA,0,0,0,0,0.21212121212121213,0,0,0.4646464646464647,0,0,0.32323232323232326,0,0,0,0,0,1,152
Deshka,1994,Sport Harvest,Angling,NA,0,0,0,0,0.15768056968463887,0,0,0.42929806714140384,0,0,0.4038657171922686,0,0.009155645981688708,0,0,0,1,116
Deshka,1995,Escapement,Weir,NA,0,0,0.006993006993006994,0,0.32267732267732274,0,0,0.36363636363636365,0,0,0.29870129870129875,0,0.007992007992007994,0,0,0,1,338
Deshka,1996,Escapement,Weir,NA,0,9.990009990009992e-4,0.0029970029970029974,0,0.4625374625374626,0,0,0.4005994005994007,0,0,0.1318681318681319,9.990009990009992e-4,0,0,0,0,1.0000000000000002,383
Deshka,1997,Escapement,Weir,NA,0,0,0.002,0,0.169,0,0,0.66,0,0,0.167,0.002,0,0,0,0,1,491
Deshka,1998,Escapement,Weir,NA,0,0,0,0,0.2882882882882883,0,0,0.4204204204204204,0.006006006006006006,0,0.2792792792792793,0.003003003003003003,0,0.003003003003003003,0,0,1,319
Deshka,1998,Sport Harvest,Angling,NA,0,0,0,0,0.09929789368104314,0,0,0.40621865596790374,0,0,0.47943831494483446,0,0.015045135406218655,0,0,0,1,383
Deshka,1999,Escapement,Weir,NA,0,0,0,0,0.30369630369630374,0,0,0.4375624375624376,0,0,0.2547452547452548,0,0.0019980019980019984,0.0019980019980019984,0,0,1.0000000000000002,448
Deshka,2000,Escapement,Weir,NA,0,0,0,0,0.107,0,0,0.792,0,0,0.101,0,0,0,0,0,1,466
Deshka,2001,Escapement,Weir,NA,0,0,0.015,0,0.252,0,0,0.462,0,0,0.271,0,0,0,0,0,1,543
Deshka,2002,Escapement,Weir,NA,0,0,0.016,0,0.263,0,0,0.565,0,0,0.156,0,0,0,0,0,1,558
Deshka,2003,Escapement,Weir,NA,0,0,0.01,0,0.361,0,0,0.488,0,0,0.137,0.004,0,0,0,0,1,488
Deshka,2004,Escapement,Weir,NA,0,0,0.009,0,0.183,0,0,0.664,0,0,0.144,0,0,0,0,0,1,563
Deshka,2005,Escapement,Weir,NA,0,0,0.012000000000000002,0,0.29200000000000004,0,0,0.5780000000000001,0,0,0.11800000000000001,0,0,0,0,0,1.0000000000000002,490
Deshka,2006,Escapement,Weir,NA,0,0,0,0,0.228,0,0,0.553,0,0,0.219,0,0,0,0,0,1,488
Deshka,2007,Escapement,Weir,NA,0,0,0,0,0.099,0,0,0.712,0,0,0.189,0,0,0,0,0,1,232
Deshka,2008,Escapement,Weir,NA,0,0,0,0,0.15684315684315683,0,0,0.3796203796203796,0,0,0.4635364635364635,0,0,0,0,0,0.9999999999999999,266
Deshka,2009,Escapement,Weir,NA,0,0,0,0,0.668,0,0,0.241,0,0,0.091,0,0,0,0,0,1,386
Deshka,2010,Escapement,Weir,NA,0,0,0.009009009009009009,0,0.20820820820820823,0,0,0.6966966966966968,0,0,0.08608608608608609,0,0,0,0,0,1,336
Deshka,2011,Escapement,Weir,NA,0,0,0.023,0,0.267,0,0,0.641,0,0,0.069,0,0,0,0,0,1,348
Deshka,2012,Escapement,Weir,NA,0,0,0.04195804195804195,0,0.5464535464535464,0,0,0.2597402597402597,0,0,0.15184815184815184,0,0,0,0,0,0.9999999999999999,289
Deshka,2013,Escapement,Weir,NA,0,0,0.039,0,0.214,0,0,0.583,0,0,0.164,0,0,0,0,0,1,250
Deshka,2014,Escapement,Weir,NA,0,0,0.08691308691308691,0,0.39660339660339666,0,0,0.39660339660339666,0,0,0.11988011988011989,0,0,0,0,0,1,242
Deshka,2015,Escapement,Weir,NA,0,0,0.11,0,0.271,0,0,0.491,0,0,0.128,0,0,0,0,0,1,336
ESSN,1983,Commercial Harvest,Gill Net,< 6 in,0,6.666666666666666e-4,0.013,0,0.129,0,0.001,0.16566666666666668,0.0016666666666666668,0,0.6546666666666666,0.0033333333333333335,0.021666666666666667,0.009333333333333332,0,0,0.9999999999999999,857
ESSN,1984,Commercial Harvest,Gill Net,< 6 in,0,0.0026666666666666674,0.029333333333333336,0.005666666666666667,0.15633333333333335,0,0.013000000000000001,0.17300000000000001,0,0,0.532,0,0.085,0.0023333333333333335,6.666666666666669e-4,0,1,794
ESSN,1985,Commercial Harvest,Gill Net,< 6 in,0,0,0.06621052744933342,0,0.2481031273867095,3.3300033300033305e-4,0.0013333333333333333,0.17592478168597572,0.001659700167162854,0,0.47316159131084506,0,0.02927427133397283,0.003999666999666999,0,0,1,2370
ESSN,1986,Commercial Harvest,Gill Net,< 6 in,0,0.0013333333333333333,0.01,0.0033333333333333335,0.225,6.666666666666666e-4,6.666666666666666e-4,0.361,0.004,6.666666666666666e-4,0.344,0.009333333333333334,0.036000000000000004,0.0033333333333333335,0,6.666666666666666e-4,1,1324
ESSN,1987,Commercial Harvest,Gill Net,< 6 in,0,8.000800080008001e-4,0.020602060206020602,8.000800080008001e-4,0.14691469146914693,0,0,0.33013301330133016,0.0017001700170017002,0,0.485048504850485,0.0025002500250025004,0.0107010701070107,8.000800080008001e-4,0,0,1,1212
ESSN,1988,Commercial Harvest,Gill Net,< 6 in,0,0,0.0322,0,0.1081,0,0.0023,0.1425,0.0035,0,0.685,0.0012,0.0183,0.0069,0,0,1,870
ESSN,1989,Commercial Harvest,Gill Net,< 6 in,0,0,0.009399060093990599,0,0.1510848915108489,0,0,0.21077892210778917,0.0022997700229976997,0,0.5327467253274671,0,0.0936906309369063,0,0,0,0.9999999999999998,854
ESSN,1990,Commercial Harvest,Gill Net,< 6 in,0,0,0.011601160116011599,0.0024002400240023996,0.2906290629062906,0.009400940094009401,0.0024002400240023996,0.29312931293129313,0.0046004600460046,0,0.3322332233223322,0.004800480048004799,0.0326032603260326,0.0162016201620162,0,0,0.9999999999999998,429
