SamplingSite,Population,Fishery,Component,Gear,Mesh,ReturnYear,n,Age0.1,Age0.2,Age1.1,Age0.3,Age1.2,Age2.1,Age0.4,Age1.3,Age2.2,Age0.5,Age1.4,Age2.3,Age1.5,Age2.4,Age2.5,Age1.6,SumProportions,FWAgeAssumed,Comments,Reference,Page
Alexander,Alexander,,Escapement,Weir,,2015,52,0,0,0.0577,0,0.4423,0,0,0.4615,0,0,0.0385,0,0,0,0,0,1,,,St. Saviour 2017; table 3,
Anchor,Anchor,,Escapement,Weir,,2003,601,0,0,0.05,0,0.23,0,0,0.58,0,0,0.14,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2006,37
Anchor,Anchor,,Escapement,Weir,,2004,285,0,0,0.088,0,0.207,0,0,0.486,0,0,0.219,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2006,38
Anchor,Anchor,,Escapement,Weir,,2005,415,0,0,0.05,0,0.239,0,0,0.522,0,0,0.189,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2010,38
Anchor,Anchor,,Escapement,Weir,,2006,207,0,0,0.064,0,0.165,0,0,0.521,0,0,0.25,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2010,39
Anchor,Anchor,,Escapement,Weir,,2007,185,0,0,0.005,0,0.22,0,0,0.534,0,0,0.241,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2012,34
Anchor,Anchor,,Escapement,Weir,,2008,116,0,0,0.044,0,0.218,0,0,0.685,0,0,0.052,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet et al. 2012,35
Anchor,Anchor,,Escapement,Weir,,2009,90,0,0,0.078,0,0.511,0,0,0.367,0,0,0.044,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Kerkvliet and Booz 2012,25
Anchor,Anchor,,Escapement,Weir,,2010,273,0,0,0.07,0,0.361,0,0,0.513,0,0,0.056,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Mike Booz; ADF&G; pers. comm. 3/16/2017 (percent age comp) and 6/19/18 (sample sizes),
Anchor,Anchor,,Escapement,Weir,,2011,282,0,0,0.032,0,0.5,0,0,0.411,0,0,0.057,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Mike Booz; ADF&G; pers. comm. 3/16/2017 (percent age comp) and 6/19/18 (sample sizes),
Anchor,Anchor,,Escapement,Weir,,2012,199,0,0,0.108,0,0.343,0,0,0.504,0,0,0.045,0,0,0,0,0,1,Y,Age comp reported in terms of ocean age.  We assumed FW age = 1.,Mike Booz; ADF&G; pers. comm. 3/16/2017 (percent age comp) and 6/19/18 (sample sizes),
