Group,ReturnYear,Component,Gear,Mesh,n,Age,Prop
Alexander,2015,Escapement,Weir,NA,52,Age1.1,0.0577
Anchor,2003,Escapement,Weir,NA,601,Age1.1,0.05
Anchor,2004,Escapement,Weir,NA,285,Age1.1,0.08800000000000001
Anchor,2005,Escapement,Weir,NA,415,Age1.1,0.05
Anchor,2006,Escapement,Weir,NA,207,Age1.1,0.064
Anchor,2007,Escapement,Weir,NA,185,Age1.1,0.005
Anchor,2008,Escapement,Weir,NA,116,Age1.1,0.04404404404404404
Anchor,2009,Escapement,Weir,NA,90,Age1.1,0.078
Anchor,2010,Escapement,Weir,NA,273,Age1.1,0.07
Anchor,2011,Escapement,Weir,NA,282,Age1.1,0.032
Anchor,2012,Escapement,Weir,NA,199,Age1.1,0.108
Anchor,2013,Escapement,Weir,NA,254,Age1.1,0.20140280561122242
Anchor,2014,Escapement,Weir,NA,267,Age1.1,0.1358641358641359
Anchor,2015,Escapement,Weir,NA,379,Age1.1,0.135
Anchor,2016,Escapement,Weir,NA,260,Age1.1,0.062
Crooked,2004,Escapement,Weir,NA,561,Age1.1,0
Crooked,2005,Escapement,Weir,NA,194,Age1.1,0
Crooked,2006,Escapement,Weir,NA,91,Age1.1,0
Crooked,2007,Escapement,Weir,NA,76,Age1.1,0
Crooked,2008,Escapement,Weir,NA,73,Age1.1,0
Crooked,2009,Escapement,Weir,NA,209,Age1.1,0
Crooked,2010,Escapement,Weir,NA,134,Age1.1,0
Crooked,2011,Escapement,Weir,NA,218,Age1.1,0
Crooked,2012,Escapement,Weir,NA,259,Age1.1,0
Crooked,2013,Escapement,Weir,NA,407,Age1.1,0
Crooked,2014,Escapement,Weir,NA,447,Age1.1,0
Crooked,2015,Escapement,Weir,NA,459,Age1.1,0
Crooked,2016,Escapement,Weir,NA,293,Age1.1,0
Crooked.Hatchery,2004,Escapement,Weir,NA,1056,Age1.1,0
Crooked.Hatchery,2005,Escapement,Weir,NA,157,Age1.1,0
Crooked.Hatchery,2006,Escapement,Weir,NA,96,Age1.1,0
Crooked.Hatchery,2007,Escapement,Weir,NA,41,Age1.1,0
Crooked.Hatchery,2008,Escapement,Weir,NA,31,Age1.1,0
Crooked.Hatchery,2009,Escapement,Weir,NA,65,Age1.1,0
Crooked.Hatchery,2010,Escapement,Weir,NA,25,Age1.1,0
Crooked.Hatchery,2011,Escapement,Weir,NA,74,Age1.1,0
Crooked.Hatchery,2012,Escapement,Weir,NA,62,Age1.1,0
Crooked.Hatchery,2013,Escapement,Weir,NA,50,Age1.1,0
Crooked.Hatchery,2014,Escapement,Weir,NA,228,Age1.1,0
Crooked.Hatchery,2015,Escapement,Weir,NA,169,Age1.1,0
Crooked.Hatchery,2016,Escapement,Weir,NA,423,Age1.1,0
Deshka,1979,Sport Harvest,Angling,NA,297,Age1.1,0
Deshka,1980,Sport Harvest,Angling,NA,181,Age1.1,0
Deshka,1981,Sport Harvest,Angling,NA,159,Age1.1,0
Deshka,1982,Sport Harvest,Angling,NA,298,Age1.1,0
Deshka,1983,Sport Harvest,Angling,NA,1329,Age1.1,0
Deshka,1984,Sport Harvest,Angling,NA,1463,Age1.1,0
Deshka,1986,Sport Harvest,Angling,NA,382,Age1.1,0
Deshka,1987,Sport Harvest,Angling,NA,192,Age1.1,0
Deshka,1988,Sport Harvest,Angling,NA,351,Age1.1,0.01
Deshka,1989,Sport Harvest,Angling,NA,307,Age1.1,0.016016016016016016
Deshka,1992,Sport Harvest,Angling,NA,105,Age1.1,0.11111111111111112
Deshka,1993,Sport Harvest,Angling,NA,152,Age1.1,0
Deshka,1994,Sport Harvest,Angling,NA,116,Age1.1,0
Deshka,1995,Escapement,Weir,NA,338,Age1.1,0.006993006993006994
Deshka,1996,Escapement,Weir,NA,383,Age1.1,0.003003003003003003
Deshka,1997,Escapement,Weir,NA,491,Age1.1,0.002004008016032064
Deshka,1998,Escapement,Weir,NA,319,Age1.1,0
Deshka,1998,Sport Harvest,Angling,NA,383,Age1.1,0
Deshka,1999,Escapement,Weir,NA,448,Age1.1,0
Deshka,2000,Escapement,Weir,NA,466,Age1.1,0
Deshka,2001,Escapement,Weir,NA,543,Age1.1,0.015
Deshka,2002,Escapement,Weir,NA,558,Age1.1,0.016
Deshka,2003,Escapement,Weir,NA,488,Age1.1,0.010040160642570281
Deshka,2004,Escapement,Weir,NA,563,Age1.1,0.009
Deshka,2005,Escapement,Weir,NA,490,Age1.1,0.012000000000000002
Deshka,2006,Escapement,Weir,NA,488,Age1.1,0
Deshka,2007,Escapement,Weir,NA,232,Age1.1,0
Deshka,2008,Escapement,Weir,NA,266,Age1.1,0
