Component,Region,ReturnYear,zReturnYear,Age,Prop
Escapement,North,1980,-2.140294222059062,Age1.1,4.374427038120566e-4
Escapement,North,1981,-2.0388987198238255,Age1.1,5.098462703804172e-4
Escapement,North,1982,-1.9375032175885882,Age1.1,5.938182358392432e-4
Escapement,North,1983,-1.8361077153533514,Age1.1,6.911326412460937e-4
Escapement,North,1984,-1.7347122131181143,Age1.1,8.038231063598474e-4
Escapement,North,1985,-1.6333167108828774,Age1.1,9.342188432451806e-4
Escapement,North,1986,-1.5319212086476404,Age1.1,0.0010849853646248714
Escapement,North,1987,-1.4305257064124035,Age1.1,0.0012591704487991712
Escapement,North,1988,-1.3291302041771664,Age1.1,0.0014602559794811964
Escapement,North,1989,-1.2277347019419294,Age1.1,0.0016922163380972404
Escapement,North,1990,-1.1263391997066925,Age1.1,0.0019595840870331844
Escapement,North,1991,-1.0249436974714554,Age1.1,0.002267523743574846
Escapement,North,1992,-0.9235481952362184,Age1.1,0.0026219145038912537
Escapement,North,1993,-0.8221526930009815,Age1.1,0.0030294428315669323
Escapement,North,1994,-0.7207571907657445,Age1.1,0.0034977058721252217
Escapement,North,1995,-0.6193616885305075,Age1.1,0.004035326688655614
Escapement,North,1996,-0.5179661862952706,Age1.1,0.004652082327427077
Escapement,North,1997,-0.41657068406003356,Age1.1,0.005359045707618031
Escapement,North,1998,-0.3151751818247966,Age1.1,0.006168742274964823
Escapement,North,1999,-0.2137796795895596,Age1.1,0.007095322251204196
Escapement,North,2000,-0.11238417735432261,Age1.1,0.008154749132091898
Escapement,North,2001,-0.010988675119085634,Age1.1,0.009365004814772442
Escapement,North,2002,0.09040682711615135,Age1.1,0.010746311343793589
Escapement,North,2003,0.19180232935138833,Age1.1,0.012321368722150715
Escapement,North,2004,0.2931978315866253,Age1.1,0.014115607501638323
Escapement,North,2005,0.3945933338218623,Age1.1,0.016157453901767926
Escapement,North,2006,0.4959888360570993,Age1.1,0.0184786039593348
Escapement,North,2007,0.5973843382923363,Age1.1,0.02111430162782615
Escapement,North,2008,0.6987798405275732,Age1.1,0.02410361377186857
Escapement,North,2009,0.8001753427628102,Age1.1,0.027489692583824995
Escapement,North,2010,0.9015708449980472,Age1.1,0.03132001304355364
Escapement,North,2011,1.0029663472332842,Age1.1,0.035646569623233704
Escapement,North,2012,1.1043618494685212,Age1.1,0.04052601251479721
Escapement,North,2013,1.205757351703758,Age1.1,0.04601969928690332
Escapement,North,2014,1.3071528539389952,Age1.1,0.05219363319544749
Escapement,North,2015,1.4085483561742322,Age1.1,0.05911825461350591
Escapement,Kenai,1980,-2.140294222059062,Age1.1,0.003324785273658092
Escapement,Kenai,1981,-2.0388987198238255,Age1.1,0.0036072720911409584
Escapement,Kenai,1982,-1.9375032175885882,Age1.1,0.003912170208411493
Escapement,Kenai,1983,-1.8361077153533514,Age1.1,0.004241066908623913
Escapement,Kenai,1984,-1.7347122131181143,Age1.1,0.004595639266713274
Escapement,Kenai,1985,-1.6333167108828774,Age1.1,0.00497765658284907
Escapement,Kenai,1986,-1.5319212086476404,Age1.1,0.005388982557469851
Escapement,Kenai,1987,-1.4305257064124035,Age1.1,0.005831577162780331
Escapement,Kenai,1988,-1.3291302041771664,Age1.1,0.0063074981635202415
Escapement,Kenai,1989,-1.2277347019419294,Age1.1,0.00681890223815051
Escapement,Kenai,1990,-1.1263391997066925,Age1.1,0.007368045650436643
Escapement,Kenai,1991,-1.0249436974714554,Age1.1,0.007957284420834779
Escapement,Kenai,1992,-0.9235481952362184,Age1.1,0.008589073947194166
