Group,ReturnYear,Component,Gear,Mesh,n,Age,Prop,GroupType,StockRecruit,Region,HatcheryWild,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,GearMesh
Alexander,2015,Escapement,Weir,NA,52,Age1.1,0.0577,Population,TRUE,North,Wild,Cook Inlet other1,UCI Northwest,West/Susitna,Weir
Anchor,2003,Escapement,Weir,NA,601,Age1.1,0.05,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2004,Escapement,Weir,NA,285,Age1.1,0.08800000000000001,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2005,Escapement,Weir,NA,415,Age1.1,0.05,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2006,Escapement,Weir,NA,207,Age1.1,0.064,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2007,Escapement,Weir,NA,185,Age1.1,0.005,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2008,Escapement,Weir,NA,116,Age1.1,0.04404404404404404,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2009,Escapement,Weir,NA,90,Age1.1,0.078,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2010,Escapement,Weir,NA,273,Age1.1,0.07,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2011,Escapement,Weir,NA,282,Age1.1,0.032,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2012,Escapement,Weir,NA,199,Age1.1,0.108,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2013,Escapement,Weir,NA,254,Age1.1,0.20140280561122242,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2014,Escapement,Weir,NA,267,Age1.1,0.1358641358641359,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Anchor,2015,Escapement,Weir,NA,379,Age1.1,0.135,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2004,Escapement,Weir,NA,561,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2005,Escapement,Weir,NA,194,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2006,Escapement,Weir,NA,91,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2007,Escapement,Weir,NA,76,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2008,Escapement,Weir,NA,73,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2009,Escapement,Weir,NA,209,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2010,Escapement,Weir,NA,134,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2011,Escapement,Weir,NA,218,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2012,Escapement,Weir,NA,259,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2013,Escapement,Weir,NA,407,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2014,Escapement,Weir,NA,447,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Crooked,2015,Escapement,Weir,NA,459,Age1.1,0,Population,TRUE,South,Wild,Cook Inlet other1,Kenai Peninsula,Cook Inlet other2,Weir
Deshka,1980,Sport Harvest,Angling,NA,181,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Angling
Deshka,1981,Sport Harvest,Angling,NA,159,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Angling
Deshka,1982,Sport Harvest,Angling,NA,298,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Angling
