River,Location,Year,Breakup Date,Ice Moved,First Boat,Unsafe Person,Unsafe Vehicle,Last Ice,Remarks,Source
Susitna River,Sunshine,1973,4/30/73,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1975,5/20/75,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1976,5/4/76,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1979,5/8/79,8-May,,5-May,1-May,9-May,Breakup date not included in NWS database; estimated based on ice moved and last ice dates,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1980,5/1/80,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1981,5/6/81,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1982,5/12/82,,,,,,"1982 breakup date not included in NWS database.  Date determined from R&M 1982 report; p. 5-7: ""The 1982 breakup on the Susitna occurred from May 10 through
the 15th; very close to the previously recorded breakup dates""",http://www.arlis.org/docs/vol1/Susitna/SUS/1/SUS103.pdf; p. 5-7
Susitna River,Sunshine,1983,5/3/83,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1984,5/3/84,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1985,5/16/85,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1986,5/6/86,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1987,4/27/87,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1988,4/26/88,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1989,5/2/89,2-May,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1990,5/3/90,,,20-Apr,10-Apr,16-May,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1991,5/4/91,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1992,4/5/92,3-Apr,,,,,River did not break up; instead it was slow melting.  Breakup date not included in NWS database.  Estimated as two days after ice moved.,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1993,5/4/93,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1994,5/1/94,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1996,5/3/96,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1997,5/3/97,1-May,9-May,16-Apr,14-Apr,9-May,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,1998,4/23/98,22-Apr,,21-Apr,17-Apr,30-Apr,98% ice free as of 4-30-98,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2002,5/14/02,13-May,15-May,5-May,5-May,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2004,4/23/04,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2005,4/29/05,26-Apr,30-Apr,10-Apr,10-Apr,1-May,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2006,5/7/06,16-Apr,18-May,12-Apr,3-Apr,18-May,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2007,5/3/07,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2008,5/8/08,6-May,10-May,24-Apr,2-May,12-May,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2009,5/4/09,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2010,4/29/10,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2012,4/27/12,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2013,5/25/13,,,,,,Approximate date; 2013 was not included in the NWS database.  ,http://www.susitna-watanahydro.org/wp-content/uploads/2014/05/07.6_ICE_ISR_PartA_1_of_2.pdf; p. 12
Susitna River,Sunshine,2014,5/2/14,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2015,4/30/15,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2016,4/16/16,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2017,4/29/17,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Sunshine,2018,5/4/18,,,,,,Ice moving today,https://www.weather.gov/aprfc/breakupDB?site=189
Susitna River,Alexander Creek,1995,4/25/95,20-Apr,27-Apr,12-Apr,12-Apr,30-Apr,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,1996,5/3/96,28-Apr,30-Apr,26-Apr,23-Apr,3-May,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,1997,4/25/97,23-Apr,28-Apr,20-Apr,15-Apr,29-Apr,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,1998,4/16/98,16-Apr,16-Apr,11-Apr,11-Apr,19-Apr,"Ice was 11"" on New Years Day; normal is 30"".  Breakup date not included in NWS database; estimated based on dates ice moved; first boat; and last ice",https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,1999,5/1/99,26-Apr,4-May,24-Apr,21-Apr,5-May,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,2001,4/22/01,21-Apr,26-Apr,17-Apr,17-Apr,30-Apr,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,2002,5/9/02,4-May,10-May,2-May,1-May,11-May,Breakup came later this year.,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,2003,4/18/03,14-Apr,,,,,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Alexander Creek,2005,4/17/05,17-Apr,20-Apr,14-Apr,10-Apr,25-Apr,,https://www.weather.gov/aprfc/breakupDB?site=185
Susitna River,Gold Creek,1977,5/9/77,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1979,5/1/79,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1983,5/2/83,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1986,5/10/86,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1987,5/2/87,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1988,5/5/88,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1989,5/1/89,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1991,4/27/91,,,,,,Large run of ice and flooding along the AKRR,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,1996,5/2/96,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,2015,4/29/15,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Susitna River,Gold Creek,2017,4/29/17,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=187
Little Susitna River,Palmer,1974,,,,15-Apr,,12-May,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1977,,,,,,27-May,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1978,,30-Apr,,,,15-May,Ice never moves out and flows down this river. Th,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1979,,28-Apr,,,,8-May,From 1-2 mile above gage all down river is clear o,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1980,,,,,,22-May,Two different years now men have tried canoes on t,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1981,5/24/81,24-May,,,,24-May,The patch of ice near the bridge disappeared overn,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1982,,,,,,25-May,Adventurous ones try to use the river when it is h,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1985,5/22/85,20-May,,1-Jan,1-Jan,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1986,5/8/86,8-May,,1-May,,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1988,4/12/88,12-Apr,,,,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1989,4/12/89,12-Apr,,1-Apr,,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1990,4/14/90,14-Apr,,8-Apr,1-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1991,4/30/91,10-Apr,,10-Apr,10-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1992,4/26/92,,,,,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1993,4/19/93,,,1-Apr,1-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1994,,,,15-Apr,15-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1995,,,,8-Apr,1-Apr,30-Apr,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1996,,15-Apr,,20-Apr,15-Apr,27-Apr,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1997,,,,12-Apr,5-Apr,22-Apr,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1998,4/4/98,,,20-Mar,20-Mar,,Slow gradual melt back from main channel to shore.,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,1999,4/10/99,10-Apr,,20-Apr,8-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2000,4/18/00,,,15-Apr,10-Apr,30-Apr,Pretty normal breakup,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2002,4/29/02,27-Apr,,1-Apr,1-Apr,,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2003,,10-Apr,,10-Apr,2-Apr,19-Apr,easy breakup; not much melt,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2004,,,3-May,15-Apr,30-Mar,10-May,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2006,,,,15-Apr,1-Apr,,maximum winter ice thickness 2.5-3',https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2008,4/25/08,25-Apr,25-May,25-Apr,21-Apr,25-May,Slow breakup,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2009,4/15/09,10-Apr,1-May,10-Apr,10-Apr,1-May,Fast breakup. Ice; shore gone quick.,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2010,5/8/10,1-May,20-May,10-Apr,10-Apr,20-May,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2011,4/20/11,20-Apr,,10-Apr,10-Apr,30-Apr,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2012,4/10/12,10-Apr,,1-Apr,1-Apr,1-May,05/01 - still some shore ice; main channel open,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2013,5/12/13,12-May,30-May,15-May,10-May,27-May,,https://www.weather.gov/aprfc/breakupDB?site=163
Little Susitna River,Palmer,2016,4/1/16,1-Apr,15-Apr,1-Apr,1-Apr,15-Apr,Boating by kayak/canoe only.,https://www.weather.gov/aprfc/breakupDB?site=163
Yentna River,Lake Creek,1986,5/2/86,,,,,,,
Yentna River,Lake Creek,1987,5/2/87,,,,,,,
Yentna River,Lake Creek,1988,5/1/88,,,,,,,
Yentna River,Lake Creek,1989,4/30/89,,,,,,,
Yentna River,Lake Creek,1990,4/27/90,27-Apr,27-Apr,20-Apr,20-Apr,,Apr. 28 ice jammed at McDougal 1.5 miles down stre,
Yentna River,Lake Creek,1991,5/3/91,,,,,,,
Yentna River,Lake Creek,1992,5/7/92,,,,,,,
Yentna River,Lake Creek,1993,5/1/93,,,,,,,
Yentna River,Lake Creek,1996,5/5/96,,,,,,,
Yentna River,Lake Creek,2000,5/2/00,2-May,3-May,2-May,20-Apr,4-May,,
Yentna River,Lake Creek,2001,5/1/01,1-May,1-May,1-May,20-Apr,2-May,,
Yentna River,Lake Creek,2002,5/11/02,3-May,12-May,30-Apr,30-Apr,16-May,nights stayed below 0 until the 4-12; keeping the,
Yentna River,Lake Creek,2003,4/26/03,24-Apr,28-Apr,28-Apr,21-Apr,29-Apr,,
Yentna River,Lake Creek,2004,4/29/04,23-Apr,1-May,20-Apr,20-Apr,5-May,max winter ice thickness ~2.5 ft,
Yentna River,Lake Creek,2005,4/28/05,28-Apr,30-Apr,21-Apr,21-Apr,1-May,,
Yentna River,Lake Creek,2006,5/8/06,8-May,10-May,2-May,2-May,12-May,,
Yentna River,Lake Creek,2007,4/30/07,,,,,,,
Yentna River,Lake Creek,2008,5/5/08,5-May,6-May,,30-Apr,,Ran heavy ice for 15 min. Then just light ice.,
Yentna River,Lake Creek,2009,4/30/09,,,,,,,
Yentna River,Lake Creek,2010,5/3/10,,,,,,,
Yentna River,Lake Creek,2011,5/5/11,5-May,6-May,25-Apr,25-Apr,8-May,,
Yentna River,Lake Creek,2012,4/30/12,,,,,,,
Yentna River,Lake Creek,2013,5/14/13,,,,,,,
Yentna River,Lake Creek,2014,5/1/14,,,,,,Breakup in early AM,
Yentna River,Lake Creek,2015,4/28/15,,,,,,,
Yentna River,Lake Creek,2016,4/14/16,,17-Apr,20-Mar,,,,
Yentna River,Lake Creek,2017,4/26/17,,,,,,,
