Year,Drift,ESSN,WSSN,NSN,Reference,Page
1966,392,7329,401,422,Shields and Dupuis 2016,154
1967,489,6686,500,184,Shields and Dupuis 2016,154
1968,182,3304,579,471,Shields and Dupuis 2016,154
1969,362,5834,3286,2904,Shields and Dupuis 2016,154
1970,356,5368,1152,1460,Shields and Dupuis 2016,154
1971,237,7055,2875,9598,Shields and Dupuis 2016,154
1972,375,8599,2199,4913,Shields and Dupuis 2016,154
1973,244,4411,369,170,Shields and Dupuis 2016,154
1974,422,5571,434,169,Shields and Dupuis 2016,154
1975,250,3675,733,129,Shields and Dupuis 2016,154
1976,690,8249,1469,457,Shields and Dupuis 2016,154
1977,3411,9730,1084,565,Shields and Dupuis 2016,154
1978,2072,12468,2093,666,Shields and Dupuis 2016,154
1979,1089,8671,2264,1714,Shields and Dupuis 2016,154
1980,889,9643,2273,993,Shields and Dupuis 2016,154
1981,2320,8358,837,725,Shields and Dupuis 2016,154
1982,1293,13658,3203,2716,Shields and Dupuis 2016,154
1983,1125,15042,3534,933,Shields and Dupuis 2016,154
1984,1377,6165,1516,1004,Shields and Dupuis 2016,154
1985,1998,17723,2427,1890,Shields and Dupuis 2016,154
1986,1834,19826,2108,15488,Shields and Dupuis 2016,154
1987,4552,21159,1029,12700,Shields and Dupuis 2016,154
1988,2237,12859,1148,12836,Shields and Dupuis 2016,154
1989,0,10914,3092,12731,Shields and Dupuis 2016,154
1990,621,4139,1763,9582,Shields and Dupuis 2016,154
1991,246,4893,1544,6859,Shields and Dupuis 2016,154
1992,615,10718,1284,4554,Shields and Dupuis 2016,154
1993,765,14079,720,3307,Shields and Dupuis 2016,155
1994,464,15575,730,3193,Shields and Dupuis 2016,155
1995,594,12068,1101,4130,Shields and Dupuis 2016,155
1996,389,11564,395,1958,Shields and Dupuis 2016,155
1997,627,11325,207,1133,Shields and Dupuis 2016,155
1998,335,5087,155,2547,Shields and Dupuis 2016,155
1999,575,9463,1533,2812,Shields and Dupuis 2016,155
2000,270,3684,1089,2307,Shields and Dupuis 2016,155
2001,619,6009,856,1811,Shields and Dupuis 2016,155
2002,415,9478,926,1895,Shields and Dupuis 2016,155
2003,1240,14810,770,1683,Shields and Dupuis 2016,155
2004,1104,21684,2208,1926,Shields and Dupuis 2016,155
2005,1958,21597,739,3373,Shields and Dupuis 2016,155
2006,2782,9956,1030,4261,Shields and Dupuis 2016,155
2007,912,12292,603,3818,Shields and Dupuis 2016,155
2008,653,7573,1124,3983,Shields and Dupuis 2016,155
2009,859,5588,672,1631,Shields and Dupuis 2016,155
2010,538,7059,553,1750,Shields and Dupuis 2016,155
2011,593,7697,659,2299,Shields and Dupuis 2016,155
2012,218,705,555,1049,Shields and Dupuis 2016,155
2013,493,2988,590,1327,Shields and Dupuis 2016,155
2014,382,2301,507,1470,Shields and Dupuis 2016,155
2015,556,7781,538,1923,Shields and Dupuis 2016,155
