Population,Year,Harvest_total,Harvest_natural,Harvest_hatchery,WeirCount_total,WeirCount_natural,WeirCount_hatchery,TotalRun_total,TotalRun_natural,TotalRun_hatchery,Escapement_total,Escapement_natural,Escapement_hatchery,Comments,Source,Page
Crooked,1996,5295,NA,NA,2224,NA,NA,7519,NA,NA,764,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,1997,5627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weir not operational. See multiple footnotes in original source,Begich et al. 2017,105
Crooked,1998,4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weir not operational. See multiple footnotes in original source,Begich et al. 2017,105
Crooked,1999,7597,NA,NA,1791,1559,232,9388,NA,NA,1397,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2000,8815,NA,NA,1416,1224,192,10231,NA,NA,1077,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2001,7488,NA,NA,2586,2122,464,10074,NA,NA,2315,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2002,4791,NA,NA,3326,2526,800,8117,2526,800,2705,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2003,3090,0,3090,4127,2923,1204,7217,2923,4294,3597,NA,NA,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2004,2407,0,2407,4873,2641,2232,7280,2641,4639,4356,2196,2160,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2005,2665,572,2093,3168,2108,1060,5833,2680,3153,2936,1909,1027,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2006,2489,1057,1432,2646,1589,1057,5135,2646,2489,2569,1516,1053,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2007,2654,1107,1547,1527,1038,489,4181,2145,2036,1452,965,487,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2008,1984,832,1129,1414,1018,396,3398,1850,1525,1181,879,302,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2009,1532,576,956,929,674,255,2461,1250,1211,734,617,117,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2010,1333,273,1060,1352,1090,262,2685,1363,1322,1348,1088,260,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2011,2054,NA,NA,933,677,256,2987,NA,NA,782,654,128,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2012,872,NA,NA,796,633,163,1668,NA,NA,731,631,100,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2013,1073,NA,NA,1409,1211,198,2482,NA,NA,1213,1102,111,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2014,323,NA,NA,2433,1522,911,2756,NA,NA,2148,1411,737,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2015,589,NA,NA,2240,1639,601,2829,NA,NA,1903,1456,447,See multiple footnotes in original source,Begich et al. 2017,105
Crooked,2016,NA,NA,NA,4017,1833,2184,NA,NA,NA,3847,1747,2100,See multiple footnotes in original source,Begich et al. 2017,105
