Fishery,Area_Season,Reporting group,Year,StockCompMean,StockComp5Percentile,StockComp95Percentile,Comments,Reference,Page
Commercial,ESSN,Kenai River tributaries,2010,0.011,0.001,0.031,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River tributaries,2011,0.001,0,0.008,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River tributaries,2013,0.001,0,0.01,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River tributaries,2014,0.002,0,0.012,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River tributaries,2015,0.002,0,0.011,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River tributaries,2016,0.004,0,0.012,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2010,0.643,0.581,0.703,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2011,0.667,0.601,0.733,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2013,0.766,0.727,0.804,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2014,0.609,0.555,0.664,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2015,0.77,0.709,0.814,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kenai River mainstem,2016,0.736,0.687,0.77,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2010,0.326,0.271,0.383,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2011,0.33,0.265,0.395,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2013,0.213,0.178,0.25,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2014,0.387,0.333,0.441,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2015,0.201,0.16,0.26,,Eskelin and Barclay 2017,31
Commercial,ESSN,Kasilof River mainstem,2016,0.247,0.215,0.293,,Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2010,0.02,0.003,0.047,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2011,0.002,0,0.011,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2013,0.019,0.01,0.03,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2014,0.002,0,0.01,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2015,0.027,0.014,0.042,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
Commercial,ESSN,Cook Inlet other1,2016,0.014,0.007,0.024,"""Cook Inlet other1"" reporting group includes Northern Cook Inlet and southern Kenai Peninsula stocks.  The ""1"" is to distinguish it from a separate ""Cook Inlet other"" reporting group used in the marine sport fishery MSA study.  Based on the timing and locations of ""Cook Inlet other"" catches; the authors speculate that these may be primarily southern Kenai Peninsula stocks (Crooked Creek; Deep Creek; Ninilchik; and Anchor) migrating north of their natal streams and being harvested before turning south to swim upstream.",Eskelin and Barclay 2017,31
MarineSport,CentralCI_EarlySummer,Outside Cook Inlet,2014,75.3,71.1,79.4,,Barclay et al. 2016,33
MarineSport,CentralCI_EarlySummer,West/Susitna,2014,13.8,9.3,18.3,,Barclay et al. 2016,33
MarineSport,CentralCI_EarlySummer,Cook Inlet other2,2014,10.4,6.7,14.9,"""Cook Inlet other2"" reporting group includes northern CI east of the Big Su (Little Su; Knik Arm; and Turnagain Arm drainages) and Kenai Peninsula drainages south of the Kenai (Kasilof to Anchor)",Barclay et al. 2016,33
MarineSport,CentralCI_EarlySummer,Kenai,2014,0.5,0,2.1,,Barclay et al. 2016,33
MarineSport,LowerCI_Summer,Outside Cook Inlet,2014,97.9,96.6,99,,Barclay et al. 2016,33
MarineSport,LowerCI_Summer,West/Susitna,2014,0.1,0,0.5,,Barclay et al. 2016,33
