Species,Year,FishCr,KasilofSet,KasilofDip,Kenai,Unknown,Source,Page
Sockeye,1996,17260,9506,11197,102821,4761,Shields and DuPuis 2015 and ADFG website,179
Sockeye,1997,3277,17997,9737,114619,3310,Shields and DuPuis 2015 and ADFG website,179
Sockeye,1998,4036,15975,45161,103847,7562,Shields and DuPuis 2015 and ADFG website,179
Sockeye,1999,1083,12832,37176,149504,7994,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2000,6925,14774,23877,98262,5429,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2001,436,17201,37612,150766,12673,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2002,0,17980,46769,180028,14846,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2003,0,15706,43870,223580,15675,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2004,0,25417,48315,262831,13527,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2005,0,26609,43151,295496,4520,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2006,0,28897,56144,127630,3406,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2007,0,14943,43293,291270,6729,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2008,0,23432,54051,234109,6890,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2009,9898,26646,73035,339993,7968,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2010,23705,21924,70774,389552,8300,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2011,5236,26780,49766,537765,10695,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2012,0,15638,73419,526992,13548,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2013,0,14439,85528,347222,7126,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2014,5829,22567,88513,379823,9315,Shields and DuPuis 2015 and ADFG website,179
Sockeye,2015,19260,27567,89000,377532,8626,Shields and DuPuis 2015 and ADFG website,179
Chinook,1996,37,46,50,295,24,Shields and DuPuis 2015 and ADFG website,179
Chinook,1997,0,65,35,364,0,Shields and DuPuis 2015 and ADFG website,179
Chinook,1998,1,126,134,254,34,Shields and DuPuis 2015 and ADFG website,179
Chinook,1999,0,442,127,488,51,Shields and DuPuis 2015 and ADFG website,179
Chinook,2000,0,514,134,410,44,Shields and DuPuis 2015 and ADFG website,179
Chinook,2001,0,174,138,638,188,Shields and DuPuis 2015 and ADFG website,179
Chinook,2002,0,192,106,606,166,Shields and DuPuis 2015 and ADFG website,179
Chinook,2003,0,400,57,1016,238,Shields and DuPuis 2015 and ADFG website,179
Chinook,2004,0,163,44,792,99,Shields and DuPuis 2015 and ADFG website,179
Chinook,2005,0,87,16,997,32,Shields and DuPuis 2015 and ADFG website,179
Chinook,2006,0,287,55,1034,29,Shields and DuPuis 2015 and ADFG website,179
Chinook,2007,0,343,35,1509,37,Shields and DuPuis 2015 and ADFG website,179
Chinook,2008,0,151,46,1362,41,Shields and DuPuis 2015 and ADFG website,179
Chinook,2009,10,127,34,1189,25,Shields and DuPuis 2015 and ADFG website,179
Chinook,2010,12,136,31,865,15,Shields and DuPuis 2015 and ADFG website,179
Chinook,2011,2,167,24,1243,17,Shields and DuPuis 2015 and ADFG website,179
Chinook,2012,0,103,16,40,8,Shields and DuPuis 2015 and ADFG website,179
Chinook,2013,0,46,18,11,9,Shields and DuPuis 2015 and ADFG website,179
Chinook,2014,0,50,0,0,0,Shields and DuPuis 2015 and ADFG website,179
Chinook,2015,0,61,0,66,0,Shields and DuPuis 2015 and ADFG website,179
Coho,1996,2414,0,334,1932,131,Shields and DuPuis 2015 and ADFG website,179
Coho,1997,63,1,90,559,64,Shields and DuPuis 2015 and ADFG website,179
Coho,1998,649,0,731,1011,294,Shields and DuPuis 2015 and ADFG website,179
Coho,1999,17,25,286,1009,76,Shields and DuPuis 2015 and ADFG website,179
Coho,2000,958,9,1004,1449,218,Shields and DuPuis 2015 and ADFG website,179
Coho,2001,18,6,766,1555,292,Shields and DuPuis 2015 and ADFG website,179
Coho,2002,0,12,1197,1721,341,Shields and DuPuis 2015 and ADFG website,179
Coho,2003,0,107,592,1332,219,Shields and DuPuis 2015 and ADFG website,179
Coho,2004,0,58,668,2661,366,Shields and DuPuis 2015 and ADFG website,179
Coho,2005,0,326,538,2512,39,Shields and DuPuis 2015 and ADFG website,179
Coho,2006,0,420,1057,2235,47,Shields and DuPuis 2015 and ADFG website,179
Coho,2007,0,68,487,2111,61,Shields and DuPuis 2015 and ADFG website,179
Coho,2008,0,65,509,2609,66,Shields and DuPuis 2015 and ADFG website,179
Coho,2009,53,165,1441,2401,144,Shields and DuPuis 2015 and ADFG website,179
Coho,2010,3576,23,1768,2870,168,Shields and DuPuis 2015 and ADFG website,179
Coho,2011,905,47,977,4745,80,Shields and DuPuis 2015 and ADFG website,179
Coho,2012,0,161,1170,4008,173,Shields and DuPuis 2015 and ADFG website,179
