Fishery,Year,PermitsIssued,PermitsReturned,HarvestChinook,HarvestSockeye,HarvestCoho,HarvestChum,HarvestPink,HarvestTotal,Source,Page
Kenai,1981,0,0,0,0,0,0,0,0,Fall et al 2015,200
Kenai,1982,NA,NA,NA,NA,NA,NA,NA,0,Fall et al 2015,200
Kenai,1983,NA,NA,NA,7562,NA,NA,NA,7562,Fall et al 2015,200
Kenai,1984,0,0,0,0,0,0,0,0,Fall et al 2015,200
Kenai,1985,0,0,0,0,0,0,0,0,Fall et al 2015,200
Kenai,1986,0,0,0,0,0,0,0,0,Fall et al 2015,200
Kenai,1987,NA,NA,NA,24086,NA,NA,NA,24086,Fall et al 2015,200
Kenai,1988,NA,NA,NA,16880,NA,NA,NA,16880,Fall et al 2015,200
Kenai,1989,NA,NA,NA,48976,NA,NA,NA,48976,Fall et al 2015,200
Kenai,1990,0,0,0,0,0,0,0,0,Fall et al 2015,200
Kenai,1991,7065,5480,44,10468,146,2,17,10677,Fall et al 2015,200
Kenai,1992,9500,4104,158,28429,1475,74,598,30734,Fall et al 2015,200
Kenai,1993,NA,NA,NA,33467,NA,NA,NA,33467,Fall et al 2015,200
Kenai,1994,10127,4823,187,13897,2535,114,1263,17996,Fall et al 2015,200
Kenai,1995,NA,NA,NA,14352,NA,NA,NA,14352,Fall et al 2015,200
KasilofSet,1982,649,NA,372,7543,24,NA,17,7956,Fall et al 2015,197
KasilofSet,1983,684,NA,307,8846,NA,NA,NA,9153,Fall et al 2015,197
KasilofSet,1984,698,NA,165,12926,NA,NA,NA,13091,Fall et al 2015,197
KasilofSet,1985,692,NA,203,10746,NA,NA,NA,10949,Fall et al 2015,197
KasilofSet,1986,NA,NA,168,9609,NA,NA,NA,9777,Fall et al 2015,197
KasilofSet,1987,NA,NA,184,9375,NA,NA,NA,9559,Fall et al 2015,197
KasilofSet,1988,NA,NA,118,9803,NA,NA,NA,9921,Fall et al 2015,197
KasilofSet,1989,NA,NA,186,9928,NA,NA,NA,10114,Fall et al 2015,197
KasilofSet,1990,NA,NA,133,7123,NA,NA,NA,7256,Fall et al 2015,197
KasilofSet,1991,NA,NA,34,8380,NA,NA,NA,8414,Fall et al 2015,197
KasilofSet,1992,0,0,0,0,0,0,0,0,Fall et al 2015,197
KasilofSet,1993,NA,NA,47,7942,NA,NA,NA,7989,Fall et al 2015,197
KasilofSet,1994,0,0,0,0,0,0,0,0,Fall et al 2015,197
KasilofSet,1995,0,0,0,0,0,0,0,0,Fall et al 2015,197
KasilofDip,1981,NA,NA,NA,10300,NA,NA,NA,10300,Fall et al 2015,198
KasilofDip,1982,NA,NA,NA,1800,NA,NA,NA,1800,Fall et al 2015,198
KasilofDip,1983,NA,NA,NA,11124,NA,NA,NA,11124,Fall et al 2015,198
KasilofDip,1984,NA,NA,NA,12771,NA,NA,NA,12771,Fall et al 2015,198
KasilofDip,1985,NA,NA,NA,16284,NA,NA,NA,16284,Fall et al 2015,198
KasilofDip,1986,NA,NA,NA,38674,NA,NA,NA,38674,Fall et al 2015,198
KasilofDip,1987,NA,NA,NA,18454,NA,NA,NA,18454,Fall et al 2015,198
KasilofDip,1988,NA,NA,NA,3547,NA,NA,NA,3547,Fall et al 2015,198
KasilofDip,1989,0,0,0,0,0,0,0,0,Fall et al 2015,198
KasilofDip,1990,0,0,0,0,0,0,0,0,Fall et al 2015,198
KasilofDip,1991,7065,5480,10,907,2,0,3,922,Fall et al 2015,198
KasilofDip,1992,9500,4104,24,1230,24,0,3,1281,Fall et al 2015,198
KasilofDip,1993,0,0,0,0,0,0,0,0,Fall et al 2015,198
KasilofDip,1994,10127,4823,54,6414,137,14,59,6678,Fall et al 2015,198
KasilofDip,1995,NA,NA,NA,4160,NA,NA,NA,4160,Fall et al 2015,198
FishCr,1987,NA,NA,0,2200,0,0,2200,4400,Fall et al 2015,201
FishCr,1988,NA,NA,0,3000,0,0,3000,6000,Fall et al 2015,201
FishCr,1989,NA,NA,0,5000,0,0,5000,10000,Fall et al 2015,201
FishCr,1990,NA,NA,0,6500,0,0,6500,13000,Fall et al 2015,201
FishCr,1991,NA,NA,0,14369,0,549,567,15485,Fall et al 2015,201
FishCr,1992,NA,NA,0,19002,0,607,678,20287,Fall et al 2015,201
FishCr,1993,NA,NA,0,37224,973,503,2068,40768,Fall et al 2015,201
FishCr,1994,NA,NA,0,16012,1336,248,632,18228,Fall et al 2015,201
FishCr,1995,NA,NA,0,9102,2640,99,290,12131,Fall et al 2015,201
