year,ASON_avg,siteID,ASON_max
1980,77.459882601,EF_chulit,120.18724746
1981,96.57275786,EF_chulit,178.77790225
1982,89.022184989,EF_chulit,150.25257477
1983,95.505060347,EF_chulit,198.76698071
1984,66.781370968,EF_chulit,153.43878734
1985,113.04250339,EF_chulit,224.79171603
1986,109.89462373,EF_chulit,175.27070396
1987,67.853401854,EF_chulit,90.967578079
1988,81.354627368,EF_chulit,128.68593847
1989,107.05184425,EF_chulit,162.55866851
1990,119.36805227,EF_chulit,207.01172695
1991,78.011963119,EF_chulit,124.26194726
1992,87.428348117,EF_chulit,109.57312335
1993,150.65773177,EF_chulit,254.79418367
1994,80.592411409,EF_chulit,112.44162734
1995,81.637921589,EF_chulit,143.19122679
1996,84.64261713,EF_chulit,154.26340406
1997,85.019354467,EF_chulit,176.3079743
1998,90.48576654,EF_chulit,185.1671319
1999,89.28105505,EF_chulit,162.05834151
2000,97.303891968,EF_chulit,146.39255867
2001,53.750182076,EF_chulit,106.38998805
2002,104.2978293,EF_chulit,181.04679021
2003,93.160878298,EF_chulit,132.9884727
2004,100.49078109,EF_chulit,172.75524355
2005,99.500510598,EF_chulit,209.6088581
2006,103.20383262,EF_chulit,254.69604126
2007,93.637334117,EF_chulit,171.33069248
2008,72.315197914,EF_chulit,102.84731935
2009,69.630807211,EF_chulit,130.60733903
2010,83.925322482,EF_chulit,124.0213698
1980,93.879623665,alexander,123.82984565
1981,126.07924216,alexander,193.71224641
1982,123.64804595,alexander,208.64929437
1983,111.22975891,alexander,163.54610241
1984,75.379079987,alexander,149.69652337
1985,110.07158529,alexander,194.79135779
1986,143.06194173,alexander,145.31862156
1987,99.953141265,alexander,131.565051
1988,101.0196105,alexander,145.47856365
1989,142.6002266,alexander,168.69765597
1990,126.20752942,alexander,236.84175577
1991,96.455187794,alexander,125.0894917
1992,105.14602631,alexander,116.63181014
1993,168.18880469,alexander,241.29969939
1994,90.952792847,alexander,125.49854483
1995,78.011824551,alexander,125.4385773
1996,88.052543011,alexander,132.79406507
1997,95.496092231,alexander,161.35615886
1998,86.111804437,alexander,165.38981185
1999,109.16987091,alexander,158.8165948
2000,95.180974558,alexander,129.63078337
2001,60.881701197,alexander,70.341281451
2002,131.20533469,alexander,164.52786147
2003,111.92120412,alexander,121.1192613
2004,129.78144105,alexander,225.24212869
2005,114.16005954,alexander,224.47710835
2006,126.01615679,alexander,253.54358863
2007,110.05045389,alexander,185.52419589
2008,84.6623455,alexander,118.79710905
2009,82.415310585,alexander,104.50942747
2010,92.848190451,alexander,129.58313554
1980,84.916161327,anchor,83.369900858
1981,90.584943728,anchor,104.44500778
1982,82.192420681,anchor,155.01096454
1983,92.084932264,anchor,139.90278286
1984,61.385818083,anchor,88.663440817
1985,67.632275145,anchor,107.08640955
1986,106.65951821,anchor,107.83847833
1987,94.776755716,anchor,120.37681641
1988,75.292356581,anchor,90.419051899
1989,98.327317651,anchor,127.34124607
1990,89.674253036,anchor,152.61454086
1991,74.848370401,anchor,99.933879673
1992,70.849433328,anchor,106.23431379
1993,102.51171283,anchor,132.35681934
1994,74.995580099,anchor,98.654483364
1995,66.834658303,anchor,110.78438087
