year,MJJA_avg,siteID,MJJA_max
1980,98.466501501,EF_chulit,124.67887545
1981,128.32077396,EF_chulit,199.25113252
1982,88.596623766,EF_chulit,146.00801137
1983,81.300316127,EF_chulit,198.76698071
1984,87.719160043,EF_chulit,153.43878734
1985,78.859936365,EF_chulit,131.35306618
1986,100.14894766,EF_chulit,175.27070396
1987,65.549133562,EF_chulit,114.14518325
1988,83.413751876,EF_chulit,128.68593847
1989,103.66478615,EF_chulit,162.55866851
1990,98.279943544,EF_chulit,164.27929586
1991,71.191053656,EF_chulit,124.26194726
1992,77.690275009,EF_chulit,109.57312335
1993,84.152620287,EF_chulit,197.3212111
1994,70.01458795,EF_chulit,112.44162734
1995,98.075090935,EF_chulit,143.19122679
1996,82.137770904,EF_chulit,154.26340406
1997,81.218804778,EF_chulit,176.3079743
1998,119.85950267,EF_chulit,185.1671319
1999,105.21663434,EF_chulit,162.05834151
2000,80.507992567,EF_chulit,146.39255867
2001,88.054287357,EF_chulit,202.77962659
2002,92.668552015,EF_chulit,181.04679021
2003,88.427870642,EF_chulit,142.63933331
2004,54.332982694,EF_chulit,82.798347024
2005,67.167489038,EF_chulit,100.15322438
2006,111.74323439,EF_chulit,254.69604126
2007,86.889386048,EF_chulit,149.46447517
2008,85.011998375,EF_chulit,145.7883887
2009,61.834265429,EF_chulit,130.60733903
2010,91.218120273,EF_chulit,145.14908048
1980,103.14851015,alexander,123.82984565
1981,114.17285022,alexander,193.71224641
1982,70.10463574,alexander,95.120438898
1983,68.373203255,alexander,163.54610241
1984,76.746223966,alexander,149.69652337
1985,77.140479785,alexander,140.85413891
1986,77.188398462,alexander,144.33639216
1987,60.524848012,alexander,85.496090263
1988,74.932261401,alexander,145.47856365
1989,99.758856559,alexander,168.69765597
1990,67.412000178,alexander,118.16751626
1991,66.784487105,alexander,125.0894917
1992,63.817746575,alexander,116.63181014
1993,77.053426848,alexander,186.31643603
1994,56.658426408,alexander,84.794604712
1995,85.405889145,alexander,110.38949714
1996,66.476170849,alexander,132.79406507
1997,73.960637087,alexander,161.35615886
1998,101.80870373,alexander,165.38981185
1999,89.992561044,alexander,158.8165948
2000,64.855740654,alexander,95.302118461
2001,65.971104845,alexander,158.44574275
2002,68.675567259,alexander,145.82911388
2003,77.093378186,alexander,118.08788569
2004,50.013995805,alexander,66.477129385
2005,57.993680651,alexander,114.74413245
2006,102.98719663,alexander,253.54358863
2007,64.861482973,alexander,102.68832911
2008,58.719589845,alexander,92.123981265
2009,55.854867443,alexander,104.50942747
2010,80.520019127,alexander,129.58313554
1980,60.391452146,anchor,69.086481449
1981,64.290430855,anchor,104.25841509
1982,34.828989082,anchor,40.670343038
1983,36.139955166,anchor,65.988048534
1984,43.329405531,anchor,88.328165323
1985,50.947838792,anchor,72.156150599
1986,46.348637755,anchor,82.424914949
1987,33.827643429,anchor,39.192869833
1988,45.267449374,anchor,90.419051899
1989,53.917370387,anchor,83.18330378
