Population,BroodYear,Escapement,TotalReturn,ReturnPerSpawner,Reference,Page
Deshka,1980,NA,NA,1.28,Erickson et al. 2017,50
Deshka,1981,NA,NA,1.94,Erickson et al. 2017,50
Deshka,1982,NA,NA,2.03,Erickson et al. 2017,50
Deshka,1983,NA,NA,0.83,Erickson et al. 2017,50
Deshka,1984,NA,NA,0.91,Erickson et al. 2017,50
Deshka,1985,NA,NA,1.13,Erickson et al. 2017,50
Deshka,1986,NA,NA,0.64,Erickson et al. 2017,50
Deshka,1987,NA,NA,0.62,Erickson et al. 2017,50
Deshka,1988,NA,NA,0.47,Erickson et al. 2017,50
Deshka,1989,NA,NA,0.67,Erickson et al. 2017,50
Deshka,1990,NA,NA,0.16,Erickson et al. 2017,50
Deshka,1991,NA,NA,0.76,Erickson et al. 2017,50
Deshka,1992,NA,NA,2.13,Erickson et al. 2017,50
Deshka,1993,NA,NA,1.96,Erickson et al. 2017,50
Deshka,1994,NA,NA,3.08,Erickson et al. 2017,50
Deshka,1995,NA,NA,5.27,Erickson et al. 2017,50
Deshka,1996,NA,NA,1.78,Erickson et al. 2017,50
Deshka,1997,NA,NA,0.94,Erickson et al. 2017,50
Deshka,1998,NA,NA,1.16,Erickson et al. 2017,50
Deshka,1999,NA,NA,2.3,Erickson et al. 2017,50
Deshka,2000,NA,NA,1.38,Erickson et al. 2017,50
Deshka,2001,NA,NA,1.42,Erickson et al. 2017,50
Deshka,2002,NA,NA,1.08,Erickson et al. 2017,50
Deshka,2003,NA,NA,0.18,Erickson et al. 2017,50
Deshka,2004,NA,NA,0.11,Erickson et al. 2017,50
Deshka,2005,NA,NA,0.7,Erickson et al. 2017,50
Deshka,2006,NA,NA,0.72,Erickson et al. 2017,50
Deshka,2007,NA,NA,0.78,Erickson et al. 2017,50
Deshka,2008,NA,NA,3.18,Erickson et al. 2017,50
Deshka,2009,NA,NA,1.32,Erickson et al. 2017,50
Kenai.Late,1986,40972,52117,NA,Fleischman and Reimer 2017,30
Kenai.Late,1987,47070,59676,NA,Fleischman and Reimer 2017,30
Kenai.Late,1988,41572,55907,NA,Fleischman and Reimer 2017,30
Kenai.Late,1989,25336,38640,NA,Fleischman and Reimer 2017,30
Kenai.Late,1990,24478,40111,NA,Fleischman and Reimer 2017,30
Kenai.Late,1991,26303,50992,NA,Fleischman and Reimer 2017,30
Kenai.Late,1992,36583,45463,NA,Fleischman and Reimer 2017,30
Kenai.Late,1993,32448,43137,NA,Fleischman and Reimer 2017,30
Kenai.Late,1994,25033,40287,NA,Fleischman and Reimer 2017,30
Kenai.Late,1995,24016,48753,NA,Fleischman and Reimer 2017,30
Kenai.Late,1996,28806,52404,NA,Fleischman and Reimer 2017,30
Kenai.Late,1997,24822,65395,NA,Fleischman and Reimer 2017,30
Kenai.Late,1998,32560,85907,NA,Fleischman and Reimer 2017,30
Kenai.Late,1999,28520,97451,NA,Fleischman and Reimer 2017,30
Kenai.Late,2000,24923,60123,NA,Fleischman and Reimer 2017,30
Kenai.Late,2001,28442,41366,NA,Fleischman and Reimer 2017,30
Kenai.Late,2002,40381,45349,NA,Fleischman and Reimer 2017,30
Kenai.Late,2003,48278,32442,NA,Fleischman and Reimer 2017,30
Kenai.Late,2004,65084,17445,NA,Fleischman and Reimer 2017,30
Kenai.Late,2005,54669,28511,NA,Fleischman and Reimer 2017,30
Kenai.Late,2006,38619,21369,NA,Fleischman and Reimer 2017,30
Kenai.Late,2007,29461,18982,NA,Fleischman and Reimer 2017,30
Kenai.Late,2008,27545,13110,NA,Fleischman and Reimer 2017,30
Kenai.Late,2009,17992,21093,NA,Fleischman and Reimer 2017,30
Kenai.Late,2010,13035,23513,NA,Fleischman and Reimer 2017,30
