Area.Fished,Region.SWHS,ChinookHarvestTotal,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,Population,Comments
Bird Creek,Anchorage,185,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Campbell Creek,Anchorage,1269,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,Campbell,
Eagle River,Anchorage,1715,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other Eagle River/Chugiak lakes,Anchorage,34,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other lakes,Anchorage,57,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other streams,Anchorage,870,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Others,Anchorage,26,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Ship Creek,Anchorage,75396,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Sixmile Lake (JBER),Anchorage,41,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Twentymile River,Anchorage,8,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Kenai River - Cook Inlet to Soldotna Bridge (non-guided),Kenai Peninsula,110038,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - Cook Inlet to Soldotna Bridge (guided),Kenai Peninsula,104435,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kasilof River - guided boat fishing,Kenai Peninsula,58394,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Ninilchik River,Kenai Peninsula,54655,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,Ninilchik,
Kasilof River - nonguided bank fishing,Kenai Peninsula,46076,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Anchor River,Kenai Peninsula,44908,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,Anchor,
Kasilof River,Kenai Peninsula,40398,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - (Cook Inlet to Soldotna Bridge),Kenai Peninsula,33040,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Deep Creek,Kenai Peninsula,31032,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,Deep,
Kenai River - Soldotna Bridge to Moose River (guided),Kenai Peninsula,28595,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - Soldotna Bridge to Moose River (non-guided),Kenai Peninsula,20890,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kasilof River - nonguided boat fishing,Kenai Peninsula,19624,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - Moose River to Skilak Outlet (non-guided),Kenai Peninsula,7475,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kasilof River - Nonguided Bank Fishing,Kenai Peninsula,6921,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kasilof River - Guided Boat Fishing,Kenai Peninsula,5163,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River,Kenai Peninsula,4942,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - (Soldotna Bridge to Moose Ruver),Kenai Peninsula,4817,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kasilof River - guided bank fishing,Kenai Peninsula,4742,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - Moose River to Skilak Outlet (guided),Kenai Peninsula,4704,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - reach not specified (guided),Kenai Peninsula,3607,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - reach not specified (non-guided),Kenai Peninsula,3391,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kenai River - (Moose River to Skilak Outlet),Kenai Peninsula,2399,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Other streams,Kenai Peninsula,1926,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Kasilof River - Nonguided Boat Fishing,Kenai Peninsula,1426,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - Skilak Inlet to Kenai Lake (non-guided),Kenai Peninsula,1074,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Other Streams,Kenai Peninsula,797,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Russian River,Kenai Peninsula,572,Kenai River tributaries,Kenai Peninsula,Kenai,Kenai River undetermined,
Kenai River - Skilak Inlet to Kenai Lake (guided),Kenai Peninsula,465,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Kasilof River - Guided Bank Fishing,Kenai Peninsula,388,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - unspecified,Kenai Peninsula,349,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
