Area.Fished,Region.SWHS,ChinookHarvestTotal
Bird Creek,Anchorage,151
Campbell Creek,Anchorage,761
Eagle River,Anchorage,1279
Other Eagle River/Chugiak lakes,Anchorage,17
Other lakes,Anchorage,57
Other streams,Anchorage,472
Others,Anchorage,26
Ship Creek,Anchorage,68023
Sixmile Lake (JBER),Anchorage,20
Twentymile River,Anchorage,8
Anchor River,Kenai Peninsula,41304
Crooked Creek,Kenai Peninsula,332
Deep Creek,Kenai Peninsula,28495
Kasilof River,Kenai Peninsula,40398
Kasilof River - guided bank fishing,Kenai Peninsula,3574
Kasilof River - Guided Bank Fishing,Kenai Peninsula,388
Kasilof River - guided boat fishing,Kenai Peninsula,52916
Kasilof River - Guided Boat Fishing,Kenai Peninsula,5163
Kasilof River - nonguided bank fishing,Kenai Peninsula,41724
Kasilof River - Nonguided Bank Fishing,Kenai Peninsula,6921
Kasilof River - nonguided boat fishing,Kenai Peninsula,16562
Kasilof River - Nonguided Boat Fishing,Kenai Peninsula,1426
Kasilof River - unspecified,Kenai Peninsula,118
Kenai Lake,Kenai Peninsula,49
Kenai River,Kenai Peninsula,4942
Kenai River - (Cook Inlet to Soldotna Bridge),Kenai Peninsula,33040
Kenai River - (Moose River to Skilak Outlet),Kenai Peninsula,2399
Kenai River - (Skilak Inlet to Kenai Lake),Kenai Peninsula,77
Kenai River - (Soldotna Bridge to Moose Ruver),Kenai Peninsula,4817
Kenai River - Cook Inlet to Soldotna Bridge (guided),Kenai Peninsula,192550
Kenai River - Cook Inlet to Soldotna Bridge (non-guided),Kenai Peninsula,194823
Kenai River - Moose River to Skilak Outlet (guided),Kenai Peninsula,7253
Kenai River - Moose River to Skilak Outlet (non-guided),Kenai Peninsula,12738
Kenai River - reach not specified (guided),Kenai Peninsula,2801
Kenai River - reach not specified (non-guided),Kenai Peninsula,2514
Kenai River - Skilak Inlet to Kenai Lake (guided),Kenai Peninsula,731
Kenai River - Skilak Inlet to Kenai Lake (non-guided),Kenai Peninsula,3133
Kenai River - Soldotna Bridge to Moose River (guided),Kenai Peninsula,47786
Kenai River - Soldotna Bridge to Moose River (non-guided),Kenai Peninsula,33858
Kenai River - unspecified,Kenai Peninsula,231
Moose River,Kenai Peninsula,6
Ninilchik River,Kenai Peninsula,50836
Other Lake,Kenai Peninsula,20
Other lakes,Kenai Peninsula,46
Other Lakes,Kenai Peninsula,19
Other Rivers,Kenai Peninsula,310
Other streams,Kenai Peninsula,1258
Other Streams,Kenai Peninsula,797
Quartz Creek,Kenai Peninsula,20
Resurrection Creek drainage,Kenai Peninsula,219
Russian River,Kenai Peninsula,572
Sixmile Creek drainage,Kenai Peninsula,45
Skilak Lake,Kenai Peninsula,41
Stariski Creek,Kenai Peninsula,187
Swanson River,Kenai Peninsula,6
Swanson River Canoe Route Lakes,Kenai Peninsula,8
Eklutna Power Plant Raceway,Knik Arm,7523
Fish Creek,Knik Arm,44
Fish Creek (Big Lake drainage),Knik Arm,25
"Knik River drainage, including Jim Creek",Knik Arm,17
Little Susitna River,Knik Arm,25113
