Region,Area.Fished,Population
Susitna River,Alexander Creek,Alexander
West Cook Inlet,Alexander Creek,Alexander
Susitna River,Alexander Creek/Lake,Alexander
West Cook Inlet,Alexander Creek/Lake,Alexander
West Cook Inlet,Alexander Creek/Lake ,Alexander
West Cook Inlet,Alexander Lake,Alexander
Kenai Peninsula,Anchor River,Anchor
Anchorage,Campbell Creek,Campbell
West Cook Inlet,Chuit River,Chuitna
West Cook Inlet,Chuitna River,Chuitna
West Cook Inlet,Chuitna River ,Chuitna
Susitna River,Chulitna River drainage,Chulitna
Kenai Peninsula,Crooked Creek,Crooked
Kenai Peninsula,Deep Creek,Deep
West Cook Inlet,Deshka River (Kroto Creek),Deshka
West Cook Inlet,Deshka River (Kroto Creek) ,Deshka
Susitna River,Deshka River (Kroto Creek) above weir,Deshka
Susitna River,Deshka River (Kroto Creek) below weir,Deshka
Susitna River,Deshka River (reach unspecified),Deshka
Kenai Peninsula,Kasilof River,Crooked/Kasilof
Kenai Peninsula,Kasilof River - guided bank fishing,Crooked/Kasilof
Kenai Peninsula,Kasilof River - guided boat fishing,Crooked/Kasilof
Kenai Peninsula,Kasilof River - nonguided bank fishing,Crooked/Kasilof
Kenai Peninsula,Kasilof River - nonguided boat fishing,Crooked/Kasilof
Kenai Peninsula,Kasilof River - unspecified,Crooked/Kasilof
Kenai Peninsula,Kenai Lake,Kenai
Kenai Peninsula,Kenai River,Kenai
Kenai Peninsula,Kenai River - (Cook Inlet to Soldotna Bridge),Kenai
Kenai Peninsula,Kenai River - (Moose River to Skilak Outlet),Kenai
Kenai Peninsula,Kenai River - (Skilak Inlet to Kenai Lake),Kenai
Kenai Peninsula,Kenai River - (Soldotna Bridge to Moose Ruver),Kenai
Kenai Peninsula,Kenai River - Cook Inlet to Soldotna Bridge (guided),Kenai
Kenai Peninsula,Kenai River - Cook Inlet to Soldotna Bridge (non-guided),Kenai
Kenai Peninsula,Kenai River - Moose River to Skilak Outlet (guided),Kenai
Kenai Peninsula,Kenai River - Moose River to Skilak Outlet (non-guided),Kenai
Kenai Peninsula,Kenai River - reach not specified (guided),Kenai
Kenai Peninsula,Kenai River - reach not specified (non-guided),Kenai
Kenai Peninsula,Kenai River - Skilak Inlet to Kenai Lake (guided),Kenai
Kenai Peninsula,Kenai River - Skilak Inlet to Kenai Lake (non-guided),Kenai
Kenai Peninsula,Kenai River - Soldotna Bridge to Moose River (guided),Kenai
Kenai Peninsula,Kenai River - Soldotna Bridge to Moose River (non-guided),Kenai
Kenai Peninsula,Kenai River - unspecified,Kenai
West Cook Inlet,Lewis River,Lewis
Knik Arm,Little Susitna River,Little Susitna
Knik Arm,Little Susitna River ,Little Susitna
Knik Arm,Little Susitna River (reach unspecified),Little Susitna
Knik Arm,Little Susitna River above weir,Little Susitna
Knik Arm,Little Susitna River below weir,Little Susitna
Susitna River,Little Willow Creek,Little Willow
Susitna River,Little Willow Creel,Little Willow
Susitna River,Montana Creek,Montana
West Cook Inlet,Moose Creek,Deshka
Kenai Peninsula,Ninilchik River,Ninilchik
West Cook Inlet,Theodore River,Theodore
West Cook Inlet,Theodore River ,Theodore
Susitna River,Willow Creek,Willow
