Year,CentralCI_EarlySummer,CentralCI_LateSummer,LowerCI_Summer,LowerCI_Winter,LowerCI_Total,NickDudiakFishingLagoon,UnknownLocation,Comments,Reference,Page
1977,4617,366,,,970,,,This sheet follows the naming conventions of Barclay et al. 2016 for the different fisheries (different names than used by Kerkvliet et al.),Kerkvliet et al. 2016,90-91
1978,2669,2693,,,816,,,,Kerkvliet et al. 2016,90-91
1979,3088,1164,,,1034,,,,Kerkvliet et al. 2016,90-91
1980,521,747,,,431,,368,,Kerkvliet et al. 2016,90-91
1981,2363,170,,,1145,,292,,Kerkvliet et al. 2016,90-91
1982,2497,1173,,,1963,,355,,Kerkvliet et al. 2016,90-91
1983,1000,1707,,,2664,,260,,Kerkvliet et al. 2016,90-91
1984,2386,835,,,1559,,2077,,Kerkvliet et al. 2016,90-91
1985,5087,1731,,,883,,,,Kerkvliet et al. 2016,90-91
1986,2888,1208,,,439,,855,,Kerkvliet et al. 2016,90-91
1987,3613,1512,,,452,833,934,,Kerkvliet et al. 2016,90-91
1988,4243,1775,,,1472,5275,3118,,Kerkvliet et al. 2016,90-91
1989,3863,1616,,,899,1956,1721,,Kerkvliet et al. 2016,90-91
1990,4694,1964,,,1123,2027,1570,,Kerkvliet et al. 2016,90-91
1991,4824,2019,,,775,1634,1341,,Kerkvliet et al. 2016,90-91
1992,5996,2509,,,2978,1406,1466,,Kerkvliet et al. 2016,90-91
1993,8136,3404,,,4400,4997,2336,,Kerkvliet et al. 2016,90-91
1994,6850,2296,,,6154,2607,1832,,Kerkvliet et al. 2016,90-91
1995,8230,2673,,,3642,4266,1786,,Kerkvliet et al. 2016,90-91
1996,4702,2006,,,3509,2356,1801,,Kerkvliet et al. 2016,90-91
1997,5646,2850,,,3591,2962,1839,,Kerkvliet et al. 2016,90-91
1998,5783,1680,,,3417,1856,1064,,Kerkvliet et al. 2016,90-91
1999,4907,997,,,3605,2441,1679,,Kerkvliet et al. 2016,90-91
2000,4773,1026,,,3628,2012,1384,,Kerkvliet et al. 2016,90-91
2001,3671,860,,,3715,2535,772,,Kerkvliet et al. 2016,90-91
2002,3368,427,3877,1423,5300,2621,122,,Kerkvliet et al. 2016,90-91
2003,4042,200,4590,1804,6394,4059,133,,Kerkvliet et al. 2016,90-91
2004,3880,1539,6034,2069,8103,4068,147,,Kerkvliet et al. 2016,90-91
2005,3746,1040,8170,2958,11128,2810,126,,Kerkvliet et al. 2016,90-91
2006,5035,898,6772,1515,8287,2092,56,,Kerkvliet et al. 2016,90-91
2007,4015,797,3959,2011,5970,1757,0,,Kerkvliet et al. 2016,90-91
2008,2137,517,3357,1692,5049,833,26,,Kerkvliet et al. 2016,90-91
2009,1415,256,2444,1696,4140,710,25,,Kerkvliet et al. 2016,90-91
2010,1753,558,4369,2559,6928,883,12,,Kerkvliet et al. 2016,90-91
2011,2201,853,3711,2000,5711,418,101,,Kerkvliet et al. 2016,90-91
2012,955,453,3373,2079,5452,14,16,,Kerkvliet et al. 2016,90-91
2013,2027,510,5810,2411,8221,95,169,,Kerkvliet et al. 2016,90-91
2014,1554,985,5059,3173,8232,1060,158,,Kerkvliet et al. 2016,90-91
2015,2658,1528,8030,5137,13494,1766,314,,Kerkvliet et al. 2016,90-91
