Year,Region,Value,Type,Area.Fished,Responses.Used,Anglers,Trips,Days.Fished,KSP,KSA,KI,KS,SS,LL,HA,SH,DV,RT,LT,DV.AC,GR,LS,RS,KO,PS,CS,SK,RF,WF,NP,BB,SM,LC,RCL,PC,BC,RC,OTHER,Population
1980,Anchorage,Estimates,Freshwater,Beach Lake,,,,1028,,,,0,0,370,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Bird Creek,,,,3927,,,,0,26,0,,,,0,,207,0,,0,,2127,34,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,C Street Lake,,,,1899,,,,0,0,1765,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Campbell Point Lake,,,,2142,,,,0,0,0,,,,2213,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Clunie Lake,,,,4498,,,,0,0,0,,,,6346,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Eagle River,,,,2085,,,,0,0,0,,,,585,,818,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Fish/Cheney Lake,,,,1842,,,,0,0,1825,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Freshwater Total,,,,79660,,,,26,1222,15574,,,,33141,,3607,77,,146,,2601,86,,,,,,81624,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Green Lake,,,,7863,,,,0,0,0,,,,3866,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Gwen Lake,,,,914,,,,0,0,1248,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Hillberg Lake,,,,4369,,,,0,0,5028,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Jewel Lake,,,,8182,,,,0,0,0,,,,5209,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Lower Fire Lake,,,,4955,,,,0,0,0,,,,4073,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Mirror Lake,,,,1414,,,,0,0,1266,,,,0,,0,77,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Others,,,,5926,,,,26,456,714,,,,3100,,1808,0,,0,,26,0,,,,,,6001,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Otter Lake,,,,7040,,,,0,0,0,,,,5063,,86,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Sand Lake,,,,2113,,,,0,0,0,,,,2066,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Ship Creek,,,,4441,,,,0,301,0,,,,620,,275,0,,0,,405,9,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Sixmile Lake,,,,4241,,,,0,0,2127,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Triangle Lake,,,,2199,,,,0,0,1231,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1980,Anchorage,Estimates,Freshwater,Twentymile River,,,,8582,,,,0,439,0,,,,0,,413,0,,146,,43,43,,,,,,75623,,,,,,0,
1980,Kenai Peninsula,Estimates,Freshwater,Anchor River,,,,33272,,,,605,2649,0,0,841,,345,0,10948,0,,0,0,339,0,,0,0,,,0,,,,,,0,Anchor
1980,Kenai Peninsula,Estimates,Freshwater,Canoe Lake System,,,,6697,,,,0,0,95,0,0,,6905,0,1300,0,,0,0,0,0,,0,0,,,0,,,,,,0,
1980,Kenai Peninsula,Estimates,Freshwater,Deep Creek,,,,8796,,,,182,478,0,0,139,,97,0,1028,0,,0,0,321,0,,0,0,,,0,,,,,,0,Deep
1980,Kenai Peninsula,Estimates,Freshwater,Freshwater Total,,,,360311,,,,6762,33610,3858,0,1349,,32462,3569,59605,2126,,82690,2351,21076,34,,0,456,,,158744,,,,,,456,
1980,Kenai Peninsula,Estimates,Freshwater,Hidden Lake,,,,5783,,,,0,0,0,0,0,,1196,1860,439,0,,0,1154,0,0,,0,0,,,0,,,,,,0,
1980,Kenai Peninsula,Estimates,Freshwater,Kenai River,,,,171803,,,,4942,26838,0,0,0,,9807,112,26794,17,,25468,0,18580,0,,0,456,,,150554,,,,,,353,Kenai
1980,Kenai Peninsula,Estimates,Freshwater,Ninilchik River,,,,19706,,,,723,321,0,0,290,,91,0,853,0,,0,0,260,0,,0,0,,,0,,,,,,0,Ninilchik
1980,Kenai Peninsula,Estimates,Freshwater,Other Lakes,,,,17222,,,,0,43,3763,0,0,,9535,1433,7937,1188,,120,1197,0,0,,0,0,,,0,,,,,,0,
1980,Kenai Peninsula,Estimates,Freshwater,Other Rivers,,,,16550,,,,310,2101,0,0,0,,1894,164,7723,852,,1998,0,646,34,,0,0,,,8190,,,,,,103,
1980,Kenai Peninsula,Estimates,Freshwater,Russian River,,,,78983,,,,0,1025,0,0,0,,2566,0,2256,69,,55104,0,930,0,,0,0,,,0,,,,,,0,
1980,Kenai Peninsula,Estimates,Freshwater,Stariski Creek,,,,1499,,,,0,155,0,0,79,,26,0,327,0,,0,0,0,0,,0,0,,,0,,,,,,0,
