Fishery,Year,PermitsIssued,PermitsReturned,Chinook,Sockeye,Coho,Chum,Pink,Total,Comments,Reference,Link,Page
PortGraham,1981,NA,57,138,2670,825,177,874,4684,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1982,NA,61,124,2354,1493,220,2932,7123,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1983,NA,46,67,2480,471,95,187,3300,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1984,NA,24,45,3262,510,6,673,4496,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1985,NA,24,146,1177,621,26,345,2315,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1986,NA,44,125,647,481,14,1062,2329,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1987,NA,55,21,901,914,114,714,2664,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1988,NA,48,104,1021,844,110,1756,3835,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1989,NA,44,51,157,1155,74,1495,2932,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1990,NA,60,265,1162,1417,151,2960,5955,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1991,NA,63,163,688,2053,221,4587,7712,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1992,NA,71,200,535,1150,236,1421,3542,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1993,NA,56,277,1148,913,257,2663,5258,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1994,NA,70,300,830,1370,504,1979,4983,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1995,NA,87,585,1795,538,376,1273,4567,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1996,NA,75,310,1744,939,276,749,4018,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1997,NA,26,202,325,203,153,511,1394,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1998,NA,19,169,289,243,240,459,1400,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,1999,NA,74,485,3157,1747,1104,2023,8516,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2000,NA,67,259,4664,1831,953,1606,9313,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2001,NA,49,133,1085,1295,228,1454,4195,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2002,NA,79,346,10620,1057,488,1831,14342,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2003,NA,52,465,5534,1006,532,1572,9109,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2004,NA,80,312,3525,1303,213,1600,6953,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2005,NA,68,292,2126,1193,180,1608,5399,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2006,NA,53,275,2559,1200,296,2131,6461,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2007,NA,24,92,532,0,63,74,761,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2008,NA,48,124,4352,1448,269,2682,8875,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
PortGraham,2009,NA,44,44,3497,528,140,914,5123,Port Graham and Koyuktolik subdistricts,Fall et al 2018,http://www.adfg.alaska.gov/techpap/TP440.pdf,188
