"","Site","Year","maxWkJA","meanWkJA","maxWkJJA","meanWkJJA","wksGT15","wksGT18","cumDD","wksGT16","wksGT21","wksGT13","wksGT10","ASON_avg","ASON_max","MJJA_avg","MJJA_max","RB_ASON","MDIS_MJJA","RB_MJ","Population"
"1","Alexander",1980,17.6684397748993,14.2315242215764,17.6684397748993,13.6424006134001,3,0,1860.28705610062,2,0,6,9,93.879623665,123.82984565,103.14851015,123.82984565,0.1985549,658,0.05356676,"Alexander"
"2","Alexander",1981,15.6791027774526,13.9844823722203,15.7961226008319,13.7343447603409,3,0,1900.15180926514,0,0,8,11,126.07924216,193.71224641,114.17285022,193.71224641,0.1209975,380,0.07345195,"Alexander"
"3","Alexander",1982,15.2890366995219,14.4005528553464,15.4450631306942,13.6786210349222,3,0,1801.3090651175,0,0,8,10,123.64804595,208.64929437,70.10463574,95.120438898,0.1335746,543,0.04145163,"Alexander"
"4","Alexander",1983,16.7712877956587,14.2401923566416,17.2003604813824,14.3250162497789,7,0,1883.76903399205,3,0,6,9,111.22975891,163.54610241,68.373203255,163.54610241,0.1000277,497,0.07139947,"Alexander"
"5","Alexander",1984,16.6542679722794,14.3788825176836,16.6542679722794,14.0491838089564,6,0,1954.21496766634,3,0,7,10,75.379079987,149.69652337,76.746223966,149.69652337,0.1644919,497,0.04350167,"Alexander"
"6","Alexander",1985,17.0833406580032,14.5869177592466,17.0833406580032,13.686979593735,6,0,1781.10364228068,4,0,6,10,110.07158529,194.79135779,77.140479785,140.85413891,0.1490716,641,0.0805827,"Alexander"
"7","Alexander",1986,16.420228325521,13.6984339150711,16.8493010112448,13.8875850052423,5,0,1896.87525421052,5,0,5,11,143.06194173,145.31862156,77.188398462,144.33639216,0.1853568,277,0.06017491,"Alexander"
"8","Alexander",1987,18.2145322840023,14.8773002839284,18.2145322840023,14.1299832108135,3,1,1910.25452068355,1,0,8,10,99.953141265,131.565051,60.524848012,85.496090263,0.1128271,398,0.03239102,"Alexander"
"9","Alexander",1988,18.3315521073815,15.6530983722573,18.3315521073815,15.0912174742856,7,1,2038.04016781365,4,0,8,11,101.0196105,145.47856365,74.932261401,145.47856365,0.08222212,339,0.03507498,"Alexander"
"10","Alexander",1989,18.0975124606231,15.7657841281039,18.0975124606231,15.1469411997043,8,1,2051.69248054122,6,0,8,11,142.6002266,168.69765597,99.758856559,168.69765597,0.06941555,364,0.04572295,"Alexander"
"11","Alexander",1990,19.657776772346,15.874135816418,19.657776772346,16.002300384881,9,2,2107.94000897883,8,0,8,10,126.20752942,236.84175577,67.412000178,118.16751626,0.1907375,409,0.06522832,"Alexander"
"12","Alexander",1991,16.6932745800725,14.4568957332697,18.604598361933,14.6203519944978,5,1,1985.34224068521,3,0,8,11,96.455187794,125.0894917,66.784487105,125.0894917,0.05548937,320,0.04706177,"Alexander"
"13","Alexander",1992,17.6294331671062,14.7602804605492,17.6294331671062,14.6064210631432,6,0,1736.32405653424,3,0,7,9,105.14602631,116.63181014,63.817746575,116.63181014,0.06376169,279,0.04327197,"Alexander"
"14","Alexander",1993,18.9166512242776,15.9564830995367,18.9166512242776,15.6679580323689,8,3,2081.45452228734,6,0,8,10,168.18880469,241.29969939,77.053426848,186.31643603,0.1010461,298,0.06967734,"Alexander"
"15","Alexander",1994,18.2535388917954,15.5620829540734,18.2535388917954,15.0912174742856,7,1,2021.93043879511,6,0,7,10,90.952792847,125.49854483,56.658426408,84.794604712,0.1317976,345,0.04144294,"Alexander"
"16","Alexander",1995,17.2783736969686,15.328043307315,17.2783736969686,14.7847369844829,6,0,2082.28453593853,3,0,9,13,78.011824551,125.4385773,85.405889145,110.38949714,0.08230542,352,0.04564257,"Alexander"
"17","Alexander",1996,18.5265851463469,14.8382936761353,18.5265851463469,14.614779621956,5,1,1966.2290028666,4,0,8,10,88.052543011,132.79406507,66.476170849,132.79406507,0.06763054,207,0.06641604,"Alexander"
"18","Alexander",1997,20.203869281449,16.51991187877,20.6719485749658,16.2419124041812,9,3,2187.66951530787,7,0,9,12,95.496092231,161.35615886,73.960637087,161.35615886,0.1654454,282,0.07003133,"Alexander"
"19","Alexander",1998,16.1471820709695,13.8067856033852,17.8244662060716,13.8235027210108,5,0,1860.56010235517,2,0,6,11,86.111804437,165.38981185,101.80870373,165.38981185,0.09650271,353,0.09815478,"Alexander"
"20","Alexander",1999,19.5407569489667,15.1850190787404,19.5407569489667,14.8906120627784,6,1,2003.63633974016,5,0,7,12,109.16987091,158.8165948,89.992561044,158.8165948,0.104848,281,0.05114833,"Alexander"
