GearMesh,Age,Selectivity_ga,Selectivity_ga_sd
< 6 in Gill Net,Age1.1,1.2158115944037369,0.6373409862417616
< 6 in Gill Net,Age1.2,1.1366132897362027,0.20919767408159662
< 6 in Gill Net,Age1.3,0.8371111595213598,0.11458448817241979
< 6 in Gill Net,Age1.4,0.9903222144032269,0.08915542087640532
< 6 in Gill Net,Age1.5,0.8968559997903445,0.4734465329229336
7 in Gill Net,Age1.1,0.20852327657886988,0.24089895610285228
7 in Gill Net,Age1.2,0.7568173790086092,0.22692371267560235
7 in Gill Net,Age1.3,0.9569570730603874,0.1771228195491401
7 in Gill Net,Age1.4,1.069405016401914,0.05789529816563402
7 in Gill Net,Age1.5,0.9015527781084923,0.2966071177241108
Angling,Age1.1,0.5882292650946824,0.39830194748947934
Angling,Age1.2,0.4427407728709695,0.22242493302436422
Angling,Age1.3,0.916076624718788,0.33245253405159625
Angling,Age1.4,1.162864523398944,0.12158217976255059
Angling,Age1.5,1.0610640342650248,0.5140087943359694
